COMMUNE;CODE INSEE;lat ;long;NON TRAITE
ACY ROMANCE;08001;49.47596201;4.318240075;0%
LACHY;51313;48.76928054;3.700755071;0%
MAREUIL SUR AY;51347;49.04500671;4.041233302;0%
PLEURS;51432;48.69712449;3.87080882;0%
MOURMELON LE GRAND;51389;49.11900457;4.307131607;0%
MOURMELON LE GRAND;51389;49.13240385;4.386816739;0%
BISSEUIL;51064;49.04691766;4.086270427;1%
BISSEUIL;51064;49.04691766;4.086270427;1%
VERRIERES;51610;49.06127261;4.901012922;1%
POINSON LES FAYL;52394;47.74794744;5.60335384;2%
CUCHERY;51199;49.12728089;3.827030254;2%
REUIL;51457;49.0833;3.8;2%
ROMIGNY;51466;49.17324233;3.76861197;2%
SOUAIN;51553;49.18710192;4.573799876;2%
VILLENEUVE SAINT VISTRE;51628;48.63748539;3.761359944;2%
SAINT HILAIRE AU TEMPLE;51485;49.05804038;4.375029464;3%
DORENGT;02229;49.965103;3.703459205;4%
DOSCHES;10129;48.29490333;4.290440475;4%
JOINVILLE;52250;48.43312078;5.12769633;4%
CHAUDEFONTAINE;51139;49.10044055;4.870609684;4%
FAUX FRESNAY;51243;48.65240673;3.949466565;4%
MORSAINS;51386;48.80126359;3.548292859;4%
RETHEL;8362;49.53173632;4.376618841;4%
CHAOURSE;02160;49.7008498;3.985912559;6%
BOUE;02103;50.01161845;3.714379438;6%
BOUY;51078;49.08710987;4.363514878;6%
VIENNE LE CHÂTEAU;51621;49.19647165;4.925109103;6%
VILLENEUVE SAINT VISTRE;51628;48.63748539;3.761359944;6%
VAL DE VIERES;51218;48.81956957;4.745493599;7%
BESME;2078;49.53422068;3.164022638;8%
VAL DE MEUSE;52332;47.95276029;5.579821978;8%
BOURGUIGNON SOUS COUCY;2107;49.54293111;3.154495675;10%
LAPPION;2409;49.58979723;3.964582161;10%
CHAMPIGNY SUR AUBE;10077; 48.5572815057603;4.056998917;12%
CHALINDREY;52093;47.816532;5.423328;12%
ANTE;51537;49.00132103;4.893365205;12%
VILLERS;51637;49.1667;4.0167;12%
BARBY;8048;49.52406118;4.287855334;12%
SAINT MARD SUR LE MONT;51500;48.92335722;4.852336315;14%
PIERREMANDE;2599;49.56649134;3.258494958;15%
Voulpaix;2826;49.83848086;3.832826358;17%
LEUDON EN BRIE;77250;48.73020316;3.268640582;18%
ROMIGNY;51466;49.17324233;3.76861197;18%
MONANPTEUIL;2490;49.483333;3.566667;20%
ANIZY LE CHÂTEAU;2018;49.5045247;3.43226792;20%
PIERREMANDE;2599;49.56649134;3.258494958;20%
JONCREUIL;10180;48.5270754;4.624057261;20%
Vervins;2789;49.8351195;3.925309119;23%
THILLOIS;51569;49.25845789;3.94508474;25%
nampcelle la cour;2535;49.77663946;4.001970809;27%
MAIZIERES;52302;48.49240823;5.066450457;28%
TRUCY;2751;49.47205079;3.61083509;30%
BASSEVELLE;77024;48.92278841;3.281879279;30%
HERMONVILLE;51291;49.33201092;3.914400565;30%
COUVRON AUMENENCOURT;2231;49.64585537;3.523996298;32%
MORTIERS;2529;49.683333;3.66667;42%
CRECY SUR SERRE;2237;49.69861338;3.622614173;44%
VIRGINY;51646;49.16711652;4.758673279;55%
