COMMUNE;CODE INSEE;lat;long;nb
ACY ROMANCE;8001;49.47596201;4.318240075;0
LACHY;51313;48.76928054;3.700755071;0
MAREUIL SUR AY;51347;49.04500671;4.041233302;0
PLEURS;51432;48.69712449;3.87080882;0
MOURMELON LE GRAND;51389;49.11900457;4.307131607;0
MOURMELON LE GRAND;51389;49.13240385;4.386816739;0
BISSEUIL;51064;49.04691766;4.086270427;0.01
BISSEUIL;51064;49.04691766;4.086270427;0.01
DORENGT;2229;49.965103;3.703459205;0.04
CHAOURSE;2160;49.7008498;3.985912559;0.06
BOUE;2103;50.01161845;3.714379438;0.06
BESME;2078;49.53422068;3.164022638;0.08
BOURGUIGNON SOUS COUCY;2107;49.54293111;3.154495675;0.1
LAPPION;2409;49.58979723;3.964582161;0.1
PIERREMANDE;2599;49.56649134;3.258494958;0.15
Voulpaix;2826;49.83848086;3.832826358;0.17
LEUDON EN BRIE;77250;48.73020316;3.268640582;0.18
MONANPTEUIL;2490;49.483333;3.566667;0.2
ANIZY LE CHÂTEAU;2018;49.5045247;3.43226792;0.2
PIERREMANDE;2599;49.56649134;3.258494958;0.2
Vervins;2789;49.8351195;3.925309119;0.23
nampcelle la cour;2535;49.77663946;4.001970809;0.27
TRUCY;2751;49.47205079;3.61083509;0.3
BASSEVELLE;77024;48.92278841;3.281879279;0.3
COUVRON AUMENENCOURT;2231;49.64585537;3.523996298;0.32
MORTIERS;2529;49.683333;3.66667;0.44
CRECY SUR SERRE;2237;49.69861338;3.622614173;0.49
VERRIERES;51610;49.06127261;4.901012922;0.01
POINSON LES FAYL;52394;47.74794744;5.60335384;0
CUCHERY;51199;49.12728089;3.827030254;0.02
REUIL;51457;49.0833;3.8;0.02
ROMIGNY;51466;49.17324233;3.76861197;0.02
SOUAIN;51553;49.18710192;4.573799876;0.02
VILLENEUVE SAINT VISTRE;51628;48.63748539;3.761359944;0.02
SAINT HILAIRE AU TEMPLE;51485;49.05804038;4.375029464;0.03
DOSCHES;10129;48.29490333;4.290440475;0.04
JOINVILLE;52250;48.43312078;5.12769633;0.04
CHAUDEFONTAINE;51139;49.10044055;4.870609684;0.04
FAUX FRESNAY;51243;48.65240673;3.949466565;0.04
MORSAINS;51386;48.80126359;3.548292859;0.04
RETHEL;8362;49.53173632;4.376618841;0.04
BOUY;51078;49.08710987;4.363514878;0.06
VIENNE LE CHÂTEAU;51621;49.19647165;4.925109103;0.06
VILLENEUVE SAINT VISTRE;51628;48.63748539;3.761359944;0.06
VAL DE VIERES;51218;48.81956957;4.745493599;0.07
VAL DE MEUSE;52332;47.95276029;5.579821978;0.08
CHAMPIGNY SUR AUBE;10077; 48.5572815057603;4.056998917;0.12
CHALINDREY;52093;47.816532;5.423328;0.12
ANTE;51537;49.00132103;4.893365205;0.12
VILLERS;51637;49.1667;4.0167;0.12
BARBY;8048;49.52406118;4.287855334;0.12
SAINT MARD SUR LE MONT;51500;48.92335722;4.852336315;0.14
ROMIGNY;51466;49.17324233;3.76861197;0.18
JONCREUIL;10180;48.5270754;4.624057261;0.2
THILLOIS;51569;49.25845789;3.94508474;0.25
MAIZIERES;52302;48.49240823;5.066450457;0.32
HERMONVILLE;51291;49.33201092;3.914400565;0.3
VIRGINY;51646;49.16711652;4.758673279;0.66
CHARLEVILLE;51129;48.80171848;3.658149968;0.01
COURVILLE;51194;49.27179557;3.709491832;0
LAGERY;51314;49.20708829;3.732625139;0
LES ESSARTS LE VICOMTE;51236;48.66147;3.55622;0.07
ORBAIS L ABBAYE;51416;48.94346696;3.700243055;0.05
PLIVOT;51434;49.01081466;4.076534182;0
VAUCHAMPS;51596;48.88101554;3.625933477;0.06
BOURGUIGNON SOUS COUCY;2107;49.54293111;3.154495675;0
CHEZY SUR MARNE;2190;48.98413954;3.382034581;0.09
BELLEAU;2062;49.1;3.3;0.05
RAILLIMONT;2634;49.70194405;4.159531126;0.18
SAINT GOBAIN;2680;49.59534727;3.394202288;0.1
VILLE EN SELVE ;51623;49.12299988;4.079022523;0.05
LECHEROLLES;77247;48.7628;3.3474;0.06
