"TYPEQU";"LIB_TYPEQU";"SDOM";"LIB_SDOM";"DOM";"LIB_DOM"
"A101";"POLICE";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A104";"GENDARMERIE";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A105";"COUR D’APPEL (CA)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A108";"CONSEIL DE PRUD’HOMMES (CPH)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A109";"TRIBUNAL DE COMMERCE (TCO)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A120";"DRFIP (DIRECTION RÉGIONALE  DES FINANCES PUBLIQUES)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A121";"DDFIP (DIRECTION DÉPARTEMENTALE DES FINANCES PUBLIQUES)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A122";"RÉSEAU DE PROXIMITÉ PÔLE EMPLOI";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A124";"MAISON DE JUSTICE ET DU DROIT";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A125";"ANTENNE DE JUSTICE";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A126";"CONSEIL DÉPARTEMENTAL D’ACCÈS AU DROIT (CDAD)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A128";"IMPLANTATIONS FRANCE SERVICES (IFS)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A129";"MAIRIE";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A130";"BUREAU D’AIDE JURIDICTIONNELLE (BAJ)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A131";"TRIBUNAL JUDICIAIRE (TJ)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A132";"TRIBUNAL DE PROXIMITÉ (TPRX)";"A1";"SERVICES PUBLICS";"A";"SERVICES AUX PARTICULIERS"
"A203";"BANQUE, CAISSE D’ÉPARGNE";"A2";"SERVICES GÉNÉRAUX";"A";"SERVICES AUX PARTICULIERS"
"A205";"SERVICES FUNÉRAIRES";"A2";"SERVICES GÉNÉRAUX";"A";"SERVICES AUX PARTICULIERS"
