ID,Couche,Utilisateur,Observation,adresse,detail
79662,Bâtis à protéger (éléments et ensembles),BONDY,"6 allée du Moulin
Maison en Meulière",6 allée du Moulin,Maison en Meulière
73217,Bâtis à protéger (éléments et ensembles),BONDY,"7 rue Gabriel Séailles 
Maison en enduit clair, briques  en déco autours des ouvertures, sous la toiture et en chainage d'angle; garde corps en fer forgé, marquise",7 rue Gabriel Séailles ,"Maison en enduit clair, briques  en déco autours des ouvertures, sous la toiture et en chainage d'angle; garde corps en fer forgé, marquise"
73216,Bâtis à protéger (éléments et ensembles),BONDY,"15 rue Gabriel Séailles
 Maison en enduit clair, briques  en déco autours des ouvertures, sous la toiture et en chainage d'angle; œil de bœuf, garde corps en fer forgé, marquise",15 rue Gabriel Séailles," Maison en enduit clair, briques  en déco autours des ouvertures, sous la toiture et en chainage d'angle; œil de bœuf, garde corps en fer forgé, marquise"
73215,Bâtis à protéger (éléments et ensembles),BONDY,"16 rue Gabriel Séailles
Maison en enduit clair, briques rouges en déco autours des ouvertures, sous la toiture et en chainage d'angle; garde corps en fer forgé, marquise",16 rue Gabriel Séailles,"Maison en enduit clair, briques rouges en déco autours des ouvertures, sous la toiture et en chainage d'angle; garde corps en fer forgé, marquise"
73214,Bâtis à protéger (éléments et ensembles),BONDY,"14 rue Gabriel Séailles
Maison en enduit clair, briques rouges et blanches en déco autours des ouvertures, sous la toiture et en chainage d'angle; garde corps en fer forgé, marquise",14 rue Gabriel Séailles,"Maison en enduit clair, briques rouges et blanches en déco autours des ouvertures, sous la toiture et en chainage d'angle; garde corps en fer forgé, marquise"
73213,Bâtis à protéger (éléments et ensembles),BONDY,"216 avenue de Rosny
Maison en meulière , déco enduit blanc en façade",216 avenue de Rosny,"Maison en meulière , déco enduit blanc en façade"
73212,Bâtis à protéger (éléments et ensembles),BONDY,"209 avenue de Rosny
Maison en meulière, déco en façade, garde corps en fer forgé",209 avenue de Rosny,"Maison en meulière, déco en façade, garde corps en fer forgé"
73211,Bâtis à protéger (éléments et ensembles),BONDY,"2
avenue de Rosny
",2 avenue de Rosny,"Immeuble en meulière , déco enduit blanc en bandeau et autours des ouvertures garde corps en fer forgé"
73208,Bâtis à protéger (éléments et ensembles),BONDY,"1 à 31 rue François Villon
 Ensemble bâti à protéger Maisons individuelles construites par le bailleur social I3F.  architecture et typologie d'ensemble , même permis de construire",1 à 31 rue François Villon," Ensemble bâti à protéger Maisons individuelles construites par le bailleur social I3F.  architecture et typologie d'ensemble , même permis de construire"
73207,Bâtis à protéger (éléments et ensembles),BONDY,"11 avenue de la Parisienne
Maison en Meulière , déco en briquettes rouges et blanches, œil de bœuf...",11 avenue de la Parisienne,"Maison en Meulière , déco en briquettes rouges et blanches, œil de bœuf..."
73205,Bâtis à protéger (éléments et ensembles),BONDY,"6 rue Henri Douillot
Maison en briques beiges au RDC, briquettes rouges aux étages",6 rue Henri Douillot,"Maison en briques beiges au RDC, briquettes rouges aux étages"
73202,Bâtis à protéger (éléments et ensembles),BONDY,"
rue Béranger
Maison en Meulière (façade avant) , clôture en meulière, dernier étage en enduit clair, éléments de décors sur la toiture",rue Béranger,"Maison en Meulière (façade avant) , clôture en meulière, dernier étage en enduit clair, éléments de décors sur la toiture"
73201,Bâtis à protéger (éléments et ensembles),BONDY,"39 allée Thérèse
Maison en meulière au RDC, enduit aux étages, briquettes rouges en déco",39 allée Thérèse,"Maison en meulière au RDC, enduit aux étages, briquettes rouges en déco"
73200,Bâtis à protéger (éléments et ensembles),BONDY,"4 allée du Moulin
Maison en Meulière, forme intéressante de la toiture",4 allée du Moulin,"Maison en Meulière, forme intéressante de la toiture"
73199,Bâtis à protéger (éléments et ensembles),BONDY,"15 allée du Moulin
Maison en enduit clair, déco au dessus des fenêtres, chainage d'angle, marquise, clôture en meulière, garde corps",15 allée du Moulin,"Maison en enduit clair, déco au dessus des fenêtres, chainage d'angle, marquise, clôture en meulière, garde corps"
73198,Bâtis à protéger (éléments et ensembles),BONDY,"11 rue du Moulin
Maison en Meulière chainage d'angle, clôture en Meulière",11 rue du Moulin,"Maison en Meulière chainage d'angle, clôture en Meulière"
