"","cle","appartement","etage","Nom.du.Programme","Année.de.construction"
"1","1-3-5RUEDU BREUIL",48,6,"RES. DU BREUIL","1995"
"2","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","2018"
"3","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","1969"
"4","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","1969"
"5","1 Allée Hannah Arendt",20,4,"RES. HANNAH ARENDT","2018"
"6","103 avenue Carnot",3,3,"RESIDENCE CARNOT","2015"
"7","107AVCARNOT",44,4,"RESIDENCE CARNOT","2015"
"8","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 123","1991"
"9","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 122","1991"
"10","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 102","1991"
"11","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 133","1991"
"12","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 143","1991"
"13","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 101","1991"
"14","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 152","1991"
"15","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 114","1991"
"16","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 121","1991"
"17","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 113","1991"
"18","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 132","1991"
"19","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 151","1991"
"20","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 144","1991"
"21","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 141","1991"
"22","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 124","1991"
"23","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 154","1991"
"24","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 134","1991"
"25","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 153","1991"
"26","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 103","1991"
"27","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 142","1991"
"28","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 131","1991"
"29","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 111","1991"
"30","107RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",23,5,"NUMERO 112","1991"
"31","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 242","1991"
"32","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 223","1991"
"33","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 211","1991"
"34","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 253","1991"
"35","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 241","1991"
"36","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 251","1991"
"37","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 212","1991"
"38","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 221","1991"
"39","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 201","1991"
"40","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 243","1991"
"41","109RUEROGER SALENGRO - L'EUROPE BATIMENT N°1",18,5,"NUMERO 252","1991"
