SIRET DESTINATAIRE;CODE EPCI;SIRET EPCI;ANNEE;CODE DSF;CODE COMMUNE;CODE VOIE;PREFIXE DE SECTION;SECTION CADASTRALE;NUMERO DE PLAN;NUMERO DE BATIMENT;NUMERO D ENTREE/D ESCALIER;ETAGE;NUMERO DE PORTE;NUMERO DE VOIRIE;CODE INDICE DE REPETITION;ADRESSE;CODE POSTAL;LIBELLE COMMUNE;PROPRIETAIRE;INVARIANT DU LOCAL;CODE NATURE DU LOCAL;CODE AFFECTATION DU LOCAL;CATEGORIE REVISEE;VALEUR LOCATIVE REVISEE DU DESCRIPTIF;CODE SIE                                   
21930010000019;863;20005787500011;2021;930;010;9670;;AV;0114;A;01;00;01002;32;;RTE DE VILLEMOMBLE;93140;BONDY;9300000PBF5QV LES COPROPRIETAIRES;930100185690;CB;C;MAG1;31365;9300300;                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;9670;;AV;0114;A;01;00;02001;32;;RTE DE VILLEMOMBLE;93140;BONDY;9300000PBF5QV LES COPROPRIETAIRES;930100185691;CB;C;MAG1;12750;9300300;                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;5170;;AC;0033;B;01;00;01001;35;;RUE LOUIS AUGUSTE BLANQUI;93140;BONDY;9300000PBFHNK LES COPROPRIETAIRES DU 53 ;930100994590;CB;C;BUR1;21966;9300300;                                                                                                                                                                                                                                                                     
21930010000019;863;20005787500011;2021;930;010;9615;;R;0101;A;01;00;01001;15;;AV DE VERDUN;93140;BONDY;ASS APAJH BONDY;930101048160;CB;C;BUR1;6536;9300300;                                                                                                                                                                                                                                                                                                             
21930010000019;863;20005787500011;2021;930;010;4170;;B;0180;A;01;00;01001;148;;CHE DE GROSLAY;93140;BONDY;ASS APF FRANCE HANDICAP;930101088042;CB;C;ENS1;201320;9300300;                                                                                                                                                                                                                                                                                                
21930010000019;863;20005787500011;2021;930;010;9615;;R;0123;A;01;00;01001;12;;AV DE VERDUN;93140;BONDY;ASS ASS IMMOBILIERE ASSOMPTION;930101204736;CB;C;ENS1;389913;9300300;                                                                                                                                                                                                                                                                                            
21930010000019;863;20005787500011;2021;930;010;3580;;AF;0053;A;01;00;01001;2;;RUE FREMIN;93140;BONDY;ASS COMITE DEPART BASKET BALL DU 93;930101029315;CB;C;BUR1;37908;9300300;                                                                                                                                                                                                                                                                                          
21930010000019;863;20005787500011;2021;930;010;6640;;Q;0005;D;01;00;01001;7;;RUE NEUVE;93140;BONDY;ASS ENSEIGNEMENT CATHOLIQUE DIOCESE ST D;930101199939;CB;C;ENS1;129886;9300300;                                                                                                                                                                                                                                                                                      
21930010000019;863;20005787500011;2021;930;010;8159;;AD;0152;B;01;00;01001;19;;CRS DE LA REPUBLIQUE;93140;BONDY;ASS GRANDE LOGE DE FRANCE;930101151438;CB;C;BUR2;146217;9300300;                                                                                                                                                                                                                                                                                        
21930010000019;863;20005787500011;2021;930;010;8161;;AT;0202;A;04;03;01002;10;;PL DE LA REPUBLIQUE;93140;BONDY;ASS IRIS - MESSIDOR;930101166656;CB;C;MAG1;23460;9300300;                                                                                                                                                                                                                                                                                                
21930010000019;863;20005787500011;2021;930;010;0050;;AQ;0169;A;01;00;04001;70;;AV ANATOLE FRANCE;93140;BONDY;ASS LIGUE NATIONALE CONTRE LE CANCER;930101139152;CB;C;MAG1;12724;9300300;                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;5109;;H;0268;A;01;00;01001;20;;CHE LATERAL;93140;BONDY;ASS LOCALE POUR LE CULTE DES TEMOINS DE ;930100969968;CB;C;BUR1;229003;9300300;                                                                                                                                                                                                                                                                                   
21930010000019;863;20005787500011;2021;930;010;6160;;K;0036;A;01;00;01001;21;;AV MARGUERITE;93140;BONDY;ASSOCIATION CULTURELLE DES MAURICIENS EN;930100169819;CB;C;BUR1;18488;9300300;                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;5132;;A;0218;A;01;00;02001;16;;AV LEON BLUM;93140;BONDY;ASSOCIATION DIOCESAINE DE SAINT DENIS EN;930100163296;CB;C;SPE7;157356;9300300;                                                                                                                                                                                                                                                                                  
21930010000019;863;20005787500011;2021;930;010;3580;;AF;0232;A;01;00;01002;6;B;RUE FREMIN;93140;BONDY;ASSOCIATION DIOCESAINE DE SAINT DENIS EN;930101026058;CB;C;MAG1;5632;9300300;                                                                                                                                                                                                                                                                                     
21930010000019;863;20005787500011;2021;930;010;6640;;Q;0005;A;05;00;01001;6;;RUE NEUVE;93140;BONDY;BONDY-CITOYENS;930100172095;CB;C;BUR1;10460;9300300;                                                                                                                                                                                                                                                                                                                 
21930010000019;863;20005787500011;2021;930;010;8860;;AE;0021;A;01;00;01001;3;;RLE SAINTE BARBE;93140;BONDY;CIE DES CHEVALIERS DE L'ARC DE BONDY;930100176773;CB;C;SPE2;40800;9300300;                                                                                                                                                                                                                                                                                   
