"","id","id_fantoir","numero","rep","nom_voie","code_postal","code_insee","nom_commune","code_insee_ancienne_commune","nom_ancienne_commune","x","y","lon","lat","type_position","alias","nom_ld","libelle_acheminement","nom_afnor","source_position","source_nom_voie","certification_commune","cad_parcelles"
"225574","93010_i7xf1o_00001","",1,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662524.1,6866064.08,2.488881,48.893494,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225575","93010_i7xf1o_00002","",2,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662514.51,6866065.47,2.48875,48.893506,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225576","93010_i7xf1o_00003","",3,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662592.94,6866084.54,2.489818,48.893682,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225577","93010_i7xf1o_00004","",4,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662519.18,6866073.89,2.488813,48.893582,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225578","93010_i7xf1o_00005","",5,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662526.67,6866075.74,2.488915,48.893599,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225579","93010_i7xf1o_00006","",6,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662521.7,6866089.89,2.488846,48.893726,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225580","93010_i7xf1o_00007","",7,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662528.03,6866081.51,2.488933,48.893651,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225581","93010_i7xf1o_00008","",8,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662523.29,6866097.33,2.488867,48.893793,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225582","93010_i7xf1o_00009","",9,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662529.31,6866087.28,2.48895,48.893703,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225583","93010_i7xf1o_00010","",10,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662524.42,6866100.99,2.488882,48.893826,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225584","93010_i7xf1o_00011","",11,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662530.6,6866093.06,2.488967,48.893755,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225585","93010_i7xf1o_00013","",13,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662531.88,6866098.94,2.488984,48.893808,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225586","93010_i7xf1o_00015","",15,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662533.16,6866104.72,2.489001,48.89386,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225587","93010_i7xf1o_00017","",17,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662534.52,6866110.49,2.489019,48.893912,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225588","93010_i7xf1o_00019","",19,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662535.73,6866116.15,2.489035,48.893963,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
"225589","93010_i7xf1o_00021","",21,"","Allee Marguerite Duras",93140,93010,"Bondy",NA,NA,662543.55,6866145.79,2.489139,48.89423,"",NA,NA,"BONDY","ALLEE MARGUERITE DURAS","inconnue","inconnue",0,""
