fid,id,id_fantoir,numero,rep,nom_voie,garder
231891,93010_4720_00003,93010_4720,3,,Allee Jean Courtade,ensemble
231892,93010_4720_00004,93010_4720,4,,Allee Jean Courtade,ensemble
231895,93010_4720_00008,93010_4720,8,,Allee Jean Courtade,ensemble
231900,93010_4720_00017,93010_4720,17,,Allee Jean Courtade,ensemble
228966,93010_6155_00001,93010_6155,1,,Av du Mal de Lattre de Tassigny,
228988,93010_6155_00035,93010_6155,35,,Av du Mal de Lattre de Tassigny,
228997,93010_6155_00044,93010_6155,44,,Av du Mal de Lattre de Tassigny,
229011,93010_6155_00070,93010_6155,70,,Av du Mal de Lattre de Tassigny,
229016,93010_6155_00070_bis,93010_6155,70,bis,Av du Mal de Lattre de Tassigny,
229228,93010_1430_00001,93010_1430,1,,Avenue Carnot,ensemble
229346,93010_1430_00156,93010_1430,156,,Avenue Carnot,ensemble
227941,93010_8160_00001,93010_8160,1,,Avenue de la République,ensemble
227942,93010_8160_00020,93010_8160,20,,Avenue de la République,ensemble
228029,93010_8160_00152_b,93010_8160,152,b,Avenue de la République,ensemble
228021,93010_8160_00165,93010_8160,165,,Avenue de la République,ensemble
231314,93010_4436_00009,93010_4436,9,,Avenue Henri Barbusse,
231316,93010_4436_00014,93010_4436,14,,Avenue Henri Barbusse,
231317,93010_4436_00016,93010_4436,16,,Avenue Henri Barbusse,
231054,93010_4449_00002,93010_4449,2,,Avenue Henri Varagnat,
231059,93010_4449_00011,93010_4449,11,,Avenue Henri Varagnat,
231065,93010_4449_00020,93010_4449,20,,Avenue Henri Varagnat,
231070,93010_4449_00031,93010_4449,31,,Avenue Henri Varagnat,
232829,93010_7130_00001,93010_7130,1,,Avenue Pasteur,
232831,93010_7130_00004,93010_7130,4,,Avenue Pasteur,
232846,93010_7130_00023,93010_7130,23,,Avenue Pasteur,
232855,93010_7130_00042,93010_7130,42,,Avenue Pasteur,
227597,93010_8159_00001,93010_8159,1,,Cours de la République,ensemble
227598,93010_8159_00002,93010_8159,2,,Cours de la République,ensemble
227621,93010_8159_00034,93010_8159,34,,Cours de la République,ensemble
227631,93010_8159_00057,93010_8159,57,,Cours de la République,ensemble
233486,93010_1431_00001,93010_1431,1,,Impasse Carnot,ensemble
233487,93010_1431_00002,93010_1431,2,,Impasse Carnot,ensemble
233495,93010_1431_00010,93010_1431,10,,Impasse Carnot,ensemble
233496,93010_1431_00011,93010_1431,11,,Impasse Carnot,ensemble
232388,93010_0020_00001,93010_0020,1,,Place Albert Thomas,ensemble
232389,93010_0020_00002,93010_0020,2,,Place Albert Thomas,ensemble
232401,93010_0020_00014,93010_0020,14,,Place Albert Thomas,ensemble
232405,93010_0020_00093,93010_0020,93,,Place Albert Thomas,ensemble
233467,93010_2570_00009,93010_2570,9,,Place de la Division Leclerc,ensemble
233468,93010_2570_00011,93010_2570,11,,Place de la Division Leclerc,ensemble
232406,93010_8161_00001,93010_8161,1,,Place de la République,
232407,93010_8161_00002,93010_8161,2,,Place de la République,
232417,93010_8161_00020,93010_8161,20,,Place de la République,
233964,93010_6700_00001,93010_6700,1,,Place du Onze Novembre 1918,ensemble
233967,93010_6700_00004,93010_6700,4,,Place du Onze Novembre 1918,ensemble
227340,93010_6651_00001,93010_6651,1,,Place Nicole Neuburger,
227365,93010_6651_00051,93010_6651,51,,Place Nicole Neuburger,
231162,93010_0082_00044,93010_0082,44,,Route d’Aulnay,
231173,93010_0082_00056,93010_0082,56,,Route d’Aulnay,
231181,93010_0082_00079,93010_0082,79,,Route d’Aulnay,
231183,93010_0082_00083,93010_0082,83,,Route d’Aulnay,
232926,93010_0075_00002,93010_0075,2,,Rue Auguste Polissard,
232927,93010_0075_00003,93010_0075,3,,Rue Auguste Polissard,
232949,93010_0075_00030,93010_0075,30,,Rue Auguste Polissard,
232952,93010_0075_00043,93010_0075,43,,Rue Auguste Polissard,
230911,93010_5151_00001,93010_5151,1,,Rue de la Liberté,
230912,93010_5151_00002,93010_5151,2,,Rue de la Liberté,
230915,93010_5151_00006,93010_5151,6,,Rue de la Liberté,
230959,93010_5151_00015_bis,93010_5151,15,bis,Rue de la Liberté,
232644,93010_1465_00001,93010_1465,1,,Rue du Champart,ensemble
232645,93010_1465_00002,93010_1465,2,,Rue du Champart,ensemble
232650,93010_1465_00007,93010_1465,7,,Rue du Champart,ensemble
232651,93010_1465_00008,93010_1465,8,,Rue du Champart,ensemble
226394,93010_3115_00001,93010_3115,1,,Rue Edouard Vaillant,
226395,93010_3115_00002,93010_3115,2,,Rue Edouard Vaillant,
226415,93010_3115_00026,93010_3115,26,,Rue Edouard Vaillant,
226417,93010_3115_00029,93010_3115,29,,Rue Edouard Vaillant,
230660,93010_4775_00024,93010_4775,24,,Rue Jules Guesde,
230665,93010_4775_00031,93010_4775,31,,Rue Jules Guesde,
230691,93010_4775_00064,93010_4775,64,,Rue Jules Guesde,
230696,93010_4775_00073,93010_4775,73,,Rue Jules Guesde,
226112,93010_5170_00003,93010_5170,3,,Rue Louis Auguste Blanqui,
