"Group.1";"Group.2";"x"
"AV";"2";3340.75451073101
"R";"2";71.3199475076927
"AV";"3";3509.58134683026
"D78";"3";131.166699745746
"R";"3";1105.08739108012
"RTE";"3";938.291431606665
"ALL";"4";1330.79669836708
"AV";"4";6774.46250117261
"CH";"4";2745.37025573259
"PL";"4";219.96050422053
"PONT";"4";70.4640466180486
"R";"4";11068.2644797573
"RPE";"4";108.369583757854
"RPT";"4";258.459787987735
"RTE";"4";1511.78561857655
"ALL";"5";8271.8751551956
"AV";"5";6884.44416526838
"CH";"5";622.535534197591
"CITE";"5";302.19999029742
"CRS";"5";297.349005930269
"IMP";"5";536.654373355546
"PL";"5";1617.32652375177
"R";"5";23272.8669545182
"RPT";"5";80.2044525518169
"SEN";"5";52.3506051339722
"VLA";"5";596.546537294042
"ALL";"6";211.112397725797
"IMP";"6";29.7620278871672
"MAIL";"6";225.262861813306
"PAS";"6";269.768077739779
"PL";"6";293.059704559235
"QUAI";"6";1504.91236554729
"R";"6";2229.62093816975
"RLE";"6";65.9824669232691
"SEN";"6";180.614727014251
"SQ";"6";165.402818356158
"VOIE";"6";1288.89365934341
"ESPL";"parking";51.4813567360416
