"RUE ","SECTEUR","CODE","TYPE","TYPE"
"Rue du 4 septembre ","NORD","SEPTEMBRE","RIDEAU","R"
"Avenue du 14 juillet","NORD","JUILLET","RIDEAU","AV"
"Rue des écoles","NORD","ECOLES","RIDEAU","R"
"avenue marguerite ","NORD","MARGUERITE","RIDEAU","AV"
"Avenue de la république ","CENTRE","REPUBLIQUE","RIDEAU","AV"
"Rue Baudin ","CENTRE","BAUDIN","RIDEAU","R"
"Rue de la fraternité  ","CENTRE","FRATERNITE","RIDEAU","R"
"Rue de l’égalité ","CENTRE","EGALITE","RIDEAU","R"
"Rue Michelet","CENTRE","MICHELET","RIDEAU","R"
"Rue Paul vaillant couturier ","CENTRE","COUTURIER","RIDEAU","R"
"Place Charles de gaulle ","CENTRE","GAULLE","RIDEAU","PL"
"Avenue pasteur ","CENTRE","PASTEUR","RIDEAU","AV"
"Avenue du maréchal Delattre de Tassigny","CENTRE","TASSIGNY","RIDEAU","AV"
"Rue jean Jaurès","CENTRE","JAURES","RIDEAU","R"
"Rue Etienne Dolet ","SUD","DOLET","RIDEAU","R"
"Allée de la régale   ","SUD","REGARLE","RIDEAU","AL"
"rue Emmanuel fairon","SUD","FAIRON","RIDEAU","R"
"rue des limites ","SUD","LIMITES","RIDEAU","R"
"avenue des sciences","SUD","SCIENCES","RIDEAU","AV"
"allée racines","SUD","RACINE","RIDEAU","AL"
"école jules ferry primaire ","SUD","JULES FERRY PRIMAIRE","RIDEAU","ECOLE"
"avenue de la solidarité ","SUD","SOLIDARITE","RIDEAU","AV"
