"","id","type","lieu"
"1",6,"alignement charmes","parcs et jardins"
"2",7,"cèdre","palais des sports"
"3",8,"cèdre","Fontaine / Jardinière"
"4",9,"araucaria","fontaine / Jardinière"
"5",10,"2 platanes","parc Pasteur"
"6",11,"platane","geoge Sand"
"7",12,"sophora","Camille Claudel"
"8",13,"platane","crèche départementale"
"9",14,"chêne","53 rue du Breuil"
"10",15,"cèdre","63 bis av Carnot"
"11",16,"cèdre","rue de Varsovie"
"12",17,"cèdre","rue Jules Ferry"
"13",18,"eucalyptus","53 rue de la liberté"
"14",19,"cèdre","59 bis rue de la liberté"
"15",20,"cèdre","collège H. Sellier"
"16",21,"cèdre","106 av Carnot"
"17",22,"cedre","chantier Ferry"
"18",23,"erable","palais des Sports"
"19",24,"erable","palais des Sports"
