id,num_route,nom_rue,commune,essence,stade_dvlp,hauteur,circonfere,type_taill,etat_phyto,prop_fonc,gestion,date_diag,date_maj,etat,photo,date_plant,effectif,dvpt,genre
"50",RD78,R ANDREI SAKHAROV,BONDY,,,,,,,,,"0","2018","0",,,"1",,
"226",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"367",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"438",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"474",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"500",RD10,R JULES GUESDE,BONDY,Sophora japonica,J,<10m,<50cm,Port libre,"1",,,"0","2018","1",,,"1",G,Sophora
"603",RD986,AV DE ROSNY,BONDY,non définie,J,<10m,<50cm,Port libre,"1",,,"2016","2018","1",,,"1",,
"734",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"738",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"819",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"831",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"893",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"1120",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"1227",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"1260",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"1297",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"1323",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,>100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"1360",RD10,R JULES GUESDE,BONDY,Capirnus betulus,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Capirnus
"1713",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"1987",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"2230",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"2330",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"2636",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,A,10-20m,50-100cm,Rideau,"2",,,"2011","2018","1",,,"1",G,Platanus
"2645",RD41,AV HENRI VARAGNAT,BONDY,Platanus x acerifolia,J,<10m,50-100cm,Rideau,"1",,,"2011","2018","1",,,"1",G,Platanus
"2650",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"2732",RD78,R ANDREI SAKHAROV,BONDY,Prunus serotina,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",M,Prunus
"2813",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"2881",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"3018",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
"3026",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"3028",RD41,R AUGUSTE POLISSARD,BONDY,Prunus avium,A,<10m,>100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Prunus
"3440",RD78,R ANDREI SAKHAROV,BONDY,Ginkgo biloba,J,<10m,50-100cm,Port libre,"1",,,"0","2018","1",,,"1",G,Ginkgo
"3536",RD10,AV HENRI BARBUSSE,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"3658",RD41,R AUGUSTE POLISSARD,BONDY,Tilia cordata,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Tilia
"3748",RD41,R AUGUSTE POLISSARD,BONDY,Celtis australis,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",M,Celtis
"3749",RD10,AV HENRI BARBUSSE,BONDY,Platanus x acerifolia,A,<10m,50-100cm,Port libre,"2",,,"0","2018","1",,,"1",G,Platanus
