"","rues","secteur","bat"
"1","Rue Arthur Rimbaud - ","centre","Trésor Public"
"2","Rue Frémin ","centre","Lycée et Collége Jean Renoir"
"3","Rue Paul Vaillant Couturier ","centre","Ecoles Mainguy Guéhenno"
"4","Rue Paul Vaillant Couturier ","centre","Gymnase Gérard Aiache"
"5","Place de la Division Leclerc ","centre","Eglise"
"6","Rue Roger Salengro ","centre","Bibliothéque + Conservatoire"
"7","Cours de la République ","centre","Cinéma André Malraux"
"8","Esplanade Mairie — ","centre","devant la porte donnant accés personnel a la mairie "
"9","Rue Jules Guesde ","centre","trottoirs des toilettes publiques a l’avenue Carnot"
"10","Avenue Carnot et rue Jules Guesde ","centre","marches de l’esplanade "
"11","Rue Jules Guesde et avenue Carnot ","centre","entrée et sortie du parking mairie"
"12","Square du 8 Mai 1945 ","centre","PMI/ Service associatif / accés arriére de l’hétel de ville"
"13","Avenue Pasteur ","centre","Police municipale + entrée maison diocésaine"
"14","Avenue Pasteur ","centre","Piste cyclable + entrée du stade Léo Lagrange"
"15","Avenue du Quatorze Juillet ","EV","service des Espaces Verts"
"16","Rue de la terre Saint Blaise ","EV","Ecole Terre Saint Blaise et Bouloche"
"17","Avenue Maurice Benhamou angle J. M. Tjibaou a Lucien Chapelain ","EV","Ecole Olympe de Gouge"
"18","Square de Versailles ","EV","Maison de Quartier Daniel Balavoine"
"19","Avenue Suzanne Buisson ","EV","Eglise et Poste"
"20","Avenue Léon Blum ","EV","PMI"
"21","Chemin de Groslay — chemin latéral ","EV","Mosquée de Bondy"
"22","Avenue Jean Moulin ","EV","Groupe scolaire Noue Caillet /Albert Camus"
"23","Route d’Aulnay ","EV","Ecole Jean Zay plus le Collége plus rampe « handicapé » sur Jean Zay maternelle"
"24","Avenue Marx Dormoy — Arthur Groussier ","EV","Maison de retraite"
"25","Avenue Marx Dormoy ","EV","palais des Sports"
"26","Avenue de la Villageoise ","EV","synagogue"
"27","Avenue du 14 juillet ","EV","Hépital Jean Verdier jusqu’a la barriére"
"28","Chemin du Pont ","EV","Gymnase André Rémond"
"29","Chemin du Pont ","EV","Piscine Michel Beaufort"
"30","Rue des Ecoles ","EV","Ecole Pasteur maternelle et élémentaire"
"31","Avenue de Verdun / rue Robert Bonnet ","EV","Centre Maurice Coutrot - APAJH"
"32","Avenue de Verdun / rue Georges Elie-Compagnon ","EV","Groupe scolaire Léo Lagrange"
"33","Avenue de Verdun ","EV","Ecole du stade"
"34","Avenue de Verdun ","EV","Caserne des Pompiers"
"35","Avenue de Verdun ","EV","Groupe scolaire Assomption"
"36","Avenue de Verdun ","EV","CMP + créche « Arc en ciel »"
"37","Rue des cing ormes ","EV","Ecole Henri Sellier plus Collége"
"38","Avenue Barbusse ","EV","Gymnase + Tennis Maurice Petit Jean"
"39","Avenue Barbusse ","EV","Groupe scolaire Camille Claudel"
"40","Rue Henri Varagnat — ","EV","entrée Cimetiére Intercommunal"
"41","Rue de la Terre Saint Blaise ","EV","Centre Saint Exupéry"
"42","Place Suzanne Buisson ","EV","marché"
"43","CMS ","arpenteur","avenue de la République"
"44","Maison de Quartier Blanqui ","arpenteur","Nelson MANDELA"
"45","Maison Marianne ","arpenteur","45/47, rue Louis Auguste Blanqui"
"46","Centre Edouard Vaillant ","arpenteur","salle Coluche — Allée de la Paix"
"47","Maison de retraite ","arpenteur","Avenue Genevieve Anthonioz de Gaulle"
"48","Acces ala Gare","arpenteur",NA
"49","Gare de Bondy ","arpenteur","passage devant la gare + passage commercants"
"50","Poste MAINGUY","arpenteur",NA
"51","Ecole Jules Ferry / Jean Rostand ","arpenteur","cété Blanqui + coté Martin Luther King"
"52","Ecole Maternelle Jules Ferry ","arpenteur","Rue Francois Collet jusqu’a la créche « la cabane des petits »»"
"53","Ecole Alain Savary plus Gymnase ","arpenteur","rue du vieux Moulin"
"54","Centre Jacques Prévert ","arpenteur","rue du Sergent Bobillot — entrée du centre"
"55","Ecole Roger Salengro / Jacques Béthinger.","arpenteur",NA
"56","Créche Départementale rue Etienne Dolet","arpenteur",NA
"57","Eglise rue de Varsovie ","arpenteur","+ cété rue Etienne Dolet"
"58","Sortie gare ","arpenteur","cété Route de Villemomble"
"59","Stade Robert Gazzi","arpenteur",NA
"60","Piscine Tournesol","arpenteur",NA
"61","Ecole Pierre Curie et Collége ","arpenteur","Route de Villemomble + entrée rue René Char"
"62","Rue Rudyard Kipling ","arpenteur","accés tram train/ Remise a Jorelle"
"63","Poste Annexe rue de la Philosophie","arpenteur",NA
"64","Place Nicole Neuburger ","arpenteur","allées commercantes"
"65","Rue Jules Guesde ","arpenteur","Lycée Professionnel Madeleine Vionnet"
