id,rues,secteur,bat,rueCode,poiCode
47,Avenue Genevieve Anthonioz de Gaulle,arpenteur,Maison de retraite,ANTHONIOZ,Eglantier
23,Route d’Aulnay ,EV,Ecole Jean Zay plus le Collége plus rampe « handicapé » sur Jean Zay maternelle,AULNAY,JZ
39,Avenue Barbusse ,EV,Groupe scolaire Camille Claudel,BARBUSSE,CC
38,Avenue Barbusse ,EV,Gymnase + Tennis Maurice Petit Jean,BARBUSSE,PJ
17,Avenue Maurice Benhamou angle J. M. Tjibaou a Lucien Chapelain ,EV,Ecole Olympe de Gouge,BENHAMOU,OG
45,"45/47, rue Louis Auguste Blanqui",arpenteur,Maison Marianne ,BLANQUI,MM
44,Maison de Quartier Blanqui ,arpenteur,Nelson MANDELA,BLANQUI,NM
20,Avenue Léon Blum ,EV,PMI,BLUM,PMI
54,rue du Sergent Bobillot,arpenteur, entrée du centre,BOBILLOT,JP
19,Avenue Suzanne Buisson ,EV,Eglise et Poste,BUISSON,CR
42,Place Suzanne Buisson ,EV,marché,BUISSON,marché
19b,Avenue Suzanne Buisson ,EV,Poste,BUISSON,poste
37,Rue des cing ormes ,EV,Ecole Henri Sellier plus Collége,CINQ,HS
52,Rue Francois Collet jusqu’a la créche « la cabane des petits »»,arpenteur,Ecole Maternelle Jules Ferry ,COLLET,AD
4,Rue Paul Vaillant Couturier ,centre,Gymnase Gérard Aiache,COUTURIER,GA
3,Rue Paul Vaillant Couturier ,centre,Ecoles Mainguy Guéhenno,COUTURIER,MG
5,Place de la Division Leclerc ,centre,Eglise,DIVISION,SP
56,rue Etienne Dolet,arpenteur,Créche Départementale ,DOLET,JK
24,Avenue Marx Dormoy — Arthur Groussier ,EV,Maison de retraite,DORMOY,AG
25,Avenue Marx Dormoy ,EV,palais des Sports,DORMOY,PDS
30,Rue des Ecoles ,EV,Ecole Pasteur maternelle et élémentaire,RIOULT,LP
32,Avenue de Verdun / rue Georges Elie-Compagnon ,EV,Groupe scolaire Léo Lagrange,ELIE,LL
2,Rue Frémin ,centre,Lycée et Collége Jean Renoir,FREMIN,Jre
10,Avenue Carnot et rue Jules Guesde ,centre,marches de l’esplanade ,FUZIER,marches
11,Rue Jules Guesde et avenue Carnot ,centre,entrée et sortie du parking mairie,FUZIER,parking
8,Esplanade Mairie,centre,devant la porte donnant accés personnel a la mairie ,FUZIER,porte
58,,arpenteur,Sortie gare ,GARE,sortie
21,Chemin de Groslay — chemin latéral ,EV,Mosquée de Bondy,GROSLAY,mosquée
65,Rue Jules Guesde ,arpenteur,Lycée Professionnel Madeleine Vionnet,GUESDE,MV
9,Rue Jules Guesde ,centre,trottoirs des toilettes publiques a l’avenue Carnot,GUESDE,toilettes
62,Rue Rudyard Kipling ,arpenteur,accés tram train/ Remise a Jorelle,KIPLING,JORELLE
49,Gare de Bondy ,arpenteur,passage devant la gare + passage commercants,REPUBLIQUE,gare
12,Square du 8 Mai 1945 ,centre,PMI/ Service associatif / accés arriére de l’hétel de ville,MAI,bain
51,cété Blanqui + coté Martin Luther King,arpenteur,Ecole Jules Ferry / Jean Rostand ,MLK,JF . JR
22,Avenue Jean Moulin ,EV,Groupe scolaire Noue Caillet /Albert Camus,MOULIN,NC
64,Place Nicole Neuburger ,arpenteur,allées commercantes,NEUBURGER,NEUBURGER
46,Centre Edouard Vaillant ,arpenteur,salle Coluche — Allée de la Paix,PAIX,coluche
14,Avenue Pasteur ,centre,Piste cyclable + entrée du stade Léo Lagrange,PASTEUR,LL entrée
13,Avenue Pasteur ,centre,Police municipale + entrée maison diocésaine,PASTEUR,PM piste cyclable
63,rue de la Philosophie,arpenteur,Poste Annexe ,PHILOSOPHIE,poste
48,,arpenteur,Acces ala Gare,PLACE,gare
28,Chemin du Pont ,EV,Gymnase André Rémond,PONT,AR
29,Chemin du Pont ,EV,Piscine Michel Beaufort,PONT2,MB
15,Avenue du Quatorze Juillet ,EV,service des Espaces Verts,QUATORZE,EV
27,Avenue du 14 juillet ,EV,Hépital Jean Verdier jusqu’a la barriére,BARRIERE,JV
7,Cours de la République ,centre,Cinéma André Malraux,REPUBLIQUE,AM
43,CMS ,arpenteur,avenue de la République,REPUBLIQUE,CMS
1,Rue Arthur Rimbaud,centre,Trésor Public,RIMBAUD,TP
6b,Rue Roger Salengro ,centre,Conservatoire,SALENGRO,conservatoire
6,Rue Roger Salengro ,centre,Bibliothéque + Conservatoire,SALENGRO,bibliothèque
41,Rue de la Terre Saint Blaise ,EV,Centre Saint Exupéry,mail,SE
16,Rue de la terre Saint Blaise ,EV,Ecole Terre Saint Blaise et Bouloche,TSB,TSB
40,Rue Henri Varagnat — ,EV,entrée Cimetiére Intercommunal,VARAGNAT,CIC
