"","AN","NOMRS","CNOMRS","NUMVOIE","INDREP","TYPVOIE","LIBVOIE","CADR","CODPOS","DEPCOM","DEP","REG","LIBCOM","DOM","SDOM","TYPEQU","SIRET","STATUT_DIFFUSION","CANTINE","INTERNAT","RPI","EP","CL_PGE","SECT","ACCES_AIRE_PRATIQUE","ACCES_LIBRE","ACCES_SANITAIRE","ACCES_VESTIAIRE","CAPACITE_D_ACCUEIL","PRES_DOUCHE","PRES_SANITAIRE","SAISONNIER","COUVERT","ECLAIRE","CATEGORIE","MULTIPLEXE","STRUCTURE_EXERCICE","SPECIALITE","ACCUEIL","ITINERANCE","MODE_GESTION","SSTYPHEB","TYPE","IMPLANTATION_STATION","CAPACITE","INDIC_CAPA","NBEQUIDENT","INDIC_NBEQUIDENT","NBSALLES","INDIC_NBSALLES","NBLIEUX","INDIC_NBLIEUX","NB_PDC","INDIC_NB_PDC","NB_PDC_PA","INDIC_NB_PDC_PA","NB_PDC_ACCELEREE","INDIC_NB_PDC_ACCELEREE","NB_PDC_LENTE","INDIC_NB_PDC_LENTE","NB_PDC_RAPIDE","INDIC_NB_PDC_RAPIDE","NB_PDC_ULTRARAPIDE","INDIC_NB_PDC_ULTRARAPIDE","NB_JOURS_OUVERT","INDIC_NB_JOURS_OUVERT","LAMBERT_X","LAMBERT_Y","LONGITUDE","LATITUDE","QUALITE_XY","EPSG","QUALITE_GEOLOC","TR_DIST_PRECISION","DCIRIS","QUALI_IRIS","IRISEE","QP2024","QUALI_QP2024","QVA","QUALI_QVA","ZUS","QUALI_ZUS","EPCI","UU2020","BV2022","AAV2020","DENS3","DENS7"
"435245",2024,"COMMISSARIAT CENTRAL – BONDY","",1,"","RUE","GASTON DEFFERRE","",93140,"93010","93",11,"BONDY","A","A1","A101",NA,"_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662311.72,6866925.93,2.48590794662695,48.9012319850964,"B",2154,"11","< 100","930100402","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"435246",2024,"DIR DEP FINANCES PUB SEINE ST DENIS","SERVICE DE GESTION COMPTABLE BONDY",5,"","RUE","ARTHUR RIMBAUD","CENTRE DES FINANCES PUBLIQ",93140,"93010","93",11,"BONDY","A","A1","A121",13001107500392,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661873.2,6867303.92,2.47989246653541,48.9046052875723,"B",2154,"11","< 100","930100202","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"435247",2024,"APE Bondy","",14,"","RUE","DE LA LIBERTE","",93140,"93010","93",11,"BONDY","A","A1","A122",NA,"_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661954.41,6866178.6,2.48110114006434,48.8944904677659,"B",2154,"11","< 100","930100303","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"435248",2024,"FRANCE SERVICES POINT D'ACCÈS AU DROIT DE BONDY","",1,"","AV","JEAN LEBAS","",93140,"93010","93",11,"BONDY","A","A1","A128",NA,"_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","1","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661981.66,6868315.09,2.48128136997689,48.9137047354498,"B",2154,"11","< 100","930100104","1",1,"QN09314M","1","CSZ","_Z","1127020","1","200054781","00851","75056","001",1,1
"435249",2024,"FRANCE SERVICES DE BONDY - MQC BRASSENS","",49,"","AV","CARNOT","",93140,"93010","93",11,"BONDY","A","A1","A128",NA,"_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","1","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662028.2,6866826.69,2.48204954382575,48.9003228919634,"B",2154,"11","< 100","930100402","1",1,"HZ","1","CSZ","_Z","1127010","1","200054781","00851","75056","001",1,1
"435250",2024,"BONDY","",NA,"","ESP","CLAUDE FUZIER","",93140,"93010","93",11,"BONDY","A","A1","A129",NA,"_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661950,6867050,2.48096287344878,48.9023264229756,"B",2154,"11","< 100","930100403","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"435251",2024,"DÉCHÈTERIE DE BONDY","SÉPUR NEUILLY SUR MARNE",85,"","RUE","DU 14 JUILLET","",93140,"93010","93",11,"BONDY","A","A1","A133",NA,"_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","ENTRE","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,662726.38,6868698.37,2.49140829334949,48.9171949595735,"B",2154,"11","< 100","930100105","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"435252",2024,"BNP PARIBAS","",82,"","AV","GALLIENI","",93140,"93010","93",11,"BONDY","A","A2","A203",66204244927629,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661824.02,6867365.46,2.47921605928871,48.9051557783856,"B",2154,"11","< 100","930100202","1",1,"QN09314M","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"435253",2024,"CREDIT LYONNAIS","",20,"","PL","DE LA REPUBLIQUE","",93140,"93010","93",11,"BONDY","A","A2","A203",95450974128392,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661685.07,6866208.04,2.47742509639193,48.894739239643,"B",2154,"11","< 100","930100204","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
"435254",2024,"BNP PARIBAS","",1,"","RUE","DE LA LIBERTE","",93140,"93010","93",11,"BONDY","A","A2","A203",66204244928239,"O","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z","_Z",NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,661730.1,6866270.3,2.47803362667857,48.8953018034721,"B",2154,"11","< 100","930100204","1",1,"HZ","1","CSZ","_Z","HZ","1","200054781","00851","75056","001",1,1
