"","nom","libelle"
"1",NA,NA
"2","INFOLIN","Lineaire de sauvegarde de commerce et artisanat"
"3","INFOSURF","Perimetre de sauvegarde des commerces et artisanat"
"4","INFOSURF","Taxe d'amenagement"
"5","INFOSURF","Perimetre DUP Ligne 15"
"6","INFOSURF","Zone d'amenagement concerte Les Rives de l'Ourcq"
"7","INFOSURF","Zone d'amenagement concerte Quartier Durable, de la Plaine de l'Ourcq"
"8","INFOSURF","Droit de preemption urbain renforce"
"9","INFOSURF","Droit de preemption urbain"
"10","INFOSURF","PPR lie aux cavites souterraines"
"11","INFOSURF","Classement sonore categorie 1"
"12","INFOSURF","Classement sonore categorie 3"
"13","INFOSURF","Classement sonore categorie 5"
"14","INFOSURF","Classement sonore categorie 4"
"15","INFOSURF","Alea argile moyen"
"16","INFOSURF","Alea argile fort"
"17","INFOSURF","Classement sonore categorie 2"
"18","PRESCRIPTIONLIN","Lineaire actif a creer"
"19","PRESCRIPTIONLIN","Recul obligatoire"
"20","PRESCRIPTIONLIN","Lineaire commerce et service a creer"
"21","PRESCRIPTIONLIN","Alignement d'arbres a creer"
"22","PRESCRIPTIONLIN","Alignement d'arbres"
"23","PRESCRIPTIONLIN","Alignement obligatoire"
"24","PRESCRIPTIONPCT","Arbre remarquable"
"25","PRESCRIPTIONSURF","Espace paysager boise"
"26","PRESCRIPTIONSURF","Espace paysager"
"27","PRESCRIPTIONSURF","OAP Pont de Bondy"
"28","PRESCRIPTIONSURF","OAP Canal Avenue Gallieni"
"29","PRESCRIPTIONSURF","Ouvrage eaux pluviales"
"30","PRESCRIPTIONSURF","Espace paysager mare"
"31","PRESCRIPTIONSURF","Emplacement reserve voirie"
"32","PRESCRIPTIONSURF","Emplacement reserve equipement"
"33","PRESCRIPTIONSURF","Bati ou ensemble bati"
"34","PRESCRIPTIONSURF","Ensemble bati remarquable"
"35","PRESCRIPTIONSURF","OAP Territoire Plaine de l'Ourcq"
"36","PRESCRIPTIONSURF","Perimetre 500m applicable aux constructions a destination de bureau"
"37","PRESCRIPTIONSURF","Espace paysager residence"
"38","PRESCRIPTIONSURF","OAP Gare de Bondy"
"39","ZONEURBA","UP No7"
"40","ZONEURBA","UR70E19"
"41","ZONEURBA","UR60C16"
"42","ZONEURBA","UH70M10"
"43","ZONEURBA","N"
"44","ZONEURBA","UH88E10"
"45","ZONEURBA","UR90F16"
"46","ZONEURBA","UC48C16"
"47","ZONEURBA","UA16B16"
"48","ZONEURBA","UH90E10"
"49","ZONEURBA","UH92E10"
"50","ZONEURBA","UP Bd1"
"51","ZONEURBA","UC00Cb1"
"52","ZONEURBA","UC48E16"
"53","ZONEURBA","UEv91Hnr"
"54","ZONEURBA","UM68D13"
"55","ZONEURBA","UR90D22"
"56","ZONEURBA","UEh91Anr"
"57","ZONEURBA","UEi90Anr"
"58","ZONEURBA","Nzh"
"59","ZONEURBA","UH74F10"
"60","ZONEURBA","UR90D19"
"61","ZONEURBA","Nc"
"62","ZONEURBA","UC00A16"
"63","ZONEURBA","UEi91Anr"
"64","ZONEURBA","UM24L16"
"65","ZONEURBA","UP No1"
"66","ZONEURBA","UE91Anr"
"67","ZONEURBA","UA34A22"
"68","ZONEURBA","UH88F10"
"69","ZONEURBA","UH96E10"
"70","ZONEURBA","UH98E10"
"71","ZONEURBA","UC40C19"
