"","depcom.id_ea.principal.numero.repetition.complement.type_voie.libelle.rivoli.categorie.type.nombre_logements.actualité.numero_permis.commentaire.annee_construction.nombre_immeubles.nombre_niveaux.sous_type.enseigne.lien_cmt.x.y.code_epsg.type_localisation.numero_parcelle.iris.ilot.qp.canton.liste_insee.id_rp.dernier_tirage.echantillon.grp_rotation.datemaj_ea.com_anc_idft.com_sous_categorie.com_statut.com_nb_log.com_nom.com_date_creation.com_date_fermeture.com_capacite.envoi_modif_importante.envoi_commentaire"
"1","662965.60000,6866124.50000"
"2","662021.90000,6866335.40000"
"3","662126.00000,6866553.30000"
"4","662339.08175,6866276.25975"
"5","662006.14726,6866808.60981"
"6","662277.30000,6866660.50000"
"7","662234.73073,6866485.46980"
"8","662145.12648,6866301.80379"
"9","662094.70000,6866196.00000"
"10","662389.00000,6866764.00000"
"11","662819.50000,6866969.10000"
"12","662627.70000,6866444.60000"
"13","662962.50000,6866390.60000"
"14","663067.00000,6867346.60000"
"15","663082.10000,6866824.10000"
"16","663287.20658,6867212.73315"
"17","661637.69479,6867584.87406"
"18","661703.89327,6867617.81962"
"19","661702.82290,6867591.85489"
"20","661671.89351,6867686.35492"
"21","661807.91780,6867621.26598"
"22","661776.45562,6867650.48828"
"23","661741.84254,6867649.14861"
"24","661725.80205,6867631.80670"
"25","661733.87550,6867603.91489"
"26","661723.73218,6867698.96097"
"27","661724.55186,6867674.25414"
"28","662358.00000,6867673.10000"
"29","661889.10000,6866060.80000"
"30","661727.56743,6865617.51143"
"31","662416.40000,6867956.10000"
"32","662391.60000,6868102.20000"
"33","662244.40000,6867833.10000"
"34","661688.50000,6865781.10000"
"35","662289.80000,6867824.00000"
"36","662260.29684,6868111.40422"
"37","661796.70000,6865690.20000"
"38","661456.91990,6866049.27200"
"39","662658.50000,6868118.00000"
"40","663067.00000,6867346.60000"
"41","662082.75162,6867364.06006"
"42","662072.86974,6867236.29642"
"43","662099.97769,6867232.19771"
"44","662117.53178,6867270.51005"
"45","662117.06094,6867318.74290"
"46","662114.95303,6867357.18338"
"47","662325.60000,6866764.80000"
"48","662244.40000,6867833.10000"
"49","662252.30000,6867853.50000"
"50","662909.69186,6867222.47205"
"51","662523.07751,6868058.20988"
"52","662732.90000,6866838.30000"
"53","662039.24976,6865937.58611"
"54","662667.50000,6865784.50000"
"55","662292.20000,6867993.10000"
"56","662170.36682,6866636.13895"
"57","661525.10000,6866695.80000"
"58","661359.80000,6867069.40000"
"59","662146.86016,6868437.31522"
"60","661709.20000,6868592.10000"
"61","661926.80000,6868556.10000"
"62","661694.60000,6867063.60000"
"63","661530.09618,6866102.49896"
"64","661522.71691,6866101.86166"
"65","661519.70062,6866106.68606"
"66","661912.48210,6865846.71912"
"67","661648.40059,6867621.32236"
"68","661910.63400,6867683.83616"
"69","661546.80000,6866099.10000"
"70","662424.97644,6866290.83972"
"71","661737.50000,6867176.50000"
"72","661749.00000,6867174.00000"
"73","661781.41232,6865827.02074"
"74","662216.70000,6867610.00000"
"75","661845.88424,6868382.17460"
"76","661888.64552,6868374.65983"
