CodeSegment;Date_flo;Date_rec;;;
A2;43668;43726;;;
A4;43676;43733;;;
A8;43675;43734;;;
A9;43686;43915;;;
C1;43670;43721;;;
C2;43664;43711;;;
C3;43669;43717;;;
CA1;43665;43717;;;
CA2;43668;43723;;;
CA3;43657;43705;;;
CE1;43669;43718;;;
CE2;43668;43723;;;
CE3;43670;43722;;;
CE4;43661;43706;;;
CE5;43670;43724;;;
CE6;43665;43711;;;
CE7;43672;43721;;;
GO10;43663;43710;;;
GO1A;43666;43718;;;
GO1B;43678;43738;;;
GO1C;43676;43732;;;
GO1D;43673;43730;;;
GO2;43680;43738;;;
GO3;43670;43720;;;
GO4;43675;43732;;;
GO5;43677;43735;;;
GO6;43666;43717;;;
GO7;43663;43710;;;
GO8;43660;43707;;;
GO9;43661;43706;;;
L1;43657;43706;;;
N1;43670;43721.5;;;
N10;43670;43721;;;
N12;43666;43719;;;
N15;43672;43733;;;
N16;43673.5;43729;;;
N2;43677;43737;;;
N3;43673;43728.5;;;
N6;43672;43723;;;
SO1;43683;43732;;;
SO10;43664;43711;;;
SO12;43668;43721;;;
SO13;43659;43703;;;
SO2;43677;43728;;;
SO3;43673;43717;;;
SO4;43679;43729;;;
SO5;43677;43729;;;
SO6;43661;43707;;;
SO7;43662;43706;;;
SO8;43662;43710;;;
SO9;43665;43716;;;
