ID,degat,degatBT,etendueBT,symptomeBT,degatBD,etendueBD,symptomeBD,degatOH,etendueOH,symptomeOH,degatOPAut,etendueOPAut,symptomeOPAut,degatOP,etendueOP,symptomeOP,degatTriticale,etendueTriticale,symptomeTriticale,degatMais,etendueMais,symptomeMais,cp
1,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28320
2,Oui,Non,,,Non,,,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Non,,,41500
3,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Oui,Très ponctuels (<5%),,Je ne sais pas,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Non,,,Non,,,45130
4,Oui,Non,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Non,,,Je ne sais pas,,,La culture n'était pas semée lors du gel,,,41000
5,Oui,Oui,Très ponctuels (<5%),Symptômes sur feuilles;Destruction de maitres-brins;,Non,,,Je ne sais pas,,,Non,,,,,,Non,,,Non,,,45130
6,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45700
7,Non,,,,,,,,,,,,,,,,,,,,,,37220
8,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,28150
9,Oui,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41310
10,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Non,,,Oui,Généralisés (>30% de la surface touchée),,Non,,,,,,Non,,,Non,,,37000
11,Non,,,,,,,,,,,,,,,,,,,,,,28360
12,Non,,,,,,,,,,,,,,,,,,,,,,28800
13,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Destruction totale (les tiges sont toutes gelées);,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,45220
14,Oui,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;,Non,,,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Oui,Généralisés (>30% de la surface touchée),Symptômes sur feuilles;Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,41140
15,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,Non,,,28500
16,Oui,Non,,,Non,,,Non,,,Oui,Localisés (entre 5 et 30%),Symptômes sur feuilles;,Non,,,Non,,,Non,,,41500
17,Non,,,,,,,,,,,,,,,,,,,,,,28160
18,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Je ne sais pas,,,Oui,Généralisés (>30% de la surface touchée),Destruction de maitres-brins;,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,28500
19,Oui,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,Oui,Localisés (entre 5 et 30%),Destruction de maitres-brins;Symptômes sur feuilles;,Non,,,,,,Non,,,Non,,,37270
20,Oui,Je ne sais pas,,,Je ne sais pas,,,Cette espèce n'est pas présente sur l'exploitation,,,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Oui,Très ponctuels (<5%),Symptômes sur feuilles;,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,45480
21,Non,,,,,,,,,,,,,,,,,,,,,,31300
22,Oui,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,Oui,Très ponctuels (<5%),Destruction de maitres-brins;,Non,,,,,,Non,,,Non,,,45560
23,Non,,,,,,,,,,,,,,,,,,,,,,45490
24,Oui,Non,,,Oui,Très ponctuels (<5%),Destruction totale (les tiges sont toutes gelées);,Cette espèce n'est pas présente sur l'exploitation,,,Cette espèce n'est pas présente sur l'exploitation,,,,,,Cette espèce n'est pas présente sur l'exploitation,,,La culture n'était pas semée lors du gel,,,41240
