part1,part2,num,an
PV Approbation du procésverbal de la séance du  décembre ,,PV,26
Rapport sur la situation en matiére d’égalité femmeshommes ,,1,26
Rapport sur la situation en matiére de développement durable ,,2,26
Débat d'orientation budgétaire ,,3,26
"Approbation de la convention de subvention au titre du ""Soutien régional a la","création et 4 la réhabilitation d'équipements sportifs franciliens"" concernant",4,26
Mise  jour des tableaux des effectifs et des emplois permanents et non,permanents occupés par le personnel communal,5,26
Participation  la consultation relative  la mise en ceuvre des conventions de,participation du CIG de la petite couronne portant sur les risques Prévoyance et,6,26
Adhésion de la ville de Bondy  la centrale d'achat du Resah,,7,26
Approbation du Contrat Local de Santé (CLS) e génération  de la ville,de Bondy,8,26
Approbation de la convention d’objectifs et de moyens entre la ville de Bondy et le,Département de la Seine-Saint-Denis au titre du programme départemental de,9,26
Avenant n°   la convention de transfert de gestion au profit de la Société des,Grands Projets relative au domaine public de voirie situé dans le secteur du Pont,10,26
Approbation de I'avenant n°  a la convention de transfert de maitrise d'ouvrage,"a ICF LA SABLIERE pour la création d’une coque brute accueillant une créche,",11,26
Approbation de la démarche de coopération décentralisée entre les villes d'Irpin,et de Bondy ;,12,26
PV Approbation du procésverbal de la séance du  octobre ,25-1 Approbation de la décision modificative n° 2 du budget de I'exercice 2025,1,25
Approbation de la décision modificative n°  du budget de I'exercice ,25-2 Augmentation des crédits annuels de paiement du programme pluriannuel,2,25
Augmentation des crédits annuels de paiement du programme pluriannuel,n° 1004,2,25
"Budget   Autorisation d'engager, liquider et mandater les dépenses",d'investissement avant le vote du budget primitif 2026,3,25
Admission en nonvaleur des créances irrécouvrables,25-5 Autorisation donnée au comptable public de procéder a des écritures d'ordre non,4,25
Autorisation donnée au comptable public de procéder a des écritures d'ordre non,budgétaire pour ajuster le compte 1318 'Subventions d'investissement rattachées,5,25
Approbation de la convention cadre d’aménagement régional entre la commune,de Bondy et la région Ile-de-France,6,25
Approbation de la Convention Territoriale Globale entre la ville de Bondy et la,Caisse d’ Allocations Familiales de la Seine-Saint-Denis,7,25
Recrutement des agents recenseurs et rémunération de l'équipe de recensement,pour la campagne de recensement 2026,8,25
Création d’un second Jardin du Souvenir au cimeti¢re communal de Bondy,25-10 Approbation de la convention de groupement de commandes d'Est Ensemble pour,9,25
Approbation de la convention de groupement de commandes d'Est Ensemble pour,le marché de mobilier de bureau et de réunion,10,25
Autorisation dérogatoire d'ouverture des commerces de la ville de Bondy certains,dimanches de I'année 2026,11,25
Rapport d’ activité de l'année  d’Est Ensemble,25-13 Rapport d’activité du Syndicat Intercommunal pour le Gaz et I’Electricité en Ile-,12,25
Rapport d’activité du Syndicat Intercommunal pour le Gaz et I’Electricité en Ile,de-France (SIGEIF) pour I'année 2024,13,25
Rapport d'activité du Syndicat Intercommunal Funéraire de la Région Parisienne,(SIFUREP) pour l'année 2024,14,25
"Adhésion au SIFUREP des communes de NeuillyPlaisance, Lieusaint et Conflans",Sainte-Honorine,15,25
Délégation de service public du stationnement sur voirie et en ouvrage  Rapport,annuel d'activité 2024,16,25
Délégation de service public de production et de distribution d'énergie calorifique,- Rapport annuel d'activité 2024,17,25
Délégation de service public d'exploitation de la Halle et des marchés forains ,Rapport annuel d'activité 2024,18,25
Approbation de la convention de refacturation entre la ville de Bondy et le Centre,Communal d'Action Sociale (CCAS),19,25
Approbation de la convention de subvention entre la ville de Bondy et l'Agence,Régionale de Santé pour la rénovation du Centre Municipal de Santé Henri,20,25
Création et mise en ceuvre d’un fonds d’aides sociales,,21,25
Mise en ceuvre du forfait mobilités durables,,22,25
Modification du régime indemnitaire du personnel communal,,23,25
Approbation de la convention d'autorisation temporaire d'occupation et de prise,d'eau dans le canal de I'Ourcgq entre la ville de Paris et la ville de Bondy,24,25
"Approbation du protocole d'accord relatif  I'Hpital Jean Verdier entre l'APHP,",Est Ensemble et la ville de Bondy,25,25
Approbation de la convention de partenariat avec le Département de la Seine,Saint-Denis relative 4 la mise en ceuvre des commissions locales du Fonds de,26,25
Renouvellement de la convention de partenariat entre la ville de Bondy et la caisse,d’allocations familiales de la Seine-Saint-Denis dans le cadre du permis de louer,27,25
Modification de la délibération de lancement d'un concours restreint de maitrise,d'ceuvre - Réhabilitation du groupe scolaire Louis Pasteur,28,25
Modification de la délibération de lancement d'un concours restreint de maitrise,d'ceuvre - Extension des écoles élémentaires Jules Ferry et Jean Rostand et,29,25
Modification de la délibération de lancement d'un concours restreint de maitrise,d'ceuvre- construction d'une micro-folie,30,25
Approbation de la convention  relative au pilotage du projet de,territoire entre la ville de Bondy et la Caisse d'Allocations Familiales de Seine-,31,25
Approbation des conventions  relative  l'Accueil de Loisirs Sans,Hébergement (ALSH) entre la ville de Bondy et la Caisse d'Allocations Familiales,32,25
Approbation des avenants Bonus Territoire   la Convention,Territoriale Globale entre la ville de Bondy et la Caisse d'Allocations familiale de,33,25
Approbation de la convention de subvention relative aux formations linguistiques,"adultes entre la ville de Bondy et I'Etat dans le cadre du ""Contrat de Ville""",34,25
Approbation de la convention entre la ville de Bondy et Etat dans le cadre du,"dispositif ""Cité Educative""",35,25
Approbation de la convention  pour le Relais Petite Enfance entre la,ville de Bondy et la Caisse d'Allocations Familiales de Seine-Saint-Denis,36,25
Approbation des conventions relative aux créches  vocation d'insertion,professionnelle entre la ville de Bondy et la Caisse d'Allocations Familiales de la,37,25
Actualisation du réglement de fonctionnement des établissements d'accueil du,jeune enfant de la ville de Bondy,38,25
Avis de l’autorité organisatrice de l’accueil du jeune enfant sur ouverture d’une,micro-créche au 44 rue Carnot 93140 Bondy,39,25
Seuil de rattachement des charges et des produits,,1,25
Décisions de la Commission de surendettement et jugements des tribunaux pour,les sociétés dans le cadre de procédures de surendettement,2,25
Approbation du rapport d'utilisation du Fonds Régional de Solidarité d'Ilede,France (FSRIF) 2024,3,25
Approbation du protocole d'accord avec la SMACL relatif  I'indemnisation du,sinistre 4 Bondy Insertion,4,25
Adhésion de la commune de LongpontsurOrge au SIGEIF au titre de la,compétence d’autorité organisatrice du service public de la distribution de gaz,5,25
Rapport de I'exercice  du représentant de la ville de Bondy dans la SPL,Ensemble,6,25
Approbation de la convention pour la coordination du Contrat Local de Santé,(CLS) 2025 entre I'Agence Régionale de Santé et la ville de Bondy,7,25
Lancement d'un concours restreint de maitrise d’ceuvre  Construction d'une,Micro-Folie,8,25
Approbation d'un bail emphytéotique administratif relatif au projet de padel,,9,25
Proposition de dénomination des sites,,10,25
Approbation du protocole de coopération décentralisée entre les villes de Bondy et,"d'Al-Ram, territoires Palestiniens",11,25
Approbation de I'avenant n°  au protocole de coopération décentralisée avec la,"ville de Berkane, Maroc",12,25
Approbation de la convention de partenariat entre SeineSaintDenis Tourisme et,la ville de Bondy,13,25
Attribution de subventions aux associations sportives de Bondy :,évolution du soutien 4 la pratique du judo,14,25
Réalisation d’une cuvre monumentale en mémoire des tirailleurs africains et  la,"mémoire des combattants d’outre-mer par M. Thomas Waroquier, peintre agréé",15,25
