"id","type","nom","desherbage"
1,"Allée","Alice","secondaire"
2,"Allée","Andréa","secondaire"
3,"Allée","Anne Franck","secondaire"
4,"Allée","Becquerel","secondaire"
5,"Allée","Boileau","secondaire"
6,"Allée","Claude Debussy","secondaire"
7,"Allée","Condorcet","secondaire"
8,"Allée","Corneille","secondaire"
9,"Allée","de la Jardinière","secondaire"
10,"Allée","de la Paix","secondaire"
11,"Allée","de la Régale","secondaire"
12,"Allée","de la Villa Jeannette","secondaire"
13,"Allée","de l'Egalité","secondaire"
14,"Allée","de l'Espéranto","secondaire"
15,"Allée","de l'Orme","secondaire"
16,"Allée","des Alouettes","secondaire"
17,"Allée","des Arts","secondaire"
18,"Allée","des Bosquets","secondaire"
19,"Allée","des Chênes","secondaire"
20,"Allée","des Courts Sillons","secondaire"
21,"Allée","des Dahlias","secondaire"
22,"Allée","des Deux Communes","secondaire"
23,"Allée","des Fauvettes","secondaire"
24,"Allée","des Hètres","secondaire"
25,"Allée","des Lettres","secondaire"
26,"Allée","des Tilleuls","secondaire"
27,"Allée","des Vignes","secondaire"
28,"Allée","du Gros Buisson","secondaire"
29,"Allée","du Moulin","secondaire"
30,"Allée","du Rendez-vous","secondaire"
31,"Allée","Eric Tabarly","secondaire"
32,"Allée","Gournot","secondaire"
33,"Allée","Jean Courtade","secondaire"
34,"Allée","José Marti","secondaire"
35,"Allée","Léon","secondaire"
36,"Allée","Louise ","secondaire"
37,"Allée","Marcel Sembat","secondaire"
38,"Allée","Marie Laurencin ","secondaire"
39,"Allée","Molière","secondaire"
40,"Allée","Monplaisir","secondaire"
41,"Allée","Mozart","secondaire"
42,"Allée","Pablo Neruda","secondaire"
43,"Allée","Paul Eluard","secondaire"
44,"Allée","Poque","secondaire"
45,"Allée ","Potier","secondaire"
46,"Allée ","Racine","secondaire"
47,"Allée","Raspail","secondaire"
48,"Allée","Rulhière","secondaire"
49,"Allée ","San Martin","secondaire"
50,"Allée","Simon Bolivar","secondaire"
51,"Allée ","Surcouf","secondaire"
52,"Allée","Thèrése","secondaire"
53,"Avenue","Blériot et Sente","secondaire"
54,"Avenue","Cadéras","secondaire"
55,"Avenue","de la Parisienne","secondaire"
56,"Avenue","de la Villégiature","secondaire"
57,"Avenue","de l'Espérance","secondaire"
58,"Avenue","de l'Est","secondaire"
59,"Avenue","de l'Idéal","secondaire"
60,"Avenue","de Metz","secondaire"
61,"Avenue","de Nancy","secondaire"
62,"Avenue","Denise","secondaire"
63,"Avenue","des Mésarmes","secondaire"
64,"Avenue","Denise","secondaire"
65,"Avenue","Marie Curie","secondaire"
66,"Avenue","des Platanes","secondaire"
67,"Avenue","des Sciences","secondaire"
68,"Avenue","du 4 septembre","secondaire"
69,"Avenue","de Lattre de Tassigny","secondaire"
70,"Avenue","Dumesnil","secondaire"
