"","liste.i.","tmpCode"
"1","ERE1"," A0224"
"2","ERD2"," Z0009"
"3","ERD1"," P0023,  P0024,  P0025,  P0026,  P0027"
"4","ERBd9"," I0075,  I0076,  I0078,  I0079,  I0084,  I0086,  I0097,  I0099"
"5","ERBd8","AU0072, AU0163, AU0175, AU0176, AU0194, AU0195"
"6","ERBd7"," G0168,  G0172"
"7","ERBd6"," G0169"
"8","ERBd5"," G0033,  G0137,  G0138,  G0168,  G0169"
"9","ERBd4","AJ0070, AJ0071, AJ0072, AJ0098"
"10","ERBd3","AM0042, AM0043, AM0044, AM0046, AM0297, AM0298"
"11","ERBd2","AT0066, AU0004, AU0005, AU0095, AU0096, AU0097, AU0114, AU0115, AU0117, AU0119, AU0140"
"12","ERBd12"," C0192"
"13","ERBd11"," E0086,  F0101,  F0115,  G0161,  K0001,  L0002,  L0129,  L0130,  L0002,  L0050,  L0058,  L0139,  H0140,  H0387,  H0388,  H0389,  H0390,  H0391,  H0392,  I0041,  I0080,  I0081,  J0177,  J0179,  J0181,  J0215,  J0299,  J0300,  J0301,  K0002,  K0003,  K0024,  K0032,  K0058,  K0101,  K0105,  K0107,  K0109,  K0117,  K0119,  L0002,  L0006,  L0007,  L0044,  L0072,  L0074,  L0076,  L0082,  L0086"
"14","ERBd10"," K0002,  K0109"
"15","ERBd1","AZ0235, AZ0236, AZ0237"
