"nom_voie","numero","rep"
"Av du Mal de Lattre de Tassigny","2","bis"
"Avenue de Verdun","7",""
"Chemin de Groslay","22",""
"Cours de la République","1",""
"Route d'Aulnay","28",""
"Rue du Breuil","1",""
"Rue Georges Elie","28",""
"Rue Jean Jaurés","13",""
"Rue Paul Vaillant-couturier","9",""
"Rue Roger Salengro","1",""
"Av du Mal de Lattre de Tassigny","4","bis"
"Avenue de Verdun","7",""
"Chemin de Groslay","48",""
"Rue Georges Elie","54",""
"Rue Jean Jaurés","25","bis"
"Rue Jules Guesde","93","bis"
"Route d'Aulnay","35",""
"Route d'Aulnay","39",""
"Route d'Aulnay","24",""
"Route d'Aulnay","36",""
"Rue Jules Guesde","1",""
"Rue Jules Guesde","28",""
"Rue du Breuil","39",""
"Rue Jean Jaurés","22",""
"Rue Paul Vaillant-couturier","37",""
"Rue Paul Vaillant-couturier","37",""
"Rue Roger Salengro","9",""
"Rue Roger Salengro","7",""
"Cours de la République","18","bis"
"Cours de la République","19",""
"Rue des Frères Darty","7",""
"Rue des Frères Darty","1",""
"Avenue Galliéni","rue entière",NA
"Villa Fleury","rue entière",NA
"Rue Gatine","rue entière",NA
"Rue Jules Guesde","rue entière",NA
"Rue Auguste Polissard","rue entière",NA
"Rue Fremin","rue entière",NA
"Rue Borel","rue entière",NA
"Rue Laug","rue entière",NA
"Avenue Marguerite","rue entière",NA
"Route d'Aulnay","rue entière",NA
"Rue Gisèle Halimi","rue entière",NA
"Rue des Ecoles","rue entière",NA
"Impasse Fernand Pottier","rue entière",NA
"Rue des Frères Darty","rue entière",NA
"Rue Simone Veil","rue entière",NA
"Rue Sainte-Barbe","rue entière",NA
"Ruelle Sainte Barbe","rue entière",NA
"Rue Benoîte Groult","rue entière",NA
"Rue Roger Salengro","rue entière",NA
"Rue Jean Jaurés","rue entière",NA
"Rue Arthur Rimbaud","rue entière",NA
"Allee Anne Frank","rue entière",NA
"Villa Thorel","rue entière",NA
"Rue du Potager","rue entière",NA
"allée Hannah Arendt","rue entière",NA
"Quai Hubertine Auclert","rue entière",NA
"Rue Aretha Franklin","rue entière",NA
"Av du Mal de Lattre de Tassigny","rue entière",NA
"Place Arthur Rimbaud","rue entière",NA
"Place de la Division Leclerc","rue entière",NA
"Rue Nadia Murad","rue entière",NA
