Code;SIRET;Raison Sociale;Nom;Date immatriculation;Date déb;Date fin;Date de radiation;Num voie;BTQ;Voie;Complément;CP;Ville;INSEE;Pays;NACE;Lat;Lon;Tel;Mail;Montant Prév;Montant Déc;Montant Fact;Montant Sim;Date échange;Nb Supports
1258;79481805400015;SAISON MEUBLE;LOOK MONDIAL;;16/09/2013;31/12/2019;;148;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759A - Commerce de détail de meubles;48,90625953;2,48484201;;;1 960,30;0,00;0,00;0,00;;6
1404;52838683200018;SN MULTISERVICES;SN MULTISERVICES;;15/11/2010;;;114;;AVENUE DE LA REPUBLIQUE;;93140;BONDY;93010;FRANCE;9523ZZ;48,89606402;2,47781019;;;980,15;980,15;980,15;0,00;21/09/2022;13
1352;81949151500014;BONDY FORME;MAGIC FORM;;01/04/2016;;;2;;RUE NEUVE;;93140;BONDY;93010;FRANCE;9313Z - Activités des centres de culture physique;48,90235770;2,48326360;;;1 058,66;1 058,66;1 058,66;0,00;21/09/2022;14
1254;83120004300097;AMREST OPCO SAS;KFC;;15/11/2017;;;180;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;5610C - Restauration de type rapide;48,90665730;2,48769260;;;4 393,02;775,55;775,55;0,00;21/09/2022;36
1235;41355739800182;ANIMALIS;ANIMALIS;;01/01/2003;;;3;;RUE AUGUSTE POLISSARD;;93140;BONDY;93010;FRANCE;4776Z - Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé;48,90566620;2,48056927;;;4 706,89;1 755,03;1 755,03;0,00;21/09/2022;17
1358;78974732600013;AUTO ECOLE BONDY SUD;AUTO ECOLE BONDY SUD;;04/12/2012;;;146;;AVENUE HENRI BARBUSSE;;93140;BONDY;93010;FRANCE;8553Z - Enseignement de la conduite;48,89954630;2,49378654;;;1 356,43;1 356,43;1 356,43;0,00;21/09/2022;11
1236;37804750001408;B & B HOTELS;B&B HOTEL;;25/04/2012;;;90;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;6820B - Location de terrains et d'autres biens immobiliers;48,90543025;2,47919703;;;9 028,43;9 028,43;9 028,43;0,00;21/09/2022;10
1239;40668031400530;BRICORAMA FRANCE;BRICORAMA;;17/07/1998;31/12/2021;;175;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4752B - Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus);48,90747562;2,48527166;;;0,00;0,00;0,00;0,00;;7
1240;31890644301209;BUFFALO GRILL;BUFFALO  GRILL;;29/11/1999;;;53;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;5610A - Restauration traditionnelle;48,90464318;2,47559993;;;11 559,05;11 559,05;11 559,05;0,00;21/09/2022;7
1330;39909980300120;CEMEX BETONS ILE DE FRANCE;CEMEX FRANCE SERVICES;;01/01/1995;28/02/2022;;;;CANAL DE L'OURCQ;PORT D'AULNAY;93140;BONDY;93010;FRANCE;2363Z - Fabrication de béton prêt à l'emploi;48,90706311;2,47738211;;;6 333,24;0,00;0,00;0,00;;11
1241;51341756800013;CENTRE OPTIC;CENTRE OPTIC;;15/06/2009;;;161;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;2670ZB;48,90679373;2,48483563;;;1 241,84;1 241,84;1 241,84;0,00;21/09/2022;26
1250;80863684900875;CERTAS ENERGY FRANCE;ESSO EXPRESS OUEST;;24/06/2015;;;108;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4730Z - Commerce de détail de carburants en magasin spécialisé;48,90567775;2,48146141;;;1 698,61;1 698,61;1 698,61;0,00;21/09/2022;50
1249;80863684902970;CERTAS ENERGY FRANCE;ESSO EXPRESS EST;;24/06/2015;;;205;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4730Z - Commerce de détail de carburants en magasin spécialisé;48,90761252;2,49068593;;;1 284,66;1 284,66;1 284,66;0,00;21/09/2022;39
1336;57205033402253;CLEAR CHANNEL FRANCE;CLEAR CHANNEL FRANCE;;01/10/2005;;;24;;QUAI ALPHONSE LE GALLO;;92100;BOULOGNE BILLANCOURT;92012;FRANCE;7312Z - Régie publicitaire de médias;48,83224030;2,23524730;;;2 387,82;2 387,82;2 387,82;0,00;21/09/2022;10
1338;34191586600014;COMO BONDY;MERCEDES BENZ;;30/03/1987;;;113-121;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4511Z - Commerce de voitures et de véhicules automobiles légers;48,90649470;2,48120290;;;9 286,38;5 344,49;5 344,49;0,00;21/09/2022;21
1244;41481940900916;CONFORAMA FRANCE;CONFORAMA;;28/11/2000;;;53;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4759A - Commerce de détail de meubles;48,90572938;2,47551160;;;53 565,69;48 004,85;48 004,85;0,00;21/09/2022;68
1247;44129280200036;EQUINOXE;DESTOCK MANIA;;11/10/2008;;;162;;AVENUE GALLIENI;;93140;BONDY;93010;FRANCE;4771Z - Commerce de détail d'habillement en magasin spécialisé;48,90640483;2,48584796;;;6 208,71;6 208,71;6 208,71;0,00;21/09/2022;1
