"V1","V2","V3"
"OVIA Alimentation "," 241 Rue Edouard Vaillant, 93140 Bondy  ",""
"NEW JATHU & CO ","  Épicerie Alimentation Générale"," 120 Rue Roger Salengro, 93140 Bondy "
"MAMOPRIX "," 176 Avenue Henri Barbusse, 93140 Bondy ",""
"SALENGRO SUPER MARCHE "," 62 Rue Roger Salengro, 93140 Bondy ",""
"GAL EXOTIQUE "," 79 Route de Villemomble, 93140 Bondy ",""
"S.ONE.MARKET "," 175 Avenue Henri Barbusse, 93140 Bondy ",""
"ARANYA EXOTIQUES "," 32 Route de Villemomble, 93140 Bondy ",""
"SRI ALIMENTATION GENERALE "," 136 Avenue Henri Barbusse, 93140 Bondy – à vérifier urba Nouv Construction",""
"MK EXOTIQUE – 69  Rue Edouard Vaillant, 93140 Bondy ","",""
"KALAAJINI STORE "," 93 Rue Roger Salengro, 93140 Bondy ",""
"EXO LA GRÂCE DIVINE "," 68 Avenue Anatole France, 93140 Bondy ",""
"SAI BAVANI "," 68 Avenue Anatole France, 93140 Bondy ",""
"GREB MAATOUGSAMIA "," 75 Rue Edouard Vaillant, 93140 Bondy ",""
"LA VALLEE DE BONDY "," 93 Avenue de la République, 93140 Bondy ",""
"Le Marché d’à côté by Franprix "," 68 av anatole france 93140 Bondy",""
"COCCI MARKET "," 92 avenue carnot, 93140 Bondy",""
"NIITHUN – 2 rue Bordier, 93140 Bondy","",""
"BENHIDA BRAHIM – 95 rue Louis Auguste Blanqui, 93140 Bondy","",""
"ATHISHKA CASH AND CARRY – 24 rue Jules Guesde, 93140 Bondy","",""
"KALIA – 60 rue Michelet, 93140 Bondy","",""
"LE BONDY CHÂTEAU ROUGE "," 55 Rue Jules Guesde, 93140 Bondy ",""
"NIANA’S EXOTIC "," 21 Rue Jules Guesde, 93140 Bondy ",""
"CARICIN GRAD III "," 242 Avenue de Rosny, 93140 Bondy ",""
"RTA EXOTIQUE "," 2 Villa Gabriel Seailles, 93140 Bondy ",""
"COCCIMARKET "," 82 Avenue Galliéni, 93140 Bondy ",""
"MARCHE DE BONDY"," 20 rue Jean Jaures, 93140 Bondy",""
"MARCHE D’A COTE – 23 avenue Pasteur, 93140 Bondy","",""
"HALLE DE BONDY – 16 Rue Auguste Polissard, 93140 Bondy","",""
"RTA EXOTIQUE – 242 avenue de Rosny, 93140 Bondy","",""
"SPOTS MARKET "," 174 Chemin de Groslay, 93140 Bondy ",""
"L’OASIS NORD – 28  Avenue Léon Blum, 93140 Bondy ","",""
"SUPERMACHE ORIENTAL – 2 Bis Avenue Henri Varagnat, 93140 Bondy ","",""
"SINGASTORE – 29 Avenue Jean Moulin, 93140 Bondy ","",""
"GANESAVEL – 9 rue du Verger, 93140 Bondy","",""
"MANASHA – 54 Route d’Aulnay, 93140 Bondy","",""
"NAS SUPERETTE – 79 Route D’aulnay, 93140 Bondy","",""
"VOTRE MARCHE – 20 avenue Suzanne Buisson, 93140","",""
"AATHIVEL"," 9 rue du Verger, 93140 bondy",""
"BONDY MINI MARCHE"," 7 rue Louis Auguste Blanqui, 93140 Bondy",""
"FRANPRIX – 8 rue Roger Salengro, 93140 Bondy","",""
"FRANPRIX"," 11 pl nicole neuburger "," 93140 Bondy"
"FRANPRIX "," 6 rue philosophie  "," 93140 Bondy"
"FRANPRIX– 11 Place Nicole neuburger – 93140 Bondy","",""
"G20 – 24 Route d’Aulnay – 93140 Bondy","",""
"G20"," 9 Avenue Henri Barbusse, 93140 Bondy",""
