"TXT","LIBELLE"
"ERE1","Bretelle d’accès à
l’autoroute A3 et
liaison piétonne
parallèle à l’autoroute"
"ERBd5","Création de la voirie
parallèle à l’allée des
Dahlias au Sud
Emprise de 5 m"
"ERBd6","Équipement public
sur le bâtiment des
Salins"
"ERBd10","Création d’un
cheminement public
pour assurer le
maillage dans le
prolongement de la
rue Borel"
"ERBd9","Programme mixte : logements et équipement public"
"ERD1","Elargissement de la
rue Auguste
Polissard, du 7 au 15
(parcelles cadastrées
Pn°23 à 26) – D1"
"ERBd4","Création d’un accès à
l’ensemble Albert
Thomas
Emprise de 16 m"
"ERBd3","Désenclavement du
Chêne Rond, rue
Edouard Vaillant"
"ERBd2","Redressement de la
rue Roger Salengro"
"ERBd8","Création d’une école"
"ERBd1","Elargissement de la
V210 (Avenue
Anatole France)
Emprise : variable"
"ERBd7","Chemin doux d’accès
aux berges du canal
de l’Ourcq"
"ERD2","Elargissement
unilatéral sud de
l’avenue Henri
Barbusse (RD10 entre
les numéros 79 et 93,
avec une emprise de
18 mètres) – D2"
"ERBd11","Elargissement des
berges du Canal"
"ERBd12","Création d'une allée
centrale publique
piétonne d'accès au
Parc de Bondy"
