,NOM,NomProp,aire,ha
62,Canal de l'Ourcq,Personne morale,98647,
3,Bois de Bondy,Mairie de Bondy,89 290,"8,9"
50,EV Place Georges Lyssandre,Bailleur,28103,
71,Blanqui MLK,Bailleur,25233,
6,Parc de la Mare à la Veuve Honorine de Beauvais,Mairie de Bondy,24 627,"2,5"
44,Campus IRD,Etat,20713,
27,ZAC Rives de l'Ourcq ?,Mairie de Bondy,14 958,"1,5"
48,Jardins de la Noue,Personne morale,14484,
61,Voie tram-train,Marie de Bondy,14 402,"1,4"
24,?,Bailleur ?,10148,
20,Cité des fleurs 2,Bailleur,8840,
79,Bassin de rétention,Mairie de Bondy,8 392,"0,8"
30,Paul Eluard,Bailleur,7779,
52,EV potentiel,Bailleur,7384,
39,Chemin de la Mare prolongé,Mairie de Bondy,6 747,"0,7"
49,EV Allée des Orchidées,Bailleur,6186,
45,EV de copropriété,Copro,5970,
1,Square François Mitterrand,Mairie de Bondy,5 628,"0,6"
19,Cité des fleurs 1,Bailleur,5519,
10,Square Boris Bernstein,Mairie de Bondy,5 079,"0,5"
31,Aide sociale à l'enfance,Département,5008,
42,Résidence La Bruyère,Personne morale,4881,
18,Le carré,Bailleur,4444,
14,Square Robert Grammont,Mairie de Bondy,4 363,"0,4"
5,Théâtre de verdure,Mairie de Bondy,3 925,"0,4"
40,Copropriétés Dolet,Personne morale,3751,
13,Square Jean Lebas,Mairie de Bondy,3 546,"0,4"
4,Square du 19 mars 1962,Mairie de Bondy,3 511,"0,4"
17,Marx Dormoy,Bailleur,3185,
33,Avenue Pasteur,Bailleur,3003,
2,Square Avenue Pasteur,Marie de Bondy,2 346,"0,2"
46,EV de copropriété,Copro,2240,
23,Square Alcacer do Sal,Mairie de Bondy,2 142,"0,2"
35,Rue de la Fraternité,Bailleur,2041,
72,EV Léon Blum,Mairie de Bondy,2 019,"0,2"
78,Bobillot,Bailleur,1855,
47,Extension square Maurice Benhamou,Mairie de Bondy,1 745,"0,2"
51,EV de copropriété,Copro,1662,
53,EV potentiel,Bailleur,1607,
73,Square Rudyard Kipling,Mairie de Bondy,1 501,"0,2"
32,Etablissement d'enseignement spécialisé,Personne morale,1443,
28,Square du Breuil,Mairie de Bondy,1 255,"0,1"
7,Square Maurice Benhamou,Mairie de Bondy,1 122,"0,1"
75,Place des Marronniers,Mairie de Bondy,1 007,"0,1"
11,Square Anne Franck,Mairie de Bondy,999,"0,1"
29,Rue Lucien Chapelain,Mairie de Bondy,730,"0,1"
66,Promenade G. Sand,Mairie de Bondy,543,"0,1"
55,Jardin partagé cité éducative,Mairie de Bondy,400,"0,0"
22,Square Dian Fossey,Mairie de Bondy,381,"0,0"
60,Square Rodin,Mairie de Bondy,85,"0,0"
21,Jardin partagé de Leon Blum,Mairie de Bondy,79,"0,0"
64,Square Blanqui,Mairie de Bondy,7,"0,0"
43,Campus IRD,Etat,0,
