,x,categ2,categ1
16,BONDY COEUR DE VILLE,aménagement,PRIVE
17,BONDY TERRASSES DU CANAL,aménagement,PRIVE
18,BOUYGUES IMMOBILIER,aménagement,PRIVE
58,SEMICOB,aménagement,PRIVE
59,SEQUANO AMENAGEMENT,aménagement,PRIVE
60,SEQUANO RESIDENTIEL,aménagement,PRIVE
4,A G BONDY,association,AUTRES
8,APAJH BONDY,association,AUTRES
9,APF FRANCE HANDICAP,association,AUTRES
10,ASS IMMOBILIERE ASSOMPTION,association,AUTRES
11,ASS LOCALE POUR LE CULTE DES TEMOINS DE JEHOVAH DE BONDY,association,AUTRES
61,SNC LNC ALEPH PROMOTION,association,AUTRES
5,ALPY 316,commerce,PRIVE
6,ANAYJA,commerce,PRIVE
7,ANNIL KUTTY,commerce,PRIVE
19,BPCE LEASE IMMO,commerce,PRIVE
20,CAPA CLEMA,commerce,PRIVE
22,CLARM,commerce,PRIVE
24,CONFORAMA DEVELOPPEMENT 12,commerce,PRIVE
25,CONFORAMA FRANCE,commerce,PRIVE
26,CRISTAL RENTE,commerce,PRIVE
27,D F L P,commerce,PRIVE
28,DAUMESNIL INVEST,commerce,PRIVE
29,ETABLISSEMENTS DARTY ET FILS,commerce,PRIVE
31,GAGOU A,commerce,PRIVE
32,GENE-ENTREPRISE,commerce,PRIVE
33,GUERIN GARREAU,commerce,PRIVE
37,JCI,commerce,PRIVE
38,JULIA,commerce,PRIVE
39,K I F 20-26 MARS,commerce,PRIVE
40,LA PARISIENNE,commerce,PRIVE
41,LE SOLEIL DE BONDY,commerce,PRIVE
42,LESTANE,commerce,PRIVE
43,LISEHO,commerce,PRIVE
44,MARABU FRANCE S A R L,commerce,PRIVE
45,MS,commerce,PRIVE
48,NATIOCREDIBAIL,commerce,PRIVE
49,OPERA IMMO-INVEST,commerce,PRIVE
50,ORLA,commerce,PRIVE
51,OSCAR,commerce,PRIVE
52,OVI,commerce,PRIVE
53,PROMO BRICO,commerce,PRIVE
54,RAYVOUD SA,commerce,PRIVE
55,RUCHO ET CIE,commerce,PRIVE
56,SAS 1 RUE DE LA LIBERTE,commerce,PRIVE
57,SDB EDOUARD VAILLANT,commerce,PRIVE
62,SYLHET VILLA,commerce,PRIVE
64,TAPIS SAINT MACLOU,commerce,PRIVE
65,TARA,commerce,PRIVE
66,VERSAILLES 1,commerce,PRIVE
67,YILMAZ,commerce,PRIVE
35,IMMO BILLY,immobilier,PRIVE
36,IMMO EVOLUTIF,immobilier,PRIVE
46,MS INVEST IMMO,immobilier,PRIVE
1,193 AVENUE,inconnu,AUTRES
2,26,inconnu,AUTRES
3,77 SALENGRO,inconnu,AUTRES
12,ASSERAM,inconnu,AUTRES
13,ATTHE ILLAM,inconnu,AUTRES
14,BAYET,inconnu,AUTRES
15,BIONNASSAY,inconnu,AUTRES
30,FONCIERE RU 01 2014,immobilier,commerce
21,CERTAS ENERGY FRANCE,service,AUTRES
23,CLINIQUES CHIRURGICALES,service,AUTRES
34,GUILBERT PROPRETE,service,AUTRES
47,MUTUELLE ASSURANCE INSTITUTEUR FRANCE,service,AUTRES
