"","NATURE","NOM","NOM_1_G","usage","nom"
"1","ALL","POTTIER","ALL POTTIER",public,"Habib"
"2","ALL","ANNE FRANK","ALL ANNE FRANK",public,"Habib"
"6","R","GASTON DEFFERRE","R GASTON DEFFERRE","privé","Habib"
"8","ALL","RENONCULES","ALL DES RENONCULES","privé","Habib"
"9","R","EMMANUEL FAIRON","R EMMANUEL FAIRON",public,"Habib"
"10","AV","PASTEUR","AV PASTEUR",public,"Habib"
"12","ALL","EGALITE","ALL DE L'EGALITE",public,"Habib"
"14","ALL","REGALE","ALL DE LA REGALE",public,"Habib"
"15","R","NEUVE","R NEUVE","privé","Habib"
"18","ALL","HANNAH ARENDT","ALL HANNAH ARENDT","public","Habib"
"19","PL","ARTHUR RIMBAUD","PL ARTHUR RIMBAUD",public,"Habib"
"20","R","ROBERT BONNET","R ROBERT BONNET",public,"Habib"
"21","R","JEAN JAURES","R JEAN JAURES",public,"Habib"
"27","R","MARCELLIN BERTHELOT","R MARCELLIN BERTHELOT",public,"Habib"
"28","R","JULIE VICTOIRE DAUBIE","R JULIE VICTOIRE DAUBIE",public,"Habib"
"31","ALL","ORCHIDEES","ALL DES ORCHIDEES","privé","Habib"
"33","PL","CHARLES DE GAULLE","PL CHARLES DE GAULLE",public,"Habib"
"34","ALL","IRIS","ALL DES IRIS","privé","Habib"
"35","R","ROGESALENGRO","R ROGER SALENGRO",public,"Habib"
"36","R","RAOUL","R RAOUL",public,"Habib"
"39","R","CHALET","R DU CHALET",public,"Habib"
"42","CITE","SAULES","CITE DES SAULES",public,"Habib"
"44","R","NYS COCHIN","R DENYS COCHIN",public,"Habib"
"45","R","NOEMIE","R NOEMIE",public,"Habib"
"47","R","SAINTE-BARBE","R SAINTE-BARBE",public,"Habib"
"48","ALL","PAQUERETTES","ALL DES PAQUERETTES","privé","Habib"
"50","R","HENRI DOUILLOT","R HENRI DOUILLOT",public,"Habib"
"52","ALL","RULHIERE","ALL RULHIERE",public,"Habib"
"55","R","GEORGES ELIE","R GEORGES ELIE",public,"Habib"
"61","RLE","SAINTE-BARBE","RLE SAINTE-BARBE","piéton","Habib"
"62","R","BAUDIN","R BAUDIN",public,"Habib"
"66","R","PROFESSEUVAILLANT","R DU PROFESSEUR VAILLANT",public,"Habib"
"70.1","AV","GALLIENI","AV GALLIENI",public,"Habib"
"76.1","R","ECOLES","R DES ECOLES",public,"Habib"
"77.1","AV","MARGUERITE","AV MARGUERITE",public,"Habib"
"78","R","AVIATION","R DE L'AVIATION",public,"Habib"
"82","ALL","BOILEAU","ALL BOILEAU",public,"Habib"
"85","ALL","CHENES","ALL DES CHENES",public,"Habib"
"87","R","TREMEUGE","R DE TREMEUGE",public,"Habib"
"88","PL","NICOLE NEUBURGER","PL NICOLE NEUBURGER",public,"Habib"
"90","R","PARIS","R DE PARIS",public,"Habib"
"91","R","BERANGER","R BERANGER",public,"Habib"
"94","PL","FLEURS","PL DES FLEURS",public,"Habib"
"96","CRS","REPUBLIQUE","CRS DE LA REPUBLIQUE",public,"Habib"
"97","ALL","THERESE","ALL THERESE",public,"Habib"
"98","ALL","LEON","ALL LEON",public,"Habib"
"103.1","RTE","STAINS","RTE DE STAINS",public,"Habib"
"104","R","PAUL VAILLANT COUTURIER","R PAUL VAILLANT COUTURIER",public,"Habib"
"105","VLA","FLEURY","VLA FLEURY",public,"Habib"
"106","R","MICHELET","R MICHELET",public,"Habib"
"107","AV","CARNOT","AV CARNOT",public,"Habib"
"111","R","FREMIN","R FREMIN",public,"Habib"
"114","ALL","MOLIERE","ALL MOLIERE",public,"Habib"
"115","R","BERNARD DE JUSSIEU","R BERNARD DE JUSSIEU",public,"Habib"
"116","ALL","MARCEL SEMBAT","ALL MARCEL SEMBAT",public,"Habib"
"118","PAS","MICHELET","PAS MICHELET","privé","Habib"
"126","AV","ROSNY","AV DE ROSNY",public,"Habib"
"132","R","PHILEAS COLLARDEAU","R PHILEAS COLLARDEAU",public,"Habib"
"133","PL","DIVISION LECLERC","PL DE LA DIVISION LECLERC",public,"Habib"
"134","ALL","GEORGES SAND","ALL GEORGES SAND",public,"Habib"
"137","R","CRONSTADT","R DE CRONSTADT",public,"Habib"
"138","R","GATINE","R GATINE",public,"Habib"
"139","R","GAZELLES","R DES GAZELLES",public,"Habib"
"143","R","BEAUREGARD","R BEAUREGARD",public,"Habib"
"145","ALL","RENDEZ VOUS","ALL DU RENDEZ VOUS",public,"Habib"
"148","ALL","PENSEES","ALL DES PENSEES","privé","Habib"
"156","IMP","VIOLETTES","IMP DES VIOLETTES","privé","Habib"
"163","ALL","ANEMONES","ALL DES ANEMONES","privé","Habib"
"165","R","ARTHUR RIMBAUD","R ARTHUR RIMBAUD",public,"Habib"
"171","AV","VERDUN","AV DE VERDUN",public,"Habib"
"173","ALL","LILAS","ALL DES LILAS","privé","Habib"
"175","ALL","CONCORDE","ALL DE LA CONCORDE",public,"Habib"
"177","R","BREUIL","R DU BREUIL",public,"Habib"
"184","R","PIERRE BROSSOLETTE","R PIERRE BROSSOLETTE",public,"Habib"
"188","R","EGALITE","R DE L'EGALITE",public,"Habib"
"189","R","COMPAGNON","R COMPAGNON",public,"Habib"
"191","ALL","ALICE","ALL ALICE",public,"Habib"
"192","R","POTAGER","R DU POTAGER","privé","Habib"
"194","R","CYCLE","R DU CYCLE",public,"Habib"
"195","R","YVONNE","R YVONNE",public,"Habib"
"206","ALL","PAIX","ALL DE LA PAIX",public,"Habib"
"212","IMP","FERNAND POTTIER","IMP FERNAND POTTIER",public,"Habib"
"213","R","ROBERT DOUVILLEZ","R ROBERT DOUVILLEZ",public,"Habib"
"222","ALL","ANDREA","ALL ANDREA",public,"Habib"
"223","R","DROITS DE L'HOMME","R DES DROITS DE L'HOMME",public,"Habib"
"227","AV","ALBERT THOMAS","AV ALBERT THOMAS",public,"Habib"
"232.1","R","BOREL","R BOREL",public,"Habib"
"233","R","EUGENE MASSON","R EUGENE MASSON",public,"Habib"
"235","ALL","VOLTAIRE","ALL VOLTAIRE",public,"Habib"
"239","R","FRATERNITE","R DE LA FRATERNITE",public,"Habib"
"240","R","HELENE BOUCHER","R HELENE BOUCHER","privé","Habib"
"248","R","GUY DE MAUPASSANT","R GUY DE MAUPASSANT",public,"Habib"
"254","VLA","BREUIL","VLA DU BREUIL","privé","Habib"
"256","ALL","PRIMEVERES","ALL DES PRIMEVERES","privé","Habib"
"258.1","CH","PONT","CH DU PONT",public,"Habib"
"260","R","ABBE MAURICE BAURIT","R DE L'ABBE MAURICE BAURIT","privé","Habib"
"262","PL","GEORGES LYSSANDRE","PL GEORGES LYSSANDRE","privé","Habib"
"269","R","GUILLAUME APOLLINAIRE","R GUILLAUME APOLLINAIRE","privé","Habib"
"270","VLA","THOREL","VLA THOREL",public,"Habib"
"278","R","JULES AUFFRET","R JULES AUFFRET",public,"Habib"
"279","R","CESAR DELAINE","R CESAR DELAINE",public,"Habib"
"281","SQ","8 MAI 1945","SQ DU 8 MAI 1945",public,"Habib"
"286","VLA","GABRIEL SEAILLES","VLA GABRIEL SEAILLES","privé","Habib"
"289","R","PRESSENSE","R DE PRESSENSE",public,"Habib"
"295","R","FRERES DARTY","R DES FRERES DARTY",public,"Habib"
"299","R","HENRI ALPY","R HENRI ALPY",public,"Habib"
"305","R","HENRY ESPAULLARD","R HENRY ESPAULLARD",public,"Habib"
"307","VLA","CERISES","VLA DES CERISES","privé","Habib"
"309","R","5 ORMES","R DES 5 ORMES",public,"Habib"
"312","R","AMEDEE GUYARD","R AMEDEE GUYARD",public,"Habib"
"316","PL","11 NOVEMBRE 1918","PL DU 11 NOVEMBRE 1918",public,"Habib"
"318","ALL","RASPAIL","ALL RASPAIL",public,"Habib"
"322","R","CHARLES FERDINAND","R CHARLES FERDINAND",public,"Habib"
"323","R","AUGUSTE POLISSARD","R AUGUSTE POLISSARD",public,"Habib"
"345.1","RTE","AULNAY","RTE D'AULNAY",public,"Habib"
"347","AV","MAL DE LATTRE DE TASSIGNY","AV MAL DE LATTRE DE TASSIGNY",public,"Habib"
"353","R","COQ GAULOIS","R DU COQ GAULOIS",public,"Habib"
"355","AV","HENRI BARBUSSE","AV HENRI BARBUSSE",public,"Habib"
"356","R","JULES GUESDE","R JULES GUESDE",public,"Habib"
"357","R","LOUIS AUGUSTE BLANQUI","R LOUIS AUGUSTE BLANQUI",public,"Habib"
"367","ESPL","ESPL CLAUDE FUZIER","ESPL CLAUDE FUZIER",public,"Habib"
