Numéro d'établissement;Nom établissement;Adresse 1;Adresse 2;Adresse 3;Code postal;Commune;Régime en vigueur;Statut SEVESO;Date de dernière inspection;Statut IED;Numéro SIRET
0006506273;BIONAZ;28 RUE MARCEL DASSAULT;;;93140;Bondy;Enregistrement;Non Seveso;;non;65204040300014
0007408136;BONDY HABITAT (OPHLM);RUE JEAN MOULIN;(30 RUE SUZANNE BUISSON - ex face au 47;;93140;Bondy;Enregistrement;Non Seveso;2008-12-12;non;27930003200034
0007409123;BUZDUGANARIU Minodora;35 RUE DE VARSOVIE;;;93140;Bondy;Non ICPE;;2010-08-04;non;
0006525099;CEMEX BETON;1 QUAI HUBERTINE AUCLERT;Chemin du Halage;;93140;Bondy;Autres régimes;;2021-09-30;non;
0006517523;CERTAS ENERGY FRANCE;106 108 avenue Gallieni;;;93140;Bondy;Autres régimes;;2024-06-06;non;80863684900024
0007403973;CERTAS ENERGY FRANCE;205 AV GALLIENI;;;93140;Bondy;Autres régimes;;2024-06-06;non;54201005300016
0059300028;CHF (SARL);;5, chemin latéral;;93140;Bondy;Non ICPE;;2007-12-05;non;
0006506369;CORIANCE;SOCIETE THERMIQUE DE BONDY;31 avenue Andreï Sakharov ZAC Bondy Nord;;93140;Bondy;Enregistrement;Non Seveso;;non;
0007404574;EFR FRANCE;165 avenue du Général Galliéni;;;93140;Bondy;Autres régimes;;2006-02-06;non;39936081702250
0006525101;EQIOM BETONS IDF;Chemin de Halage au Canal de l'Ourcq;;;93140;Bondy;Autres régimes;;2021-09-30;non;
0007407461;ETS DARTY ET FILS;129-155 AV GAL GALLIENI;;;93140;Bondy;Autres régimes;;2007-10-01;non;54208661600035
0006520961;France Emballage International;33 avenue Galliéni;;;93140;Bondy;Autres régimes;;2024-03-11;non;94808843000012
0007407144;GDR CHERPIN SARL;34-36, RUE  ETIENNE DOLET;;;93140;Bondy;Non ICPE;;2007-07-19;non;41926255500024
0007408848;ICF LA SABLIERE;132-168 Route DE VILLEMOMBLE;;;93140;Bondy;Autres régimes;;2019-12-03;non;
0007406683;LORA GAZ   SARL;5 RUE DE TREMEUGE;;;93140;Bondy;Non ICPE;;2007-04-16;non;48807223200033
0006524038;MASQUES DE FRANCE;63-65 rue Marcel Dassault;;;93140;Bondy;Non ICPE;;2020-09-24;non;88446802600015
0007409122;M. DIDI Maurice;37 RUE DE VARSOVIE;;;93140;Bondy;Non ICPE;;2010-08-04;non;39849579600045
0100006538;PRESSING DE LA GARE;114 AV DE LA REPUBLIQUE;;;93140;Bondy;Non ICPE;;2023-02-14;non;80028026500011
0006506370;SAS PROTEC  DECOR;45 ROUTE DE VILLEMOMBLE;;;93140;Bondy;Non ICPE;;2014-08-22;non;49426160500013
0007408907;S.N.B.  (URL);36 RUE RAOUL;;;93140;Bondy;Non ICPE;;2008-10-22;non;35328182700033
0007404470;SOCIETE ALLIAGE;11 RUE MARCEL DASSAULT;;;93140;Bondy;Autres régimes;;2009-09-29;non;38976304600049
0006515885;STPS DECHETS;Chemin du Halage;;;93140;Bondy;Non ICPE;;2012-04-18;non;48518475800012
