"Numéro d'établissement";"Nom établissement";"Adresse 1";"Adresse 2";"Adresse 3";"Code postal";"Commune";"Régime en vigueur";"Statut SEVESO";"Date de dernière inspection";"Statut IED";"Numéro SIRET";"latitude";"longitude";"result_label";"result_score";"result_score_next";"result_type";"result_id";"result_housenumber";"result_name";"result_street";"result_postcode";"result_city";"result_context";"result_citycode";"result_oldcitycode";"result_oldcity";"result_district";"result_status"
6506273;"BIONAZ";"28 RUE MARCEL DASSAULT";;;93140;"Bondy";"Enregistrement";"Non Seveso";;"non";65204040300014;"48.888008";"2.484269";"28 Rue Marcel Dassault 93140 Bondy";"0.9714954545454545";;"housenumber";"93010_6125_00028";28;"28 Rue Marcel Dassault";"Rue Marcel Dassault";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
7408136;"BONDY HABITAT (OPHLM)";"RUE JEAN MOULIN";"(30 RUE SUZANNE BUISSON - ex face au 47";;93140;"Bondy";"Enregistrement";"Non Seveso";"2008-12-12";"non";27930003200034;"48.913465";"2.480799";"30 Avenue Suzanne Buisson 93140 Bondy";"0.49452994572591585";;"housenumber";"93010_8880_00030";30;"30 Avenue Suzanne Buisson";"Avenue Suzanne Buisson";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
7409123;"BUZDUGANARIU Minodora";"35 RUE DE VARSOVIE";;;93140;"Bondy";"Non ICPE";;"2010-08-04";"non";;"48.891902";"2.475636";"35 Rue de Varsovie 93140 Bondy";"0.967980909090909";;"housenumber";"93010_9610_00035";35;"35 Rue de Varsovie";"Rue de Varsovie";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
6525099;"CEMEX BETON";"1 QUAI HUBERTINE AUCLERT";"Chemin du Halage";;93140;"Bondy";"Autres régimes";;"2021-09-30";"non";;"48.906438";"2.475054";"1 Quai Hubertine Auclert 93140 Bondy";"0.6613262937062937";"0.3818317774762551";"housenumber";"93010_4481_00001";1;"1 Quai Hubertine Auclert";"Quai Hubertine Auclert";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
6517523;"CERTAS ENERGY FRANCE";"106 108 avenue Gallieni";;;93140;"Bondy";"Autres régimes";;"2024-06-06";"non";80863684900024;"48.905816";"2.481055";"108 Avenue Galliéni 93140 Bondy";"0.8672826737967914";;"housenumber";"93010_4120_00108";108;"108 Avenue Galliéni";"Avenue Galliéni";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
7403973;"CERTAS ENERGY FRANCE";"205 AV GALLIENI";;;93140;"Bondy";"Autres régimes";;"2024-06-06";"non";54201005300016;"48.907222";"2.489032";"205 Avenue Galliéni 93140 Bondy";"0.7982814662756598";;"housenumber";"93010_4120_00205";205;"205 Avenue Galliéni";"Avenue Galliéni";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
59300028;"CHF (SARL)";;"5, chemin latéral";;93140;"Bondy";"Non ICPE";;"2007-12-05";"non";;"48.908329";"2.478526";"5 Chemin Latéral 93140 Bondy";"0.9695636363636362";;"housenumber";"93010_5109_00005";5;"5 Chemin Latéral";"Chemin Latéral";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
6506369;"CORIANCE";"SOCIETE THERMIQUE DE BONDY";"31 avenue Andreï Sakharov ZAC Bondy Nord";;93140;"Bondy";"Enregistrement";"Non Seveso";;"non";;"48.915954";"2.492098";"31 Rue Andrei Sakharov 93140 Bondy";"0.40616909090909087";;"housenumber";"93010_0058_00031";31;"31 Rue Andrei Sakharov";"Rue Andrei Sakharov";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
7404574;"EFR FRANCE";"165 avenue du Général Galliéni";;;93140;"Bondy";"Autres régimes";;"2006-02-06";"non";39936081702250;"48.906816";"2.485196";"165 Avenue Galliéni 93140 Bondy";"0.7303321064301551";"0.6553378224101479";"housenumber";"93010_4120_00165";165;"165 Avenue Galliéni";"Avenue Galliéni";93140;"Bondy";"93, Seine-Saint-Denis, Île-de-France";93010;;;;"ok"
6525101;"EQIOM BETONS IDF";"Chemin de Halage au Canal de l'Ourcq";;;93140;"Bondy";"Autres régimes";;"2021-09-30";"non";;"50.676329";"3.093578";"Chemin de halage du Canal de Roubaix 59700 Marcq-en-Barœul";"0.5043619008264463";"0.494969173553719";"street";"59378_r79ili";;"Chemin de halage du Canal de Roubaix";"Chemin de halage du Canal de Roubaix";59700;"Marcq-en-Barœul";"59, Nord, Hauts-de-France";59378;;;;"ok"
