"clé","type","Nom court","Nom long","Type de périmètre (court)","Type de périmètre (long)","Date de début de validité","Date de fin de validité","Commentaires
(Vérification importante)","Source de la donnée"
" 2A TRADING ","ICPE","Installation Classée Pour l'Environnement (ICPE) : 2A TRADING (33 avenue Galliéni) soumise à autre régime","Installation Classée Pour l'Environnement (ICPE) : 2A TRADING (33 avenue Galliéni) soumise à autre régime","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : 2A TRADING (33 avenue Galliéni) soumise à autre régime","Géorisques"
" BIONAZ ","ICPE","Installation Classée Pour l'Environnement (ICPE) : BIONAZ (28 RUE MARCEL DASSAULT) soumise à enregistrement (non-Seveso)","Installation Classée Pour l'Environnement (ICPE) : BIONAZ (28 RUE MARCEL DASSAULT) soumise à enregistrement (non-Seveso)","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : BIONAZ (28 RUE MARCEL DASSAULT) soumise à enregistrement (non-Seveso)","Géorisques"
" BONDY HABITAT (OPHLM)","ICPE","Installation Classée Pour l'Environnement (ICPE) : BONDY HABITAT (OPHLM) (RUE JEAN MOULIN - (30 RUE SUZANNE BUISSON - ex face au 47) soumise à enregistrement (non-Seveso)","Installation Classée Pour l'Environnement (ICPE) : BONDY HABITAT (OPHLM) (RUE JEAN MOULIN - (30 RUE SUZANNE BUISSON - ex face au 47) soumise à enregistrement (non-Seveso)","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : BONDY HABITAT (OPHLM) (RUE JEAN MOULIN - (30 RUE SUZANNE BUISSON - ex face au 47) soumise à enregistrement (non-Seveso)","Géorisques"
" BUZDUGANARIU Minodora ","ICPE","Installation Classée Pour l'Environnement (ICPE) : BUZDUGANARIU Minodora (35 RUE DE VARSOVIE) soumise à autre régime","Installation Classée Pour l'Environnement (ICPE) : BUZDUGANARIU Minodora (35 RUE DE VARSOVIE) soumise à autre régime","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : BUZDUGANARIU Minodora (35 RUE DE VARSOVIE) soumise à autre régime","Géorisques"
" CEMEX BETON ","ICPE","Installation Classée Pour l'Environnement (ICPE) : CEMEX BETON (1 QUAI HUBERTINE AUCLERT - Chemin du Halage) soumise à autre régime","Installation Classée Pour l'Environnement (ICPE) : CEMEX BETON (1 QUAI HUBERTINE AUCLERT - Chemin du Halage) soumise à autre régime","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : CEMEX BETON (1 QUAI HUBERTINE AUCLERT - Chemin du Halage) soumise à autre régime","Géorisques"
" CERTAS ENERGY FRANCE 106","ICPE","Installation Classée Pour l'Environnement (ICPE) : CERTAS ENERGY FRANCE (106 108 avenue Gallieni) soumise à autre régime","Installation Classée Pour l'Environnement (ICPE) : CERTAS ENERGY FRANCE (106 108 avenue Gallieni) soumise à autre régime","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : CERTAS ENERGY FRANCE (106 108 avenue Gallieni) soumise à autre régime","Géorisques"
" CERTAS ENERGY FRANCE 205","ICPE","Installation Classée Pour l'Environnement (ICPE) : CERTAS ENERGY FRANCE (205 AV GALLIENI) soumise à autre régime","Installation Classée Pour l'Environnement (ICPE) : CERTAS ENERGY FRANCE (205 AV GALLIENI) soumise à autre régime","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : CERTAS ENERGY FRANCE (205 AV GALLIENI) soumise à autre régime","Géorisques"
" CHF (SARL)","ICPE","Installation Classée Pour l'Environnement (ICPE) : CHF (SARL) (- 5, chemin latéral) soumise à autre régime","Installation Classée Pour l'Environnement (ICPE) : CHF (SARL) (- 5, chemin latéral) soumise à autre régime","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : CHF (SARL) (- 5, chemin latéral) soumise à autre régime","Géorisques"
" CORIANCE ","ICPE","Installation Classée Pour l'Environnement (ICPE) : CORIANCE (SOCIETE THERMIQUE DE BONDY - 31 avenue Andreï Sakharov ZAC Bondy Nord) soumise à enregistrement (non-Seveso)","Installation Classée Pour l'Environnement (ICPE) : CORIANCE (SOCIETE THERMIQUE DE BONDY - 31 avenue Andreï Sakharov ZAC Bondy Nord) soumise à enregistrement (non-Seveso)","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : CORIANCE (SOCIETE THERMIQUE DE BONDY - 31 avenue Andreï Sakharov ZAC Bondy Nord) soumise à enregistrement (non-Seveso)","Géorisques"
" EFR FRANCE ","ICPE","Installation Classée Pour l'Environnement (ICPE) : EFR FRANCE (165 avenue du Général Galliéni) soumise à autre régime","Installation Classée Pour l'Environnement (ICPE) : EFR FRANCE (165 avenue du Général Galliéni) soumise à autre régime","PAU","Périmètre autre",28/06/23,,"Installation Classée Pour l'Environnement (ICPE) : EFR FRANCE (165 avenue du Général Galliéni) soumise à autre régime","Géorisques"
