"","NOM_1_G","case"
"358","","2A"
"370","","3F"
"370.1","","4F"
"29","1","3B"
"307","10","3B"
"117","11","3B"
"314","12","3B"
"214","13","3B"
"172","14","3B"
"74","15","3B"
"153","16","3D"
"348","17","2E"
"348.1","17","3E"
"106","2","3B"
"124","3","3B"
"163","4","3B"
"204","5","3B"
"236","6","3B"
"253","7","3B"
"321","8","3B"
"284","9","3B"
"114","ALL ALEXANDRE MARTHE","3C"
"196","ALL ALICE","4C"
"228","ALL ANDREA","4C"
"2","ALL ANNE FRANK","2D"
"185","ALL ANNE SYLVESTRE","2F"
"185.1","ALL ANNE SYLVESTRE","3F"
"296","ALL BECQUEREL","4B"
"86","ALL BOILEAU","4B"
"86.1","ALL BOILEAU","4C"
"230","ALL C GOUNOD","3B"
"140","ALL CLAUDE DEBUSSY","3B"
"320","ALL CORNEILLE","4B"
"320.1","ALL CORNEILLE","4C"
"223","ALL DE FURCI","2C"
"223.1","ALL DE FURCI","3C"
"12","ALL DE L'EGALITE","2C"
"17","ALL DE L'ETOILE","3A"
"17.1","ALL DE L'ETOILE","3B"
"327","ALL DE L'ORME","2A"
"327.1","ALL DE L'ORME","2B"
"327.2","ALL DE L'ORME","3B"
"180","ALL DE LA CONCORDE","3B"
"180.1","ALL DE LA CONCORDE","3C"
"22","ALL DE LA DEVINIERE","3F"
"96","ALL DE LA FAUVETTE","3B"
"96.1","ALL DE LA FAUVETTE","3C"
"300","ALL DE LA JARDINIERE","3E"
"211","ALL DE LA PAIX","3B"
"211.1","ALL DE LA PAIX","4B"
"211.2","ALL DE LA PAIX","4C"
"14","ALL DE LA REGALE","4C"
"14.1","ALL DE LA REGALE","4D"
"104","ALL DE LA VILLA JEANNETTE","3B"
"104.1","ALL DE LA VILLA JEANNETTE","3C"
"39","ALL DES ALOUETTES","4B"
"168","ALL DES ANEMONES","3D"
"88","ALL DES ARTS","4B"
"146","ALL DES AZALEES","2D"
"207","ALL DES BOSQUETS","3E"
"107","ALL DES BOULEAUX","2F"
"89","ALL DES CHENES","4B"
"89.1","ALL DES CHENES","4C"
"220","ALL DES COLOMBES","3B"
"65","ALL DES COQUELICOTS","3A"
"65.1","ALL DES COQUELICOTS","3B"
"38","ALL DES COURTS SILLONS","4B"
"260","ALL DES DAHLIAS","2D"
"3","ALL DES ERABLES","2F"
"293","ALL DES FOUGERES","2E"
"67","ALL DES FRENES","2F"
"125","ALL DES GLAIEULS","2D"
"331","ALL DES GLYCINES","2D"
"243","ALL DES HETRES","2B"
"134","ALL DES HORTENSIAS","2D"
"35","ALL DES IRIS","3D"
"169","ALL DES LAURIERS","2D"
"169.1","ALL DES LAURIERS","2E"
"30","ALL DES LETTRES","4A"
"30.1","ALL DES LETTRES","4B"
"178","ALL DES LILAS","3D"
"32","ALL DES ORCHIDEES","3D"
"50","ALL DES PAQUERETTES","3D"
"167","ALL DES PINSONS","3A"
"264","ALL DES PRIMEVERES","3C"
"264.1","ALL DES PRIMEVERES","3D"
"8","ALL DES RENONCULES","3C"
"8.1","ALL DES RENONCULES","3D"
"24","ALL DES ROSES","2D"
"283","ALL DES SORBIERS","2F"
"215","ALL DES SYCOMORES","2F"
"292","ALL DES SYLPHES","3B"
"60","ALL DES TILLEULS","3B"
"164","ALL DES TULIPES","2D"
"164.1","ALL DES TULIPES","2E"
"224","ALL DES VIGNES","2F"
"288","ALL DU GROS BUISSON","3A"
"288.1","ALL DU GROS BUISSON","3B"
"248","ALL DU MOULIN","2B"
"316","ALL DU MUGUET","3A"
"150","ALL DU RENDEZ VOUS","4C"
"166","ALL ESPERANTO","3E"
"166.1","ALL ESPERANTO","3F"
"352","ALL GABRIEL FAURE","3B"
"90","ALL GABRIELLE","3B"
"90.1","ALL GABRIELLE","4B"
"139","ALL GEORGES SAND","2D"
"139.1","ALL GEORGES SAND","3D"
"18","ALL HANNAH ARENDT","3D"
"353","ALL HECTOR BERLIOZ","3B"
"179","ALL JEAN COURTADE","2B"
"276","ALL JOACHIM DU BELLAY","4B"
"213","ALL JOSE MARTI","3F"
"103","ALL LEON","4D"
"152","ALL LOUISE","4B"
"121","ALL MARCEL SEMBAT","4C"
"61","ALL MARIA DERAIMES","3B"
"265","ALL MARIE LAURENCIN","3B"
"85","ALL MARYSE BASTIE","4B"
"119","ALL MOLIERE","4B"
"119.1","ALL MOLIERE","4C"
"174","ALL MONTPLAISIR","3A"
"174.1","ALL MONTPLAISIR","3B"
"59","ALL MOZART","2E"
"141","ALL PABLO NERUDA","3F"
"93","ALL PAUL LAFARGUE","2B"
"93.1","ALL PAUL LAFARGUE","3B"
"113","ALL POQUE","4B"
"1","ALL POTTIER","4D"
"177","ALL RACINE","4B"
"328","ALL RASPAIL","4D"
"54","ALL RULHIERE","1C"
"54.1","ALL RULHIERE","2C"
"195","ALL SAN MARTIN","3F"
"257","ALL SIMON BOLIVAR","3F"
"190","ALL SURCOUF","2B"
"102","ALL THERESE","4C"
"102.1","ALL THERESE","4D"
"323","ALL VICTOR HUGO","3B"
"242","ALL VOLTAIRE","3C"
"233","AV ALBERT THOMAS","4C"
"175","AV ANATOLE FRANCE","4A"
"175.1","AV ANATOLE FRANCE","4B"
"310","AV ARISTIDE BRIAND","3D"
"310.1","AV ARISTIDE BRIAND","4D"
"290","AV BLERIOT","3B"
"290.1","AV BLERIOT","3C"
"312","AV CADERAS","3B"
"112","AV CARNOT","2B"
"112.1","AV CARNOT","2C"
"112.2","AV CARNOT","3C"
"255","AV CLARA GRANDET","2E"
"255.1","AV CLARA GRANDET","3E"
"115","AV DE BELFORT","2A"
"115.1","AV DE BELFORT","3A"
"115.2","AV DE BELFORT","2B"
"305","AV DE L'ESPERANCE","4B"
"136","AV DE L'EST","2A"
"136.1","AV DE L'EST","3A"
"136.2","AV DE L'EST","2B"
"225","AV DE L'IDEAL","4B"
"263","AV DE LA PARISIENNE","3E"
"226","AV DE LA REPUBLIQUE","2B"
"226.1","AV DE LA REPUBLIQUE","2C"
"62","AV DE LA VILLAGEOISE","3E"
"238","AV DE LA VILLEGIATURE","3E"
"151","AV DE METZ","2A"
"151.1","AV DE METZ","3A"
"259","AV DE NANCY","2B"
"131","AV DE ROSNY","1C"
"131.1","AV DE ROSNY","1D"
"176","AV DE VERDUN","4C"
"176.1","AV DE VERDUN","3D"
"176.2","AV DE VERDUN","4D"
"186","AV DENISE","3B"
"84","AV DES MESARMES","3D"
"84.1","AV DES MESARMES","3E"
"222","AV DES PLATANES","2B"
