"Nom court","NATURE","case"
"11 NOVEMBRE 1918","PL","2C 3C 2D"
"4 SEPTEMBRE","R","3E"
"5 ORMES","R","4C"
"8 MAI 1945","SQ","2C"
"ABBE MAURICE BAURIT","R","3C"
"ABEILLES","VLA","1B"
"ALBERT THOMAS","AV","4C"
"ALBERT THOMAS","PL","2C"
"ALEXANDRA DAVID NEEL","R","3B"
"ALEXANDRE MARTHE","ALL","3C"
"ALICE","ALL","4C"
"ALOUETTES","ALL","4B"
"AMEDEE GUYARD","R","4D"
"ANATOLE FRANCE","AV","4B 4A"
"ANDREA","ALL","4C"
"ANDREI SAKHAROV","R","2F 3F 4F"
"ANEMONES","ALL","3D"
"ANNE FRANK","ALL","2D"
"ANNE SYLVESTRE","ALL","2F 3F"
"ARETHA FRANKLIN","R","2D"
"ARTHUR GROUSSIER","R","3D 3E"
"ARTHUR RIMBAUD","PL","2D"
"ARTHUR RIMBAUD","R","2D"
"ARTS","ALL","4B"
"AUGUSTE POLISSARD","R","2C 2D"
"AULNAY","RTE","2D 2E"
"AVIATION","R","4C"
"AZALEES","ALL","2D"
"BAUDIN","R","1C 2C"
"BEAUREGARD","R","2C"
"BECQUEREL","ALL","4B"
"BEL AIR","R","4B"
"BELFORT","AV","2B 2A 3A"
"BENOITE GROULT","R","2D"
"BERANGER","R","4D"
"BERNARD DE JUSSIEU","R","4C"
"BLERIOT","AV","3B 3C"
"BLERIOT","AV","3B 3C"
"BLERIOT","SEN","3B 3C"
"BLERIOT","SEN","3B 3C"
"BOILEAU","ALL","4B 4C"
"BON AIR","R","2F"
"BONDY","PASS","2D"
"BONDY","R","4A"
"BORDIER","R","2B 3B 3C"
"BOREL","R","3D"
"BOSQUETS","ALL","3E"
"BOULEAUX","ALL","2F"
"BRECHET","VLA","2B"
"BREUIL","VLA","2C 2D"
"BREUIL","R","2C 2D"
"BUISSON","RPT","2E"
"BUTTE","R","4B 4A"
"C GOUNOD","ALL","3B"
"CADERAS","PASS","3B"
"CADERAS","AV","3B"
"CARNOT","IMP","2B 2C 3C"
"CARNOT","VLA","2B 2C 3C"
"CARNOT","AV","2B 2C 3C"
"CARROUGES","CH","2A 1A"
"CERISES","VLA","4D"
"CESADELAINE","R","4C"
"CHALET","R","4C"
"CHAMPART","R","2C"
"CHARLES DE GAULLE","PL","2C"
"CHARLES FERDINAND","R","3C"
"CHARLES MAGNE","R","4B"
"CHEMIN DE FEPROLONGEE","R","3B 4B 3A 4A"
"CHENES","ALL","4B 4C"
"CLARA GRANDET","AV","2E 3E"
"CLAUDE DEBUSSY","ALL","3B"
"CLOS VAILLANT","R","2B"
"COLOMBES","ALL","3B"
"COMPAGNON","R","3D 4D"
"CONCORDE","ALL","3B 3C"
"CONDORCET","ALL","3B"
"COQ GAULOIS","R","4D"
"COQUELICOTS","ALL","3B 3A"
"CORNEILLE","ALL","4B 4C"
"COULEE VERTE","VOIE","2B 3B 4B"
"COURTS SILLONS","ALL","4B"
"CRONSTADT","R","1C"
"CYCLE","R","4D"
"D78","D78","2F"
"DAHLIAS","ALL","2D"
"DAVID LEDER","R","2B"
"DENYS COCHIN","R","3C 4C"
"DEUX VILLES","PAS","2E"
"DEVINIERE","ALL","3F"
"DIVISION LECLERC","PL","2C"
"DOMINIQUE INGRES","ALL","3B"
"DROITS DE L'HOMME","R","2C"
"DUMESNIL","AV","4B"
"ECOLES","PL","3C"
"ECOLES","PASS","3D"
"EDOUARD VAILLANT","R","2B 3B 4B"
"EGALITE","ALL","2C"
"EGALITE","R","2C"
"EMILE ZOLA","R","3E"
"EMMANUEL FAIRON","R","3D 4D"
"ERABLES","ALL","2F"
"ERIC TABARLY","R","2E 3E"
"ESCHOLIERS","R","2F"
"ESPERANCE","AV","4B"
"ESPERANTO","ALL","3E 3F"
"ESPL CLAUDE FUZIER","ESPL","2C"
"EST","AV","2B 2A 3A"
"ETIENNE DOLET","IMP","2B 2A 2A"
"ETIENNE DOLET","R","2B 2A 2A"
"ETOILE","ALL","3B 3A"
"EUDEMON","PL","2F"
"EUGENE DELACROIX","ALL","3B"
"EUGENE MASSON","R","4B 4C"
"EUGENE VARLIN","R","2F"
"FAUVETTE","ALL","3B 3C"
"FER A CHEVAL","R","3F"
"FERNAND POTTIER","IMP","2D"
"FLEURS","PL","3D"
"FLEURY","VLA","2D"
"FLORALIES","R","2E"
"FONTAINE","R","3D 3E"
"FORET","PONT","3D 3E"
"FOUGERES","ALL","2E"
"FRANCOIS COLLET","R","3B"
"FRANCOIS MARTIN","R","2D"
"FRANCOIS VILLON","R","3E"
"FRANCOISE HERITIER","R","2D"
"FRANCS AUBIERS","R","2F 3F"
"FRATERNITE","R","2C"
"FREMIN","R","1C 2C 1D"
"FRENES","ALL","2F"
"FRERES DARTY","R","2C 3C 2D"
"FURCI","ALL","2C 3C"
"GABRIEL FAURE","ALL","3B"
"GABRIEL SEAILLES","VLA","1C"
"GABRIELLE","ALL","3B 4B"
"GALLIENI","AV","1D 2D 3D 4D"
"GARE","PL","2B"
"GARGANTUA","R","2F"
"GASTON DEFFERRE","R","3C"
"GATINE","R","2D"
"GAZELLES","R","3D 4D"
"GENEVIEVE ANTHONIOZ DE GAULLE","AV","3B 4B"
"GEORGES BRASSENS","IMP","3A"
"GEORGES ELIE","R","3D 4D"
"GEORGES GRAFF","R","4B"
"GEORGES LYSSANDRE","PL","3C"
"GEORGES SAND","ALL","2D 3D"
"GERMAINE TILLION","R","2E"
"GISELE HALIMI","R","2D"
"GLAIEULS","ALL","2D"
"GLYCINES","ALL","2D"
"GOYA","ALL","3B"
"GROS BUISSON","ALL","3B 3A"
"GROSLAY","CH","1D 2D 2E 2F"
"GUEUGNON","AV","2D 3D"
"GUILLAUME APOLLINAIRE","R","2C 3C"
"GUSTAVE DOUCHY","S","2C"
"GUY DE MAUPASSANT","R","4C"
"HANNAH ARENDT","ALL","3D"
"HAYDN","IMP","3B"
"HECTOR BERLIOZ","ALL","3B"
"HELENE BOUCHER","R","2D 3D"
"HENRI ALPY","R","3C"
"HENRI BARBUSSE","AV","3C 4C"
"HENRI DOUILLOT","R","4C 4D"
"HENRI DUNANT","R","3B 3C"
"HENRI MOULY","R","2E"
"HENRI ROL TANGUY","R","2E"
"HENRI VARAGNAT","AV","2E 3E 3F"
"HENRY ESPAULLARD","R","1C"
"HETRES","ALL","2B"
"HORTENSIAS","ALL","2D"
"HUBERTINE AUCLERT","QUAI","1D 2D 3D 3E"
"IDEAL","AV","4B"
"IRIS","ALL","3D"
"JACQUELINE AURIOL","R","3B 3C"
"JACQUES BREL","IMP","2A"
"JARDINIERE","IMP","3E"
"JARDINIERE","ALL","3E"
"JEAN-BAPTISTE DEVILLERS","AV","1D 2D"
"JEAN-MARIE TJIBAOU","R","3E"
"JEAN COURTADE","ALL","2B"
"JEAN JACQUES ROUSSEAU","R","2E"
"JEAN JAURES","R","2C 2D"
"JEAN LEBAS","AV","2E"
"JEAN MONNET","R","3A"
"JEAN MOULIN","AV","2E"
"JEAN PIERRE LEVY","R","2E"
"JEAN RIOULT","R","3D"
"JEAN WIENER","IMP","3A"
"JOACHIM DU BELLAY","ALL","4B"
"JOE CARMAN","R","2A"
"JOSE MARTI","ALL","3F"
"JOUHAUX","RPT","2F"
"JULES AUFFRET","R","3C 3D"
"JULES FERRY","AV","1B 2B"
"JULES GUESDE","R","2C 3C 1D 2D"
"JULES LECOMTE","R","2F"
"JULES LELONG","R","2B"
"JULIE VICTOIRE DAUBIE","R","2D 3D"
"LAUG","R","3D"
"LAURIERS","ALL","2D 2E"
"LAVIGNE","VLA","2C"
"LEON","ALL","4D"
"LEON BLUM","AV","2E 2F"
"LEON JOUHAUX","AV","2F 3F"
"LETTRES","ALL","4B 4A"
"LEVANT","R","3B 4B"
"LIBERTE","IMP","2B 3B"
"LIBERTE","R","2B 3B"
"LILAS","ALL","3D"
"LIMITES","R","4A"
"LION","R","2B"
"LOUIS AUGUSTE BLANQUI","R","4B 2C 3C 4C"
"LOUIS LEON COLLIGNON","R","3B 3C"
"LOUISE","ALL","4B"
"LOUISE MICHEL","ALL","3B"
"LOUISE WEISS","ALL","3B"
"LUCIE AUBRAC","R","2E"
"LUCIEN CHAPELAIN","R","3E"
"LYON","QUAI","2D"
"MADELEINE","VLA","2B 3B"
"MAL DE LATTRE DE TASSIGNY","AV","3C 3D"
"MANET","ALL","3B"
"MARCEL DASSAULT","R","2A 3A"
"MARCEL PAUL","R","3A"
"MARCEL SEMBAT","ALL","4C"
"MARCELLIN BERTHELOT","R","4D"
"MARE A LA VEUVE","CH","2A"
"MARE A LA VEUVE PROLONGEE","CH","2B 2A"
"MARGUERITE","AV","3D"
"MARGUERITE DURAS","R","3B"
"MARIA DERAIMES","ALL","3B"
"MARIE-JOSE CHOMBART DE LAUWE","ALL","2E"
