"","NOM","case","NATURE","NOM2","raccourci"
"1","ALL ALEXANDRE MARTHE","3C","ALL","ALEXANDRE MARTHE","Saule"
"2","ALL ALICE","4C","ALL","ALICE","Saule"
"3","ALL ALOUETTES","4B","ALL","ALOUETTES","MVeuve Saule"
"4","ALL ANDREA","4C","ALL","ANDREA","Saule"
"5","ALL ANEMONES","3D","ALL","ANEMONES","Mainguy Saule"
"6","ALL ANNE FRANK","2D","ALL","ANNE FRANK","Mainguy"
"7","ALL ANNE SYLVESTRE","2F","ALL","ANNE SYLVESTRE","NC-TSB"
"8","ALL ARTS","4B","ALL","ARTS","MVeuve Saule"
"9","ALL AZALEES","2D","ALL","AZALEES","NC-TSB"
"10","ALL BECQUEREL","4B","ALL","BECQUEREL","MVeuve"
"11","ALL BOILEAU","4B","ALL","BOILEAU","Saule"
"12","ALL BOSQUETS","3E","ALL","BOSQUETS","Merisiers"
"13","ALL BOULEAUX","2F","ALL","BOULEAUX","NC-TSB"
"14","ALL C GOUNOD","3B","ALL","C GOUNOD","MVeuve"
"15","ALL CHENES","4B","ALL","CHENES","Saule"
"16","ALL CLAUDE DEBUSSY","3B","ALL","CLAUDE DEBUSSY","MVeuve Saule"
"17","ALL COLOMBES","3B","ALL","COLOMBES","MVeuve"
"18","ALL CONCORDE","3B","ALL","CONCORDE","Saule"
"19","ALL CONDORCET","3B","ALL","CONDORCET","MVeuve"
"20","ALL COQUELICOTS","3B","ALL","COQUELICOTS","MVeuve"
"21","ALL CORNEILLE","4B","ALL","CORNEILLE","Saule"
"22","ALL COURTS SILLONS","4B","ALL","COURTS SILLONS","Saule"
"23","ALL DAHLIAS","2D","ALL","DAHLIAS","Merisiers"
"24","ALL DEVINIERE","3F","ALL","DEVINIERE","NC-TSB"
"25","ALL DOMINIQUE INGRES","3B","ALL","DOMINIQUE INGRES","MVeuve"
"26","ALL EGALITE","2C","ALL","EGALITE","Mainguy"
"27","ALL ERABLES","2F","ALL","ERABLES","NC-TSB"
"28","ALL ESPERANTO","3E","ALL","ESPERANTO","Merisiers NC-TSB"
"29","ALL ETOILE","3B","ALL","ETOILE","MVeuve"
"30","ALL EUGENE DELACROIX","3B","ALL","EUGENE DELACROIX","MVeuve"
"31","ALL FAUVETTE","3B","ALL","FAUVETTE","Saule"
"32","ALL FOUGERES","2E","ALL","FOUGERES","NC-TSB"
"33","ALL FRENES","2F","ALL","FRENES","NC-TSB"
"34","ALL FURCI","2C","ALL","FURCI","Saule"
"35","ALL GABRIEL FAURE","3B","ALL","GABRIEL FAURE","MVeuve"
"36","ALL GABRIELLE","3B","ALL","GABRIELLE","MVeuve Saule"
"37","ALL GEORGES SAND","2D","ALL","GEORGES SAND","Mainguy Merisiers"
"38","ALL GLAIEULS","2D","ALL","GLAIEULS","NC-TSB"
"39","ALL GLYCINES","2D","ALL","GLYCINES","NC-TSB"
"40","ALL GOYA","3B","ALL","GOYA","MVeuve"
"41","ALL GROS BUISSON","3B","ALL","GROS BUISSON","MVeuve"
"42","ALL HANNAH ARENDT","3D","ALL","HANNAH ARENDT","Mainguy Merisiers"
"43","ALL HECTOR BERLIOZ","3B","ALL","HECTOR BERLIOZ","MVeuve"
"44","ALL HETRES","2B","ALL","HETRES","MVeuve"
"45","ALL HORTENSIAS","2D","ALL","HORTENSIAS","NC-TSB"
"46","ALL IRIS","3D","ALL","IRIS","Saule"
"47","ALL JARDINIERE","3E","ALL","JARDINIERE","Merisiers"
"48","ALL JEAN COURTADE","2B","ALL","JEAN COURTADE","Mainguy"
"49","ALL JOACHIM DU BELLAY","4B","ALL","JOACHIM DU BELLAY","Saule"
"50","ALL JOSE MARTI","3F","ALL","JOSE MARTI","Merisiers"
"51","ALL LAURIERS","2D","ALL","LAURIERS","NC-TSB"
"52","ALL LEON","4D","ALL","LEON","Saule"
"53","ALL LETTRES","4B","ALL","LETTRES","MVeuve"
"54","ALL LILAS","3D","ALL","LILAS","Mainguy Saule"
"55","ALL LOUISE","4B","ALL","LOUISE","Saule"
"56","ALL LOUISE MICHEL","3B","ALL","LOUISE MICHEL","MVeuve"
"57","ALL LOUISE WEISS","3B","ALL","LOUISE WEISS","MVeuve"
