"","Group.1","nom"
"1","Aulnay-sous-Bois",18
"2","Bagnolet",7
"3","Bobigny",8
"4","Bondy",3
"5","Bonneuil-en-France",1
"6","Clichy-sous-Bois",4
"7","Drancy",13
"8","Fontenay-sous-Bois",1
"9","Le Blanc-Mesnil",7
"10","Le Bourget",6
"11","Le Perreux-sur-Marne",2
"12","Le Raincy",6
"13","Les Lilas",2
"14","Les Pavillons-sous-Bois",3
"15","Livry-Gargan",13
"16","Montreuil",22
"17","Neuilly-Plaisance",9
"18","Neuilly-sur-Marne",8
"19","Noisy-le-Sec",12
"20","Pantin",7
"21","Paris",2
"22","Romainville",7
"23","Rosny-sous-Bois",12
"24","Sevran",10
"25","Villemomble",5
"26","Vincennes",13
