"","categ","commune","numINSEE","lat","long","nb","an","categ1"
"1","pct2019","MOURMELON",51389,NA,NA,"0%","2019","pct"
"2","pct2019","BRUYERES S/ FERE",2127,NA,NA,"0%","2019","pct"
"3","pct2019","St Thomas en Argonne",51519,NA,NA,"2%","2019","pct"
"4","pct2019","LAON",2408,NA,NA,"2%","2019","pct"
"5","pct2019","Ante",51537,NA,NA,"3%","2019","pct"
"6","pct2019","ACY ROMANCE",8001,NA,NA,"4%","2019","pct"
"7","pct2019","RETHEL",8362,NA,NA,"4%","2019","pct"
"8","pct2019","Val de Vière",51218,NA,NA,"4%","2019","pct"
"9","pct2019","Vivaise",2821,NA,NA,"5%","2019","pct"
"10","pct2019","WASSY",52550,NA,NA,"6%","2019","pct"
"11","pct2019","La neuville au pont",51399,NA,NA,"6%","2019","pct"
"12","pct2019","L'Echelle",8149,NA,NA,"6%","2019","pct"
"13","pct2019","Vienne la ville",51620,NA,NA,"7%","2019","pct"
"14","pct2019","VERSIGNY",2788,NA,NA,"7%","2019","pct"
"15","pct2019","BARBY",8048,NA,NA,"8%","2019","pct"
"16","pct2019","La villeneuve les charleville",51626,NA,NA,"8%","2019","pct"
"17","pct2019","Villenauxe",77507,NA,NA,"8%","2019","pct"
"18","pct2019","CUTS",60189,NA,NA,"8%","2019","pct"
"19","pct2019","CHAMPS",2159,NA,NA,"8%","2019","pct"
"20","pct2019","BISSEUIL",51064,NA,NA,"9%","2019","pct"
"21","pct2019","Reuil",51457,NA,NA,"9%","2019","pct"
"22","pct2019","VENTELAY",51604,NA,NA,"10%","2019","pct"
"23","pct2019","Anguilcourt le sart",2017,NA,NA,"10%","2019","pct"
"24","pct2019","Villeneuve sur bellot",77512,NA,NA,"10%","2019","pct"
"25","pct2019","Verrières",51610,NA,NA,"11%","2019","pct"
"26","pct2019","CUTS",60189,NA,NA,"12%","2019","pct"
"27","pct2019","SERINGES ET NESLES",2713,NA,NA,"14%","2019","pct"
"28","pct2019","PARFONDEVAL",2586,NA,NA,"14%","2019","pct"
"29","pct2019","Guivry",2362,NA,NA,"15%","2019","pct"
"30","pct2019","Villeneuve sur bellot",77512,NA,NA,"15%","2019","pct"
"31","pct2019","PINEY",10287,NA,NA,"18%","2019","pct"
"32","pct2019","vervins",2789,NA,NA,"18%","2019","pct"
"33","pct2019","Reuil 2",51457,NA,NA,"19%","2019","pct"
"34","pct2019","CONGY",51163,NA,NA,"20%","2019","pct"
"35","pct2019","VERRIERES",51610,NA,NA,"20%","2019","pct"
"36","pct2019","BESME",2078,NA,NA,"20%","2019","pct"
"37","pct2019","Flavy le martel",2315,NA,NA,"20%","2019","pct"
"38","pct2019","Montigny en Cambrésis",59413,NA,NA,"22%","2019","pct"
"39","pct2019","St Mard sur le mont",51500,NA,NA,"23%","2019","pct"
"40","pct2019","Les Essarts Le V",51236,NA,NA,"24%","2019","pct"
"41","pct2019","Ribecourt",59500,NA,NA,"25%","2019","pct"
"42","pct2019","OSLY-COURTIL",2576,NA,NA,"25%","2019","pct"
"43","pct2019","Virginy",51646,NA,NA,"26%","2019","pct"
"44","pct2019","Clary",59149,NA,NA,"27%","2019","pct"
"45","pct2019","Baye",51042,NA,NA,"28%","2019","pct"
"46","pct2019","Broyes",51092,NA,NA,"28%","2019","pct"
"47","pct2019","BUSSIERES",77057,NA,NA,"28%","2019","pct"
"48","pct2019","Inchy Beaumont",59321,NA,NA,"28%","2019","pct"
"49","pct2019","CLASTRES",2199,NA,NA,"30%","2019","pct"
"50","pct2019","Bertry",59074,NA,NA,"31%","2019","pct"
"51","pct2019","Vauchamps",51596,NA,NA,"36%","2019","pct"
"52","pct2019","LEUDON",77250,NA,NA,"36%","2019","pct"
"53","pct2019","fontaine les vervins",2321,NA,NA,"36%","2019","pct"
"54","pct2019","Tramery",51577,NA,NA,"40%","2019","pct"
"55","pct2019","SAINT AUBIN",10334,NA,NA,"42%","2019","pct"
"56","pct2019","Tramery",51577,NA,NA,"44%","2019","pct"
"57","pct2019","Savigny",51527,NA,NA,"45%","2019","pct"
