"","lib","origine"
"1","UH74M10","zone"
"2","UP No7","zone"
"3","UA30A22","zone"
"4","UR70E19","zone"
"5","UR60C16","zone"
"6","UH70M10","zone"
"7","N","zone"
"8","UA16B16","zone"
"9","UH88E10","zone"
"10","UM68D13","zone"
"11","UR90F16","zone"
"12","UC48C16","zone"
"13","UEi90Anr","zone"
"14","UH90E10","zone"
"15","UH92E10","zone"
"16","UH88F10","zone"
"17","UH96E10","zone"
"18","UH98E10","zone"
"19","UC40C19","zone"
"20","UC00Cb1","zone"
"21","UA48E16","zone"
"22","UEv91Hnr","zone"
"23","UR90D22","zone"
"24","UEh91Anr","zone"
"25","UR90D19","zone"
"26","Nc","zone"
"27","UC00A16","zone"
"28","UEi91Anr","zone"
"29","UM24L13","zone"
"30","UP No1","zone"
"31","UE91Anr","zone"
"32","Nzh","zone"
"33","UP Bd1","zone"
"34","Espace paysager protege boise","pres_surf"
"35","Espace paysager protege","pres_surf"
"36","Espace paysager protege de grandes residences","pres_surf"
"37","OAP Gare de Bondy","pres_surf"
"38","OAP Pont de Bondy","pres_surf"
"39","OAP Canal Avenue Gallieni","pres_surf"
"40","Espace paysager protege participant a la gestion de l'eau de pluie","pres_surf"
"41","Espace paysager protege mare et zone humide","pres_surf"
"42","Emplacement reserve (pour voie ou ouvrages publics, equipements et installations d'interet general, espaces verts)","pres_surf"
"43","Bati ou ensemble bati ou monument historique","pres_surf"
"44","Ensemble bati, urbain et paysager remarquable","pres_surf"
"45","OAP Territoire Plaine de l'Ourcq","pres_surf"
"46","Perimetre 500m applicable aux constructions a destination de bureau","pres_surf"
"47","Arbre remarquable","pres_pct"
"48","Lineaire de commerces et d'activites de service a creer","pres_lin"
"49","Lineaire actif a creer","pres_lin"
"50","Alignement obligatoire","pres_lin"
"51","Recul obligatoire","pres_lin"
"52","Alignement d'arbres a creer","pres_lin"
"53","Alignement d'arbres a preserver","pres_lin"
"54","Perimetre de sauvegarde des commerces et artisanat","info_surf"
"55","Taxe d'amenagement","info_surf"
"56","ZAC Les Rives de l'Ourcq","info_surf"
"57","ZAC Quartier Durable, de la Plaine de l'Ourcq","info_surf"
"58","Classement sonore categorie 1","info_surf"
"59","Classement sonore categorie 2","info_surf"
"60","Classement sonore categorie 3","info_surf"
"61","Classement sonore categorie 4","info_surf"
"62","Classement sonore categorie 5","info_surf"
"63","Perimetre DUP Ligne 15","info_surf"
"64","PPR lie aux cavites souterraines","info_surf"
"65","Site archeologique","info_surf"
"66","Zone de developpement prioritaire pour un reseau de chaleur","info_surf"
"67","PPCOA Avenue Gallieni Canal","info_surf"
"68","PPCOA Gare - Centre-ville de Bondy","info_surf"
"69","PPCOA Edouard Vaillant - Abreuvoir - Pont de Bondy","info_surf"
"70","Droit de preemption urbain renforce","info_surf"
"71","Droit de preemption urbain","info_surf"
"72","Alea argile fort","info_surf"
"73","Alea argile moyen","info_surf"
"74","Lineaire de sauvegarde de commerce et artisanat","info_lin"
