fid,categorie,catégories.de.point.dinterêt,title,souscouleurs,etik,etik2_plus_clair
1,Education,Groupe scolaire,GS Apollinaire,,Apollinaire,
2,Action sociale,Action sociale,France travail (ex ANPE),#FFE4E1,ex-ANPE,
3,Action sociale,Action sociale,Maison de quartier et de la citoyenneté Sohane,#FFE4E1,MQC Sohane,
4,Action sociale,Action sociale,Maison de quartier et de la citoyenneté Daniel Balavoine,#FFE4E1,MQC Balavoine,
5,Action sociale,Action sociale|Santé|Séniors,Service infirmier de maintien à domicile (SIMAD),#FFE4E1,SIMAD,
6,Action sociale,Action sociale|Séniors,CCAS,#FFE4E1,CCAS,
7,Action sociale,Seniors,Ehpad  Korian Bonisiaca,#FFE4E1,Ehpad,
8,Action sociale,Seniors,Ehpad Arthur Groussier,#FFE4E1,Ehpad,
9,Commerce,Commerce,Marché Suzanne Buisson,#FAEBD7,Marché,
10,Culte,Culte,Mosquée,#F0F8FF,Mosquée,
11,Culte,Culte,Synagogue,#F0F8FF,Synagogue,
12,Culte,Culte,Église du Christ Ressucité,#F0F8FF,Eglise,
13,Culture,Culture,Salle Coluche,#F5F5DC,Salle Municipale,
14,Culture,Culture,Espace musique actuelle,#F5F5DC,Salle Municipale,
15,Culture,Culture,Auditorium Angèle et Roger Tribouilloy,#F5F5DC,Auditorium,
16,Culture,Culture,Espace Marcel Chauzy,#F5F5DC,Salle Municipale,
17,Culture,Culture,Micro-Folie,#F5F5DC,Micro-Folie,
18,Culture,Bibliohtèque,Bibliothèque Denis Diderot,#F5F5DC,Bibliothèque,
19,École,Etablissements scolaires,Olympe de Gouges primaire,#FFF0F5,OG,Ec. OG
30,École,Etablissements scolaires privés,Groupe scolaire privé Assomption,#FFF0F5,A,Ec. Assomption
36,École,Etablissements scolaires privés,Établissement Maurice Coutrot,#FFF0F5,MC,
37,Action sociale,social,Maison de la Famille,#FFF0F5,M de la F,
38,Éducation,Groupe scolaire,Groupe Scolaire Pasteur,#FFF0F5,Pasteur,
39,Éducation,Enfance|Loisirs,Jules Ferry centre de loisirs,#FFF0F5,JF,
40,Éducation,Enfance|Loisirs,Centre de loisirs Edouard Vaillant (élémentaire),#FFF0F5,EV,
41,Éducation,Equipements sportifs,Salle Robert Gazzi Curie,#FFF0F5,RG,
20,École,Etablissements scolaires,Roger Salengro élémentaire,#FFF0F5,RS,Elem RS
21,École,Etablissements scolaires,Jacques Bethinger élémentaire,#FFF0F5,JB,Elem JB
27,École,Etablissements scolaires,Pasteur élémentaire ,#FFF0F5,P,Elem P
28,École,Etablissements scolaires,Alain Savary maternelle,#FFF0F5,AS,Mat AS
