fid,nomnumero,nature,importance,nom,nom_1_g,usage
1,ALL CONDORCET,ALL,"5",CONDORCET,"1",privé
2,ALL DOMINIQUE INGRES,ALL,"6",DOMINIQUE INGRES,"2",privé
3,ALL EUGENE DELACROIX,ALL,"5",EUGENE DELACROIX,"3",privé
4,ALL GOYA,ALL,"6",GOYA,"4",privé
5,ALL LOUISE MICHEL,ALL,"6",LOUISE MICHEL,"7",public
6,ALL LOUISE WEISS,ALL,"6",LOUISE WEISS,"8",privé
7,ALL MANET,ALL,"6",MANET,"9",privé
8,ALL MARIE-JOSE CHOMBART DE LAUWE,ALL,"6",MARIE-JOSE CHOMBART DE LAUWE,"10",public
9,ALL MIGNARD,ALL,"6",MIGNARD,"11",privé
10,ALL MILLET,ALL,"6",MILLET,"12",privé
11,ALL RAPHAEL,ALL,"5",RAPHAEL,"14",privé
12,ALL WATTEAU,ALL,"6",WATTEAU,"18",privé
13,IMP HAYDN,IMP,"6",HAYDN,"5",privé
14,IMP JEAN WIENER,IMP,"5",JEAN WIENER,"6",public
15,IMP RENE CLAIR,IMP,"5",RENE CLAIR,"15",public
16,R RENE DUMONT,R,"5",RENE DUMONT,"16",public
17,R THEODORE MONOD,R,"5",THEODORE MONOD,"17",public
18,SEN PIERRE BOURDIEU,SEN,"6",PIERRE BOURDIEU,"13",public
19,,ALL,"5",GABRIELLE,ALL GABRIELLE,privé
20,,R,"5",TREMEUGE,R DE TREMEUGE,public
22,,ALL,"5",PAUL LAFARGUE,ALL PAUL LAFARGUE,privé
23,,R,"2",PARIS,R DE PARIS,public
24,,R,"5",BERANGER,R BERANGER,public
25,,ALL,"5",FAUVETTE,ALL DE LA FAUVETTE,privé
26,,VLA,"5",PARMENTIER,VLA PARMENTIER,privé
27,,PL,"5",FLEURS,PL DES FLEURS,privé
28,,R,"5",TERRE SAINT-BLAISE,R DE LA TERRE SAINT-BLAISE,public
29,,Sans,"6",sans nom,,privé
81,,VLA,"5",MARRONNIERS,VLA DES MARRONNIERS,privé
30,,CRS,"5",REPUBLIQUE,CRS DE LA REPUBLIQUE,public
31,,ALL,"5",THERESE,ALL THERESE,public
32,,ALL,"5",LEON,ALL LEON,public
33,,ALL,"5",VILLA JEANNETTE,ALL DE LA VILLA JEANNETTE,public
34,,R,"5",FRANCS AUBIERS,R DES FRANCS AUBIERS,public
35,,R,"5",DROITS DE L'HOMME,R DES DROITS DE L'HOMME,public
36,,ALL,"5",BOULEAUX,ALL DES BOULEAUX,privé
37,,RTE,"1",STAINS,RTE DE STAINS,public
38,,R,"5",PAUL VAILLANT COUTURIER,R PAUL VAILLANT COUTURIER,public
39,,VLA,"5",FLEURY,VLA FLEURY,public
40,,R,"5",MICHELET,R MICHELET,public
41,,AV,"4",CARNOT,AV CARNOT,public
42,,ALL,"5",POQUE,ALL POQUE,privé
43,,ALL,"5",ALEXANDRE MARTHE,ALL ALEXANDRE MARTHE,privé
44,,AV,"4",BELFORT,AV DE BELFORT,public
45,,R,"5",FREMIN,R FREMIN,public
46,,R,"5",SAINT-LOUIS,R SAINT-LOUIS,public
47,,VLA,"5",ABEILLES,VLA DES ABEILLES,public
48,,ALL,"5",MOLIERE,ALL MOLIERE,public
49,,R,"5",BERNARD DE JUSSIEU,R BERNARD DE JUSSIEU,public
50,,ALL,"5",MARCEL SEMBAT,ALL MARCEL SEMBAT,public
51,,R,"5",PHILOSOPHIE,R DE LA PHILOSOPHIE,public
52,,PAS,"5",MICHELET,PAS MICHELET,privé
53,,ALL,"5",MOULIN,ALL DU MOULIN,public
54,,ALL,"6",GLAIEULS,ALL DES GLAIEULS,privé
55,,PAS,"6",VERCORS,PAS DU VERCORS,public
56,,ALL,"5",POTTIER,ALL POTTIER,public
57,,ALL,"5",ANNE FRANK,ALL ANNE FRANK,public
80,,MAIL,"6",MARIE-MADELEINE FOURCADE,MAIL MARIE-MADELEINE FOURCADE,public
58,,ALL,"5",ERABLES,ALL DES ERABLES,privé
59,,RTE,"2",VILLEMOMBLE,RTE DE VILLEMOMBLE,public
60,,R,"5",ODETTE PAIN,R ODETTE PAIN,public
61,,R,"5",GASTON DEFFERRE,R GASTON DEFFERRE,public
62,,AV,"5",ROUGET DE LISLE,AV ROUGET DE LISLE,public
63,,ALL,"5",RENONCULES,ALL DES RENONCULES,privé
64,,R,"5",EMMANUEL FAIRON,R EMMANUEL FAIRON,public
65,,AV,"4",PASTEUR,AV PASTEUR,public
66,,R,"5",CHEMIN DE FEPROLONGEE,R DU CHEMIN DE FER PROLONGEE,public
67,,ALL,"5",EGALITE,ALL DE L'EGALITE,public
68,,SEN,"6",RENE CHAR,SEN RENE CHAR,public
69,,ALL,"5",REGALE,ALL DE LA REGALE,public
70,,R,"5",NEUVE,R NEUVE,privé
71,,R,"5",MIDI,R DU MIDI,public
72,,ALL,"4",ETOILE,ALL DE L'ETOILE,public
73,,ALL,"5",HANNAH ARENDT,ALL HANNAH ARENDT,public
74,,PL,"5",ARTHUR RIMBAUD,PL ARTHUR RIMBAUD,public
75,,R,"5",ROBERT BONNET,R ROBERT BONNET,public
76,,R,"5",JEAN JAURES,R JEAN JAURES,public
77,,ALL,"5",DEVINIERE,ALL DE LA DEVINIERE,privé
78,,PL,"5",SCHOELCHER,PL SCHOELCHER,public
79,,ALL,"6",ROSES,ALL DES ROSES,privé
82,,R,"5",MARCELLIN BERTHELOT,R MARCELLIN BERTHELOT,public
83,,R,"5",JULIE VICTOIRE DAUBIE,R JULIE VICTOIRE DAUBIE,public
84,,R,"6",JACQUELINE AURIOL,R JACQUELINE AURIOL,privé
85,,ALL,"5",LETTRES,ALL DES LETTRES,public
86,,ALL,"5",ORCHIDEES,ALL DES ORCHIDEES,privé
87,,PL,"6",EUDEMON,PL EUDEMON,public
88,,ALL,"5",IRIS,ALL DES IRIS,privé
89,,R,"4",ROGER SALENGRO,R ROGER SALENGRO,public
90,,R,"5",RAOUL,R RAOUL,public
91,,ALL,"5",COURTS SILLONS,ALL DES COURTS SILLONS,public
92,,ALL,"5",ALOUETTES,ALL DES ALOUETTES,public
93,,R,"5",CHALET,R DU CHALET,public
94,,VLA,"6",BRECHET,VLA DU BRECHET,privé
95,,R,"5",UNION,R DE L'UNION,public
96,,CITE,"5",SAULES,CITE DES SAULES,public
97,,PL,"5",ECOLES,PL DES ECOLES,public
98,,R,"5",DENYS COCHIN,R DENYS COCHIN,public
99,,R,"5",NOEMIE,R NOEMIE,public
100,,R,"5",TRINQUAMELLE,R TRINQUAMELLE,privé
101,,R,"5",SAINTE-BARBE,R SAINTE-BARBE,public
