"","NATURE","NOM","QUARTIER","NA","NA","NA","NA","NA"
"6","la mare à la Veuve : la remise à Jorelle","ALL","4",NA,"ETOILE","ALL DE L'ETOILE","public","MVeuve"
"7","la mare à la Veuve : la remise à Jorelle","ALL","6","ALL MIGNARD","1","1","privé","MVeuve"
"8","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"LETTRES","ALL DES LETTRES","public","MVeuve"
"9","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"ALOUETTES","ALL DES ALOUETTES","public","MVeuve"
"13","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"TILLEULS","ALL DES TILLEULS","public","MVeuve"
"14","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"MARIA DERAIMES","ALL MARIA DERAIMES","privé","MVeuve"
"15","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"COQUELICOTS","ALL DES COQUELICOTS","public","MVeuve"
"19","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"MARYSE BASTIE","ALL MARYSE BASTIE","privé","MVeuve"
"21","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"ARTS","ALL DES ARTS","public","MVeuve"
"22","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"GABRIELLE","ALL GABRIELLE","privé","MVeuve"
"23","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"PAUL LAFARGUE","ALL PAUL LAFARGUE","privé","MVeuve"
"24","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"FAUVETTE","ALL DE LA FAUVETTE","privé","MVeuve"
"25","la mare à la Veuve : la remise à Jorelle","ALL","5","ALL EUGENE DELACROIX","2","2","privé","MVeuve"
"27","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"POQUE","ALL POQUE","privé","MVeuve"
"29","la mare à la Veuve : la remise à Jorelle","ALL","5","ALL CONDORCET","11","11","privé","MVeuve"
"31","la mare à la Veuve : la remise à Jorelle","ALL","6","ALL DOMINIQUE INGRES","3","3","privé","MVeuve"
"37","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"CLAUDE DEBUSSY","ALL CLAUDE DEBUSSY","privé","MVeuve"
"42","la mare à la Veuve : la remise à Jorelle","ALL","6","ALL MANET","4","4","privé","MVeuve"
"43","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"PINSONS","ALL DES PINSONS","public","MVeuve"
"46","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"MONTPLAISIR","ALL MONTPLAISIR","public","MVeuve"
"49","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"SURCOUF","ALL SURCOUF","public","MVeuve"
"54","la mare à la Veuve : la remise à Jorelle","ALL","5","ALL RAPHAEL","5","5","privé","MVeuve"
"58","la mare à la Veuve : la remise à Jorelle","ALL","5",NA,"COLOMBES","ALL DES COLOMBES","public","MVeuve"
"63","la mare à la Veuve : la remise à Jorelle","ALL","6",NA,"C GOUNOD","ALL C GOUNOD","privé","MVeuve"
