"NOM_1_G","NOM","NATURE","usage","longueur"
"PL DU 11 NOVEMBRE 1918","11 NOVEMBRE 1918","PL","public",164
"R DU 4 SEPTEMBRE","4 SEPTEMBRE","R","public",387
"R DES 5 ORMES","5 ORMES","R","public",263
"SQ DU 8 MAI 1945","8 MAI 1945","SQ","public",165
"R DE L'ABBE MAURICE BAURIT","ABBE MAURICE BAURIT","R","privé",114
"VLA DES ABEILLES","ABEILLES","VLA","public",37
"AV ALBERT THOMAS","ALBERT THOMAS","AV","public",94
"PL ALBERT THOMAS","ALBERT THOMAS","PL","privé",238
"R ALEXANDRA DAVID NEEL","ALEXANDRA DAVID NEEL","R","privé",259
"ALL ALEXANDRE MARTHE","ALEXANDRE MARTHE","ALL","privé",121
"ALL ALICE","ALICE","ALL","public",414
"ALL DES ALOUETTES","ALOUETTES","ALL","public",134
"R AMEDEE GUYARD","AMEDEE GUYARD","R","public",248
"AV ANATOLE FRANCE","ANATOLE FRANCE","AV","public",710
"ALL ANDREA","ANDREA","ALL","public",273
"R ANDREI SAKHAROV","ANDREI SAKHAROV","R","public",1133
"ALL DES ANEMONES","ANEMONES","ALL","privé",116
"ALL ANNE FRANK","ANNE FRANK","ALL","public",100
"ALL ANNE SYLVESTRE","ANNE SYLVESTRE","ALL","public",86
"R ARETHA FRANKLIN","ARETHA FRANKLIN","R","public",182
"R ARTHUR GROUSSIER","ARTHUR GROUSSIER","R","public",281
"PL ARTHUR RIMBAUD","ARTHUR RIMBAUD","PL","public",68
"R ARTHUR RIMBAUD","ARTHUR RIMBAUD","R","public",143
"ALL DES ARTS","ARTS","ALL","public",129
"R AUGUSTE POLISSARD","AUGUSTE POLISSARD","R","public",336
"RTE D'AULNAY","AULNAY","RTE","public",731
"AUTOPONT","AUTOPONT","AUTRE","public",115
"R DE L'AVIATION","AVIATION","R","public",351
"ALL DES AZALEES","AZALEES","ALL","privé",29
"R BAUDIN","BAUDIN","R","public",658
"R BEAUREGARD","BEAUREGARD","R","public",174
"ALL BECQUEREL","BECQUEREL","ALL","public",270
"R DU BEL AIR","BEL AIR","R","public",151
"AV DE BELFORT","BELFORT","AV","public",557
"R B GROULT","BENOITE GROULT","R","public",106
"R BERANGER","BERANGER","R","public",293
"R BERNARD DE JUSSIEU","BERNARD DE JUSSIEU","R","public",247
"SEN BLERIOT","BLERIOT","SEN","public",52
"AV BLERIOT","BLERIOT","AV","public",188
"ALL BOILEAU","BOILEAU","ALL","public",85
"R DU BON AIR","BON AIR","R","public",152
"R DE BONDY","BONDY","R","public",106
"R BORDIER","BORDIER","R","public",370
"R BOREL","BOREL","R","public",216
"ALL DES BOSQUETS","BOSQUETS","ALL","public",64
"ALL DES BOULEAUX","BOULEAUX","ALL","privé",132
"VLA DU BRECHET","BRECHET","VLA","privé",68
"R DU BREUIL","BREUIL","R","public",459
"VLA DU BREUIL","BREUIL","VLA","privé",74
"RPT BUISSON","BUISSON","RPT","public",80
"R DE LA BUTTE","BUTTE","R","public",165
"AV CADERAS","CADERAS","AV","public",206
"VLA CARNOT","CARNOT","VLA","public",142
"AV CARNOT","CARNOT","AV","public",863
"IMP CARNOT","CARNOT","IMP","public",70
"CH DES CARROUGES","CARROUGES","CH","public",499
"VLA DES CERISES","CERISES","VLA","privé",87
"R CESAR DELAINE","CESAR DELAINE","R","public",134
"R DU CHALET","CHALET","R","public",265
"R DU CHAMPART","CHAMPART","R","public",81
"R CHARLES FERDINAND","CHARLES FERDINAND","R","public",344
"ALL CHARLES GOUNOD","CHARLES GOUNOD","ALL","privé",102
"R CHARLES MAGNE","CHARLES MAGNE","R","privé",228
"R DU CHEMIN DE FER PROLONGEE","CHEMIN DE FER PROLONGEE","R","public",447
"ALL DES CHENES","CHENES","ALL","public",125
"AV CLARA GRANDET","CLARA GRANDET","AV","public",217
"ALL CLAUDE DEBUSSY","CLAUDE DEBUSSY","ALL","privé",104
"ESPL CLAUDE FUZIER","CLAUDE FUZIER","ESPL","public",58
"R DU CLOS VAILLANT","CLOS VAILLANT","R","privé",146
"ALL DES COLOMBES","COLOMBES","ALL","public",89
"R COMPAGNON","COMPAGNON","R","public",192
"ALL DE LA CONCORDE","CONCORDE","ALL","public",232
"ALL CONDORCET","CONDORCET","ALL","privé",50
"R DU COQ GAULOIS","COQ GAULOIS","R","public",45
"ALL DES COQUELICOTS","COQUELICOTS","ALL","public",161
"ALL CORNEILLE","CORNEILLE","ALL","public",350
"ALL DES COURTS SILLONS","COURTS SILLONS","ALL","public",199
"R DE CRONSTADT","CRONSTADT","R","public",147
"R DU CYCLE","CYCLE","R","public",226
"D78","D78","AUTRE","public",131
"ALL DES DAHLIAS","DAHLIAS","ALL","privé",142
"R DAVID LEDER","DAVID LEDER","R","public",312
