"","NOM_1_G","NOM","NATURE","usage","longueur","aire"
"1","ALL ALEXANDRE MARTHE","ALEXANDRE MARTHE","ALL","privé",121,NA
"2","ALL ALICE","ALICE","ALL","public",414,NA
"3","ALL ANDREA","ANDREA","ALL","public",273,NA
"4","ALL ANNE FRANK","ANNE FRANK","ALL","public",100,NA
"5","ALL ANNE SYLVESTRE","ANNE SYLVESTRE","ALL","public",86,NA
"6","ALL BECQUEREL","BECQUEREL","ALL","public",270,NA
"7","ALL BOILEAU","BOILEAU","ALL","public",85,NA
"8","ALL CHARLES GOUNOD","CHARLES GOUNOD","ALL","privé",102,NA
"9","ALL CLAUDE DEBUSSY","CLAUDE DEBUSSY","ALL","privé",104,NA
"10","ALL CONDORCET","CONDORCET","ALL","privé",50,NA
"11","ALL CORNEILLE","CORNEILLE","ALL","public",350,NA
"12","ALL DE FURCI","FURCI","ALL","privé",273,NA
"13","ALL DE L'EGALITE","EGALITE","ALL","public",76,NA
"14","ALL DE L'ETOILE","ETOILE","ALL","public",353,NA
"15","ALL DE L'ORME","ORME","ALL","public",361,NA
"16","ALL DE LA CONCORDE","CONCORDE","ALL","public",232,NA
"17","ALL DE LA DEVINIERE","DEVINIERE","ALL","privé",63,NA
"18","ALL DE LA FAUVETTE","FAUVETTE","ALL","privé",176,NA
"19","ALL DE LA JARDINIERE","JARDINIERE","ALL","public",269,NA
"20","ALL DE LA PAIX","PAIX","ALL","public",281,NA
"21","ALL DE LA REGALE","REGALE","ALL","public",127,NA
"22","ALL DE LA VILLA JEANNETTE","VILLA JEANNETTE","ALL","public",162,NA
"23","ALL DES ALOUETTES","ALOUETTES","ALL","public",134,NA
"24","ALL DES ANEMONES","ANEMONES","ALL","privé",116,NA
"25","ALL DES ARTS","ARTS","ALL","public",129,NA
"26","ALL DES AZALEES","AZALEES","ALL","privé",29,NA
"27","ALL DES BOSQUETS","BOSQUETS","ALL","public",64,NA
"28","ALL DES BOULEAUX","BOULEAUX","ALL","privé",132,NA
"29","ALL DES CHENES","CHENES","ALL","public",125,NA
"30","ALL DES COLOMBES","COLOMBES","ALL","public",89,NA
"31","ALL DES COQUELICOTS","COQUELICOTS","ALL","public",161,NA
"32","ALL DES COURTS SILLONS","COURTS SILLONS","ALL","public",199,NA
"33","ALL DES DAHLIAS","DAHLIAS","ALL","privé",142,NA
"34","ALL DES ERABLES","ERABLES","ALL","privé",234,NA
"35","ALL DES FOUGERES","FOUGERES","ALL","privé",69,NA
"36","ALL DES FRENES","FRENES","ALL","privé",103,NA
"37","ALL DES GLAIEULS","GLAIEULS","ALL","privé",78,NA
