"Nom.du.site","Tronçon","Nombre.de.places","PMR","Livraison","Observations","zone","NATURE","NOM","NOM2"
"Rue Alexandra David Neel","Voie entière","31",1,0,"0","remise à jorelle","Rue","ALEXANDRA DAVID NEEL","ALEXANDRA DAVID NEEL"
"Rue Aretha Franklin",,"Travaux en cours",0,0,,"orange","Rue","ARETHA FRANKLIN","ARETHA FRANKLIN"
"Rue Arthur Rimbaud","Voie entière","28",1,1,,"orange","Rue","ARTHUR RIMBAUD","ARTHUR RIMBAUD"
"Rue Auguste Polissard","Voie entière","29",1,3,,"orange","Rue","AUGUSTE POLISSARD","AUGUSTE POLISSARD"
"Route d'Aulnay",,,"NA","NA",,"orange","Route","D'AULNAY","AULNAY"
"Autopont RD 933","Parking","70",2,0,"2 places PMR","canal","Autopont","AUTOPONT RD 933","AUTOPONT RD 933"
"Rue Baudin","Partiellement","17",0,0,,"mainguy","Rue","BAUDIN","BAUDIN"
"Rue Beauregard","Voie entière","13",0,1,,"mainguy","Rue","BEAUREGARD","BEAUREGARD"
"Rue Benoit Groult",,"Travaux en cours",0,0,,"orange","Rue","BENOIT GROULT","BENOIT GROULT"
"Avenue Blériot","Voie entière","20",1,0,"1 PMR","saule blanc","Avenue","BLÉRIOT","BLÉRIOT"
"Rue Bordier","Voie entière","39",0,0,,"saule blanc","Rue","BORDIER","BORDIER"
"Rue Borel","Voie entière","19",0,0,,"canal","Rue","BOREL","BOREL"
"Rue du Breuil","Voie entière","44",0,0,,"mainguy","Rue","DU BREUIL","BREUIL"
"Avenue Caderas","Voie entière","17",0,0,,"saule blanc","Avenue","CADERAS","CADERAS"
"Impasse Carnot","Voie entière","7",0,0,,"mainguy","Impasse","CARNOT","CARNOT"
"Avenue Carnot","Voie entière","27",2,1,,"orange","Avenue","CARNOT","CARNOT"
"Villa Carnot","Voie entière","15",0,0,,"saule blanc","Villa","CARNOT","CARNOT"
"Rue du Champart","Voie entière","9",0,0,,"orange","Rue","DU CHAMPART","CHAMPART"
"Place Charles de Gaulle","parking","41",2,0,,"mainguy","Place","CHARLES DE GAULLE","CHARLES DE GAULLE"
"Rue Charles Ferdinand","Voie entière","15",0,0,,"saule blanc","Rue","CHARLES FERDINAND","CHARLES FERDINAND"
"Esplanade Claude Fuzier","parking","33",3,0,,"orange","Esplanade","CLAUDE FUZIER","CLAUDE FUZIER"
"Rue de Cronstadt","Voie entière","15",0,0,,"mainguy","Rue","DE CRONSTADT","CRONSTADT"
"Rue David Leder","Voie entière","33",0,0,,"mare à la veuve","Rue","DAVID LEDER","DAVID LEDER"
"Avenue Denise","Voie entière","11",0,0,,"saule blanc","Avenue","DENISE","DENISE"
"Rue des Droits de l'Homme","Voie entière","16",0,0,,"mainguy","Rue","DES DROITS DE L'HOMME","DROITS DE L'HOMME"
"Rue des Écoles","Voie entière","13",0,0,,"canal","Rue","DES ÉCOLES","ÉCOLES"
"Rue Edouard Vaillant 1"," entre Salengro et Carnot",,0,0,,"mainguy","Rue","EDOUARD VAILLANT 1","EDOUARD VAILLANT 1"
