"field_1","NATURE","NOM_1_G","NOM2","couleur","nom"
"1","ALL","ALL DE L'EGALITE","EGALITE","vert","Mainguy"
"2","ALL","ALL DE L'ETOILE","ETOILE","vert","Mare à la veuve"
"3","ALL","ALL DE L'ORME","ORME","vert","Mare à la veuve"
"4","ALL","ALL DES HETRES","HETRES","vert","Mare à la veuve"
"5","ALL","ALL DES TILLEULS","TILLEULS","vert","Mare à la veuve"
"6","ALL","ALL DU MOULIN","MOULIN","vert","Mainguy"
"7","ALL","ALL GEORGES SAND","GEORGES SAND","orange","zone orange"
"8","ALL","ALL RULHIERE","RULHIERE","vert","Mainguy"
"9","AV","AV BLERIOT","BLERIOT","vert","Saule blanc"
"10","AV","AV CADERAS","CADERAS","vert","Saule blanc"
"11","AV","AV CARNOT","CARNOT","orange","zone orange"
"12","AV","AV DE BELFORT","BELFORT","vert","Mare à la veuve"
"13","AV","AV DE L'EST","EST","vert","Mare à la veuve"
"14","AV","AV DE LA REPUBLIQUE","REPUBLIQUE","orange","zone orange"
"15","AV","AV DE METZ","METZ","vert","Mare à la veuve"
"16","AV","AV DE NANCY","NANCY","vert","Mare à la veuve"
"17","AV","AV DE ROSNY","ROSNY","vert","Mainguy"
"18","AV","AV DENISE","DENISE","vert","Saule blanc"
"19","AV","AV DES PLATANES","PLATANES","vert","Mare à la veuve"
"20","AV","AV GALLIENI","GALLIENI","orange","zone orange"
"21","AV","AV GENEVIEVE ANTHONIOZ DE GAULLE","GENEVIEVE ANTHONIOZ DE GAULLE","vert","Remise à Jorelle"
"22","AV","AV HENRI BARBUSSE","HENRI BARBUSSE","vert","Saule blanc"
"23","AV","AV HENRI BARBUSSE","HENRI BARBUSSE","orange","zone orange"
"24","AV","AV MARGUERITE","MARGUERITE","vert","Canal"
"25","AV","AV MARIE CURIE","MARIE CURIE","vert","Remise à Jorelle"
"26","AV","AV ROUGET DE LISLE","ROUGET DE LISLE","vert","Saule blanc"
"27","CH","CH LATERAL","LATERAL","orange","zone orange"
"28","CRS","CRS DE LA REPUBLIQUE","REPUBLIQUE","orange","zone orange"
"29","ESPL","ESPL CLAUDE FUZIER","CLAUDE FUZIER","orange","zone orange"
"30","IMP","IMP CARNOT","CARNOT","vert","Mainguy"
"31","IMP","IMP FERNAND POTTIER","FERNAND POTTIER","vert","Mainguy"
"32","IMP","IMP GEORGES BRASSENS","BRASSENS","vert","Mare à la veuve"
"33","IMP","IMP JACQUES BREL","JACQUES BREL","vert","Mare à la veuve"
"34","IMP","IMP JEAN WIENER","JEAN WIENER","vert","Mare à la veuve"
"35","IMP","IMP RENE CLAIR","RENE CLAIR","vert","Mare à la veuve"
"36","PL","PL CHARLES DE GAULLE","CHARLES DE GAULLE","vert","Mainguy"
"37","PL","PL DE LA GARE","GARE","orange","zone orange"
"38","PL","PL DE LA REPUBLIQUE","REPUBLIQUE","orange","zone orange"
"39","PL","PL NICOLE NEUBURGER","NICOLE NEUBURGER","vert","Saule blanc"
"40","R","R ALEXANDRA DAVID NEEL","ALEXANDRA DAVID NEEL","vert","Remise à Jorelle"
"41","R","R ARETHA FRANKLIN","ARETHA FRANKLIN","orange","zone orange"
"42","R","R ARTHUR RIMBAUD","ARTHUR RIMBAUD","orange","zone orange"
"43","R","R AUGUSTE POLISSARD","AUGUSTE POLISSARD","orange","zone orange"
"44","R","R BAUDIN","BAUDIN","vert","Mainguy"
"45","R","R BEAUREGARD","BEAUREGARD","vert","Mainguy"
"46","R","R BENOITE GROULT","BENOITE GROULT","orange","zone orange"
