organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1
IMMOBILIERE 3F,93/2016/2011-1191/130,4-16,8,RUE,.GASTON DEFFERRE,GASTON DEFFERRE,L,63,bondy,93140,16 Rue Gaston Defferre 93140 Bondy,0.92
BONDY HABITAT,93/2001/99-864/010,1-17,11,PLACE,ALBERT THOMAS,ALBERT THOMAS,L,211,bondy,93140,17 Place Albert Thomas 93140 Bondy,0.91
IMMOBILIERE 3F,93/1988/AC/074,1,1,RUE,"ARTHUR GROUSSIER 
FONTAINE
MARX DORMOY",ARTHUR GROUSSIER,L,242,bondy,93140,1 Rue Arthur Groussier 93140 Bondy,0.61
BONDY HABITAT,93/1987/85-1231/038,17 à 19,17,RUE,AUGUSTE POLLISSARD,AUGUSTE POLLISSARD,L,100,bondy,93140,19 Rue Auguste Polissard 93140 Bondy,0.84
BONDY HABITAT,93/2013/2002-844/043 bis,29,29,RUE,"AUGUSTE POLLISSARD 
DES FRERES DARTY",DES FRERES DARTY,L,3,bondy,93140,29 Rue Auguste Polissard 93140 Bondy,0.66
BONDY HABITAT,93/2013/2002-844/043,29,29,RUE,"AUGUSTE POLLISSARD 
DES FRERES DARTY",DES FRERES DARTY,L,23,bondy,93140,29 Rue Auguste Polissard 93140 Bondy,0.66
IMMOBILIERE 3F,93/1988/AC/077,"1 et 5-7
2 et 8-16
1-3",8,RUE,"BAUDELAIRE 
FRANCOIS VILLON
RONSARD",FRANCOIS VILLON,L,40,bondy,93140,3 Rue François Villon 93140 Bondy,0.46
BONDY HABITAT,93/2009/2002-844/045,11,11,AVENUE,CARNOT,CARNOT,L,7,bondy,93140,11 Avenue Carnot 93140 Bondy,0.98
BONDY HABITAT,93/2017/2011-1191/071,107,107,AVENUE,CARNOT,CARNOT,L,8,bondy,93140,107 Avenue Carnot 93140 Bondy,0.98
BONDY HABITAT,93/2017/2011-1191/070,107,107,AVENUE,CARNOT,CARNOT,L,36,bondy,93140,107 Avenue Carnot 93140 Bondy,0.98
ADOMA,93/1981/79-296/057,58/62,60,ROUTE,D'AULNAY,D'AULNAY,F,75,bondy,93140,62 Route d?Aulnay 93140 Bondy,0.88
ADOMA,93/2015/2011-356/232,58-62,60,ROUTE,D'AULNAY,D'AULNAY,F,101,bondy,93140,62 Route d?Aulnay 93140 Bondy,0.88
SEINE-SAINT-DENIS HABITAT,93/1997/85-1231/091,2/16 et 1/7,16,ALLEE,DE FURCI,DE FURCI,L,95,bondy,93140,7 Allee de Furci 93140 Bondy,0.72
BONDY HABITAT,93/1988/85-1231/059,4,4,RUE,DE L' ÉGALITÉ,DE L' ÉGALITÉ,L,12,bondy,93140,4 Rue de l?Egalité 93140 Bondy,0.97
LOGIREP,93/2017/2011-1191/023,9,9,RUE,DE LA LIBERTE,DE LA LIBERTE,L ,4,bondy,93140,9 Rue de la Liberté 93140 Bondy,0.97
