organisme,convention,numero,numOK,Type de voie,Nom de voie,nomVoieOK,Type de logement,nb logements,ville,cp,result1,result_score1,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
IMMOBILIERE 3F,93/2016/2011-1191/130,4-16,8,RUE,.GASTON DEFFERRE,GASTON DEFFERRE,L,63,bondy,93140,16 Rue Gaston Defferre 93140 Bondy,0.92,48.900626,2.48591,8 Rue Gaston Defferre 93140 Bondy,0.97,housenumber,93010_4133_00008,8,Rue Gaston Defferre,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2001/99-864/010,1-17,11,PLACE,ALBERT THOMAS,ALBERT THOMAS,L,211,bondy,93140,17 Place Albert Thomas 93140 Bondy,0.91,48.898885,2.479234,11 Place Albert Thomas 93140 Bondy,0.97,housenumber,93010_0020_00011,11,Place Albert Thomas,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/1988/AC/074,1,1,RUE,"ARTHUR GROUSSIER 
FONTAINE
MARX DORMOY",ARTHUR GROUSSIER,L,242,bondy,93140,1 Rue Arthur Groussier 93140 Bondy,0.61,48.909179,2.486402,1 Rue Arthur Groussier 93140 Bondy,0.96,housenumber,93010_0065_00001,1,Rue Arthur Groussier,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1987/85-1231/038,17 à 19,17,RUE,AUGUSTE POLLISSARD,AUGUSTE POLLISSARD,L,100,bondy,93140,19 Rue Auguste Polissard 93140 Bondy,0.84,48.904766,2.480439,17 Rue Auguste Polissard 93140 Bondy,0.94,housenumber,93010_0075_00017,17,Rue Auguste Polissard,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2013/2002-844/043 bis,29,29,RUE,"AUGUSTE POLLISSARD 
DES FRERES DARTY",DES FRERES DARTY,L,3,bondy,93140,29 Rue Auguste Polissard 93140 Bondy,0.66,48.903398,2.48253,Rue des Frères Darty 93140 Bondy,0.88,street,93010_3650,,Rue des Frères Darty,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2013/2002-844/043,29,29,RUE,"AUGUSTE POLLISSARD 
DES FRERES DARTY",DES FRERES DARTY,L,23,bondy,93140,29 Rue Auguste Polissard 93140 Bondy,0.66,48.903398,2.48253,Rue des Frères Darty 93140 Bondy,0.88,street,93010_3650,,Rue des Frères Darty,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
IMMOBILIERE 3F,93/1988/AC/077,"1 et 5-7
2 et 8-16
1-3",8,RUE,"BAUDELAIRE 
FRANCOIS VILLON
RONSARD",FRANCOIS VILLON,L,40,bondy,93140,3 Rue François Villon 93140 Bondy,0.46,48.913121,2.489312,8 Rue François Villon 93140 Bondy,0.97,housenumber,93010_3573_00008,8,Rue François Villon,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2009/2002-844/045,11,11,AVENUE,CARNOT,CARNOT,L,7,bondy,93140,11 Avenue Carnot 93140 Bondy,0.98,48.901979,2.482715,11 Avenue Carnot 93140 Bondy,0.98,housenumber,93010_1430_00011,11,Avenue Carnot,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/071,107,107,AVENUE,CARNOT,CARNOT,L,8,bondy,93140,107 Avenue Carnot 93140 Bondy,0.98,48.897375,2.480435,107 Avenue Carnot 93140 Bondy,0.98,housenumber,93010_1430_00107,107,Avenue Carnot,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/2017/2011-1191/070,107,107,AVENUE,CARNOT,CARNOT,L,36,bondy,93140,107 Avenue Carnot 93140 Bondy,0.98,48.897375,2.480435,107 Avenue Carnot 93140 Bondy,0.98,housenumber,93010_1430_00107,107,Avenue Carnot,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ADOMA,93/1981/79-296/057,58/62,60,ROUTE,D'AULNAY,D'AULNAY,F,75,bondy,93140,62 Route d?Aulnay 93140 Bondy,0.88,48.909202,2.480208,Route d’Aulnay 93140 Bondy,0.88,street,93010_0082,,Route d’Aulnay,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ADOMA,93/2015/2011-356/232,58-62,60,ROUTE,D'AULNAY,D'AULNAY,F,101,bondy,93140,62 Route d?Aulnay 93140 Bondy,0.88,48.909202,2.480208,Route d’Aulnay 93140 Bondy,0.88,street,93010_0082,,Route d’Aulnay,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
SEINE-SAINT-DENIS HABITAT,93/1997/85-1231/091,2/16 et 1/7,16,ALLEE,DE FURCI,DE FURCI,L,95,bondy,93140,7 Allee de Furci 93140 Bondy,0.72,48.898455,2.482379,16 Allee de Furci 93140 Bondy,0.97,housenumber,93010_3855_00016,16,Allee de Furci,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
BONDY HABITAT,93/1988/85-1231/059,4,4,RUE,DE L' ÉGALITÉ,DE L' ÉGALITÉ,L,12,bondy,93140,4 Rue de l?Egalité 93140 Bondy,0.97,48.89911,2.475467,4 Rue de l’Egalité 93140 Bondy,0.97,housenumber,93010_3121_00004,4,Rue de l’Egalité,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
LOGIREP,93/2017/2011-1191/023,9,9,RUE,DE LA LIBERTE,DE LA LIBERTE,L ,4,bondy,93140,9 Rue de la Liberté 93140 Bondy,0.97,48.895133,2.478441,9 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00009,9,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ICF LA SABLIERE,93/2018/2011-1191/084,6/8/10/12,8,RUE,DE LA LIBERTE,DE LA LIBERTE,L,8,bondy,93140,12 Rue de la Liberté 93140 Bondy,0.8,48.894709,2.479459,8 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00008,8,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ICF LA SABLIERE,93/2018/2011-1191/085,6/8/10/12,8,RUE,DE LA LIBERTE,DE LA LIBERTE,L,10,bondy,93140,12 Rue de la Liberté 93140 Bondy,0.8,48.894709,2.479459,8 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00008,8,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
LOGIREP,93/2017/2011-1191/022,9,9,RUE,DE LA LIBERTE,DE LA LIBERTE,L,16,bondy,93140,9 Rue de la Liberté 93140 Bondy,0.97,48.895133,2.478441,9 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00009,9,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
LOGIREP,93/2017/2011-1191/024,9,9,RUE,DE LA LIBERTE,DE LA LIBERTE,L,18,bondy,93140,9 Rue de la Liberté 93140 Bondy,0.97,48.895133,2.478441,9 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00009,9,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
ICF LA SABLIERE,93/2018/2011-1191/083,6/8/10/12,10,RUE,DE LA LIBERTE,DE LA LIBERTE,L,21,bondy,93140,12 Rue de la Liberté 93140 Bondy,0.8,48.894652,2.480243,10 Rue de la Liberté 93140 Bondy,0.97,housenumber,93010_5151_00010,10,Rue de la Liberté,,93140,Bondy,"93, Seine-Saint-Denis, Île-de-France",93010,,,
