depcom,id_ea,principal,numero,repetition,complement,type_voie,libelle,rivoli,categorie,type,nombre_logements,actualité,numero_permis,commentaire,annee_construction,nombre_immeubles,nombre_niveaux,sous_type,enseigne,lien_cmt,x,y,code_epsg,type_localisation,numero_parcelle,iris,ilot,qp,canton,liste_insee,id_rp,dernier_tirage,echantillon,grp_rotation,datemaj_ea,com_anc_idft,com_sous_categorie,com_statut,com_nb_log,com_nom,com_date_creation,com_date_fermeture,com_capacite,envoi_modif_importante,envoi_commentaire
93010,930100001122498,O,1,,,R,DESIRE LEON,2540,HABIT,21,1,2,PC9301023B0014,INSEE 03/08/2023: Une EA existe déjà à cette adresse. Le permis indique la construction d'une maison, et la démolition d'1 logement. ¶Faut-il périmer l'ancienne EA et conserver la nouvelle ? Faut-il modifier l'adresse de la nouvelle EA ? Merci de faire les modifications nécessaires.,0,,,,,1,662965.60000,6866124.50000,2154,BDA1,AQ0080,305,,,6,O,,,N,,,,,,,,,,,
93010,930100000631086,O,48,,,R,EDOUARD VAILLANT,3115,HABIT,23,15,3,PC9301016B0056,MAIRIE 24/10/2023: travaux en cours 1 an encore¶MAIRIE 03/03/2023: le petit château¶MAIRIE 10/11/2022: travaux en cours. 4 étages montés.¶MAIRIE 06/04/2022: travaux en cours. 1 étage.¶MAIRIE 09/03/2021: ancienne maison détruite¶MAIRIE 19/10/2020: travaux en cours¶DR 16/10/17.1ER FLUX DE PC .Une EA existe déjà, doit on périmer cette EA,si les deux existent quelle nouvelle numérotation,¶Merci d'effectuer les modifications,¶MAIRIE 05/06/2018: Actuellement, il n'y a qu'une seule maison à cette adresse, la même maison  depuis de nombreuses années (je l'ai recensé en 2004)  les travaux ne sont pas encore commencés et le PC n'est pas encore affiché. Je pense qu'ils démoliront l'ancienne maison pour reconstruire à la place un immeuble.¶MAIRIE 26/03/2019: L'ancienne maison est toujours là et aucun travaux n'est encore commencé. Le PC est affiché dans la rue du Vieux Château puisque cette adresse est à l'angle de rue E. Vaillant et de la rue du Vieux Château. La cour arrière donne rue du Vieux Château mais la BAL est rue Edouard Vaillant sous le n° 48 | sur le PC, il est indiqué qu'il y a 190 m2 (ancienne maison) à démolir mais ce n'est pas encore fait.,0,,,,,1,662021.90000,6866335.40000,2154,BDA1,AS0064,303,,,6,O,,,N,,,,,
93010,930100000003900,O,19,,,R,BORDIER,740,HABIT,22,2,3,,MAIRIE 24/10/2023: travaux : surélévation étage. 6 mois.¶MAIRIE 03/03/2023: travaux mais habitation¶INSEE 13/02/2023: Suite fiche navette RP 2023, cette EA est passée en actu 3.,0,2,1,,,1,662126.00000,6866553.30000,2154,BDA1,AL0110,304,,,6,O,93010   AL02 086,2023,N,5,,,,,,,,,,
93010,930100001063715,O,103,,103 - 113,R,EDOUARD VAILLANT,3115,HABIT,23,56,3,PC9301021B0060,MAIRIE 24/10/2023: travaux reste 1 an¶MAIRIE 03/03/2023: EA périmées 103 107 109 111 ¶MAIRIE 10/11/2022: en construction¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour la construction de 56 logts et la destruction de 6 logts, manque référence cadastrale (Descriptif :  démolition complètes des maisons et construction d'un batiment unique de 56 logements)¶¶Périmer les EA qui vont être détruites quand inhabitables.¶Avant de rendre habitable merci de nous indiquer les adresses attribuées à cette résidence avec la répartition des 56 logts si plusieurs hall d'entrée.,0,,3,,,1,662339.08175,6866276.25975,2154,MAN,,304,,QN09312I,6,O,,,N,,,,,,,,,,,
93010,930100001016986,O,55,,55-57,AV,CARNOT,1430,HABIT,23,49,3,PC9301020B0036,MAIRIE 24/10/2023: 6 mois de travaux encore. 1 seule entrée. 2 halls. pas d'accès actuellement.¶INSEE 15/05/2023: Merci de nous indiquer la répartition des 49 logements par hall d'entrée.¶INSEE 15/05/2023: Suite à l'arrêté de numérotation n°A2023_051 du 27 février 2023, la numérotation est la suivante : ¶- Hall A et B : 55-57 avenue Carnot.¶¶MAIRIE 27/03/2023: plus qu'un mois !¶MAIRIE 01/12/2022: 5 étages montées. Fini dans un an¶MAIRIE 06/04/2022: ouverture chantier côté Blanqui.¶INSEE 11/02/2022: Suite PC 3ème flux 21-22 création de l'EA - A priori construction de 49 logts : 3 parcelles cadastrales concernées AC0036-AC0037-AC0007 - Que deviennent les habitations sur ces 3 EA ? vont-elles être détruites ? Merci de bien vouloir vérifiers ces 3 EA -,0,,,,,1,662006.14726,6866808.60981,2154,MAN,AC0039,402,,,6,O,,,N,,,,,,,,,,,
93010,930100000002850,O,79,,,R,LOUIS AUGUSTE BLANQUI,5170,HABIT,21,1,3,,MAIRIE 24/10/2023: idem¶MAIRIE 11/04/2023: idem¶MAIRIE 01/12/2022: Travaux abandonnés Café petit Blanqui¶INSEE 12/07/2022: Suite Expertise Légale : EA actu 3.¶MAIRIE 07/07/2022: idem¶MAIRIE 22/06/2021:  pas de PC affiché pas de travaux commencés semble abandonné¶INSEE 19/02/2020:  suite RP 2020 FN, actualité 3-travaux commencés,  motif : Adresse non habitée, en cours de construction ou de réhabilitation, merci de vérifier le type, l'actualité, d'indiquer le n°du PC et le nombre de logements.¶MAIRIE 18/06/2020: pas de pc affiché maison abandonnée à proximité du café ' le petit blanqui' qui est fermé lui aussi,1948,1,1,,,1,662277.30000,6866660.50000,2154,BDA1,AB0003,402,,,6,O,93010   AB03 047,2020,N,2,,,,,
93010,930100001082764,O,1,,,R,DE L'UNION,9550,HABIT,21,1,2,PC9301022B0050,MAIRIE 24/10/2023: idem¶MAIRIE 27/06/2023: PC affiché division de partielle travaux non commencés¶¶INSEE 26/06/2023: Merci de nous communiquer un numéro de permis lorsqu'il sera obtenu.¶INSEE 26/06/2023: Réception de l'arrêté de numérotation n°A2022_620 du 10/01/2023 : division de la parcelle cadastrée section AL0106, AL0152, AL0197, AL0105 en deux lots : ¶- Lot A : 28 rue Louis Léon Collignon (lot bâti) |¶- Lot B : 1 rue de l'Union (destiné à la construction).¶¶INSEE 17/05/2023: Nous n'avons pas d'arrêté de numérotation pour cette adresse. Merci de reprendre l'actualité de cette EA. ¶MAIRIE 18/01/2023: arrêté de numérotation envoyé gestionnaire,0,0,0,,,1,662234.73073,6866485.46980,2154,MAN,AL0197,304,,QN09312I,6,O,,,N,,,,,,,,,
93010,930100001063694,O,3,,,AV,DENISE,2520,HABIT,23,2,2,PC9301020B0080,MAIRIE 24/10/2023: verification terrain ok.¶INSEE 28/11/2022: Merci de vérifier l'adressage de cette EA et de l'EA déjà existante au 3 avenue Denise (accès secondaire 64 Edouard Vaillant).¶MAIRIE 10/11/2022: 1 BAL verif sur le permis¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour 2 logts, pas d'information sur l'adresse ni sur la référence cadastrale.¶Avant de rendre habitable vérifier et modifier l'adresse, le positionnement et la référence cadastrale de ces 2 logts.,0,,,,,1,662145.12648,6866301.80379,2154,MAN,AS0128,303,,,6,O,,,N,,,,,,,,,,
93010,930100001122493,O,24,,,AV,DENISE,2520,HABIT,21,1,2,PC9301022B0067,INSEE 03/08/2023: Une EA existe déjà à cette adresse. Le permis indique la construction d'une maison individuelle, et 1 logement démoli. ¶Faut-il périmer l'ancienne EA et conserver la nouvelle ? Faut-il modifier l'adresse de la nouvelle EA ? Merci de faire les modifications nécessaires.,0,,,,,1,662094.70000,6866196.00000,2154,BDA1,AS0116,303,,,6,O,,,N,,,,,,,,,,,
93010,930100000002800,O,19,BIS,,R,CHARLES FERDINAND,1469,HABIT,21,1,3,,MAIRIE 24/10/2023: idem¶MAIRIE 11/04/2023: idem¶MAIRIE 01/12/2022: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: Idem¶Travaux arrêtés depuis longtemps d'après sa voisine d'à côté (qui est une collègue). Il semblerait que le propriétaire soit logé chez ses parents à Bondy rue du Progrès. Pas de PC affiché. Je n'ai vu moi-même aucune activité à cette adresse depuis longtemps.¶MAIRIE 26/03/2019: RAS rien n'a changé depuis l'année dernière, PC effacé, pas de travaux visibles en cours.¶MAIRIE 18/06/2020: maison abandonnée pas de travaux en cours,1948,1,1,,,1,662389.00000,6866764.00000,2154,BDA1,AB0039,402,,,6,O,93010   AB02 023,2013,N,5,,,,,,,,,
