"","NATURE","NOMnumero","NOM"
"30","ALL","1","MIGNARD"
"70","SEN","15","PIERRE BOURDIEU"
"99","ALL","2","EUGENE DELACROIX"
"110","ALL","11","CONDORCET"
"117","ALL","3","DOMINIQUE INGRES"
"155","ALL","4","MANET"
"164","R","14","RENE DUMONT"
"195","ALL","5","RAPHAEL"
"205","R","13","THEODORE MONOD"
"241","ALL","7","MILLET"
"271","IMP","9","HAYDN"
"293","ALL","10","LOUISE WEISS"
"299","ALL","12","LOUISE MICHEL"
"306","ALL","8","WATTEAU"
"360","ALL","6","GOYA"
"362","ALL","16","MARIE-JOSE CHOMBART DE LAUWE"
