ville;idpc;ame_diff;typ_ame;nom_ope;nom_moe;mod_prod;nom_ssect;pnrqad;sect_plui;nom_qpv;qpv;qpv_300m;pru1;npnru;nom_prom;nom_bail;nom_gest_ofs;typ_mou_lls;nom_prog;adr;cad;typ_fonc;etat_prog;date_pc;ann_pc;date_droc;ann_droc;ann_lvr;duree_pc_livr;etat_anru;nb_log_crees_(ab);nb_log_livr_(a);nb_log_suppr_(b);log_nc;log_acclib;log_acclib_suppr;log_brs;red_brs;log_accsoc;log_psla;log_lli;log_lli_suppr;lli_al;log_lls;log_lls_suppr;lls_plai;lls_plus;lls_pls;lls_nc;ann_agr;ann_capl;plai_ro;plus_ro;nb_lls_ro;loy_lls;log_spe;log_lls_spe;typ_log_spe;log_matype;typ_matype;t1;t2;t3;t4;t5p;t_nc;couconst_hors_pkvrd;coucons-incl_pkvrd;cf_acclib;cf_accpxmait;cf_brs;cf_psla;cf_res_spe;cf_lli;cflls;rem;pers_ref;source;dat_maj
Bondy;;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;Jerad Rouy Naresh;;;;;17 avenue des Platanes;AV 74;;Livré;01/09/2012;2012;;;2016;4;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;NC;NC;NC;NC;NC;1;;;;;;;;;;1 pavillon;Hélène BENASSY DHRU;Ville ;nov.-18
Bondy;09301014B0070;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;;;;;2 rue du Vieux Château;AS 66;;Livré;10/02/2015;2015;10/08/2015;2015;2016;1;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;0;0;0;1;0;0;;;;;;;;;;;N Chopin DHRU;Sitadel2;juil-19
Bondy;09301014B0013;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;;;;;42 Rue du Levant ;AO 266;;Livré;10/06/2014;2014;29/05/2015;2015;2016;2;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;;;;;;1;;;;;;;;;;;N Chopin DHRU;Sitadel2 terrain;juil-19
Bondy;09301013B0081;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;Abreuvoir Bondy Nord Centre Pont de Bondy Sablière Secteur Sud;Oui;Non;Non;Non;;ADOMA;ADOMA;MOD;Desserement Vaillant site Ourcq;58 route d'Aulnay;G 159;;Livré;06/05/2014;2014;11/12/2014;2014;2016;2;;101;101;0;;0;;;;0;0;0;;;101;;101;0;0;0;2021;;;;;;101;101;Résidence sociale;0;;101;0;0;0;0;0;;;;;;;;;;Extension du FTM création de studios à priori PLAI;N Chopin DHRU;Sitadel2;juil-19
Bondy;09301014B0064;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;Bourja;;;;;6 rue du Vieux Château;AS 208;;Livré;01/02/2015;2015;27/04/2015;2015;2016;1;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;0;0;0;1;0;0;;;;;;;;;;1 pavillon;N Chopin DHRU;Ville Sitadel2;juil-19
Bondy;09301012B0102;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;Calbat immobilier;;;;;63 rue Roger Salengro;AJ 26;;Livré;01/02/2013;2013;16/12/2014;2014;2016;3;;24;24;0;;24;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;4;12;8;0;0;0;;;;;;;;;;;Hélène BENASSY DHRU;Ville ;nov.-18
Bondy;09301013B0022;Diffus;;;;CN;Hors Site;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;Akerys;Bondy Habitat;;VEFA;Cœur Bondy;103-111 Avenue Carnot;AK 12 13 125 136;;Livré;01/09/2013;2013;20/07/2016;2016;2017;4;;98;98;0;;26;;;;28;0;0;;;44;;8;36;0;0;2017;;;;;;0;;;0;;4;35;34;26;3;-4;;;;;;;;;;PRU 1 hors-site;N Chopin DHRU;Ville ANRU;sept.-19
Bondy;09301015B0038;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;Arthur Promotion;;;;;104 rue Roger Salengro;AI 114;;Livré;22/10/2015;2015;28/09/2016;2016;2017;2;;20;20;0;;20;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;10;10;0;0;0;0;;;;;;;;;;;N Chopin DHRU;Sitadel2;juil-19
Bondy;09301014B0050;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;Spirit Immobilier;CDC Habitat;;VEFA;Jules Ferry;12-14 avenue Jules Ferry;AU 11 12;;Livré;28/11/2014;2014;07/05/2015;2015;2017;3;;99;99;0;;0;;;;0;0;0;;;99;;20;49;30;0;2018;;;;;;0;;;0;;11;29;40;18;1;0;;;;;;;;;;;N Chopin DHRU;Ville RPLS;sept.-20
Bondy;09301015B0015;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;;;;;;15 allée du Rendez-vous;;;Livré;03/08/2015;2015;16/12/2015;2015;2017;2;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;0;0;0;1;0;0;;;;;;;;;;;N Chopin DHRU;Sitadel2;juil-19
Bondy;09301014B0054;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;Antin Résidences;;MOD;Mozaik;15-17 rue de la Fontaine;F 12 80 129;;Livré;01/09/2015;2015;15/09/2015;2015;2017;2;;64;64;0;;22;;;;0;0;0;;;42;;8;22;12;0;2017;;;;;;0;;;0;;6;23;26;11;0;-2;;;;;;;;;;2 immeubles d'habitation et 3 maisons de ville;Hélène BENASSY DHRU;Ville ;nov.-18
Bondy;09301014B0034;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;Promogim;;;;;15-17 rue Louis Auguste Blanqui;AD 69 76;;Livré;01/09/2014;2014;11/06/2015;2015;2017;3;;39;39;0;;39;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;0;19;20;0;0;0;;;;;;;;;;;Hélène BENASSY DHRU;Ville ;nov.-18
Bondy;09301015B0005;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;;;;;;21 allée Thérèse;;;Livré;03/08/2015;2015;18/07/2016;2016;2017;2;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;0;0;0;1;0;0;;;;;;;;;;surélévation;N Chopin DHRU;Sitadel2;juil-19
Bondy;09301015B0060;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Oui;Non;Non;;;;;;27 Rue Jean Jaurès;;;Livré;17/11/2015;2015;06/01/2016;2016;2017;2;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;0;0;0;0;1;0;;;;;;;;;;;N Chopin DHRU;Sitadel2;juil-19
Bondy;09301015B0068;Diffus;;;;CN;;Non;CIN Plaine de l'Ourcq;;Non;Non;Non;Non;;;;;;28 rue de Tremeuge;;;Livré;29/12/2015;2015;04/03/2016;2016;2017;2;;1;1;0;;1;;;;0;0;0;;;0;;;;;0;;;;;;;0;;;0;;0;0;0;0;1;0;;;;;;;;;;;N Chopin DHRU;Sitadel2;juil-19
