"X.1","cumul","deb","fin","nbPages","num","X","ficPDF","nb","fic","lieu","type","dateDeb","dateFin","dateObs"
1,36,1,3,3,41,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","EGOUTS DEPARTEMENTAUX","Permanent",2026-02-23,2026-12-31,NA
2,36,4,5,2,40,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE GATINE","Interdiction",2026-02-11,2026-02-25,NA
3,36,6,7,2,39,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE DE LA LIBERTE","Modification",2026-02-16,2026-02-27,NA
4,36,8,9,2,38,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE DU PROFESSEUR VAILLANT","Interdiction",2026-02-16,2026-02-27,NA
5,36,10,11,2,37,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE BAUDIN","Interdiction",2026-02-09,2026-04-24,NA
6,36,12,13,2,53,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLUSIEURS VOIES DE LA VILLE","Interdiction",2026-03-11,2026-04-10,NA
7,36,14,15,2,54,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","RUE LOUIS AUGUSTE BLANQUI","Interdiction",2026-03-16,2026-04-03,NA
8,36,16,19,4,57,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLUSIEURS VOIES DE LA VILLE","Réglementation",2026-12-01,2026-12-31,NA
9,36,20,21,2,51,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLACE DE LA REPUBLIQUE","Autorisation",2026-03-02,NA,"A compter du lundi 02 mars et jusqu’au vendredi 13 mars 2026 de 08h00 à 18h00, excepté les mercredis 4 et 11 mars, jours de marché"
10,36,22,23,2,50,1,"S:/VOIRIE PHOTO STATIONNEMENT/06_arrêtéVoirie/01_arrete/fevrier.pdf",36,"fevrier.pdf","PLUSIEURS VOIES DE LA VILLE","Interdiction",2026-03-09,2026-06-26,NA
