,x,ok
1,08/121/99,08/12/99
2,08/121/99,08/12/99
3,05/072001,03/07/01
4,11/072001,11/07/01
5,",;",NA
6,0,NA
7,28/03/2006,28/03/06
8,24/0182007,24/01/07
9,2008/2008,01/01/08
10,04/052009,04/05/09
11,08/07/209,08/07/09
12,06/04/2010,06/04/10
13,05/0/8/2010,05/08/10
14,27/12//2010,27/12/10
15,27/12//2010,27/12/10
16,27/12//2010,27/12/10
17,,NA
18,25/07/2014,25/07/14
19,03/102016,03/10/16
20,13/04/201,13/04/19
21,04/03/2019/,04/03/19
22,20//11/2019,20/11/19
23,,NA
24,24/072020,24/07/20
25,18/092020,18/09/20
