"","Rue","Peri"
"2","AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair v"
"3","AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cdté impair"
"5","AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le coté impair \/"
"6","AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cdté impair"
"8","AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cote impair"
"9","AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le coté impair"
"13","AZALEES ALLEE DES AZALEES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair"
"16","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmétre Elémentaire Guillaume Apollinaire leone pair allant des n° 2 a 38 et cété impair allant des n° 1 a 28 |"
"17","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Guillaume Apollinaire Cété pair allant des n° 2 a 38 et cété impair allant des n° 1 a 29"
"18","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n?42 4 998 et cété impair allant des n° 79 a 999"
"19","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Coté pair allant des n°(42 a 998 et coté impair sans les n°"
"20","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Camille Claudel Cété pair sans les n° et coté impair allant des n° 31 a3 Vv"
"21","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair sans les n° et coté impair allant des n° 37 a 999 a FO 4"
"22","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair sans les n° et cété impair allant des n° 37 a 772"
"23","BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Camille Claudel Cété pair sans les n° et cdté impair allant des n 31a 35 > r/"
"25","BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"26","BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"29","BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Maternelle Olympe de Gouges Tout le cété pair et tout le cote impair"
"30","BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le cété pair et tout le cété impair"
"32","BAUDIN RUE BAUDIN","Périmétre : Périmetre Eleémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair"
"33","BAUDIN RUE BAUDIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair"
"35","BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair /"
"36","BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdtée impair"
"38","BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair V"
"39","BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair"
"41","BECQUEREL ALLEE BECQUEREL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair"
"42","BECQUEREL ALLEE BECQUEREL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"45","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le coté impair","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le coté impair"
"46","Périmétre : Périmétre Elémentaire Jules Ferry 2 (rue F.COLLE Tout le cété pair et tout le coté impair","Périmétre : Périmetre Maternelle Henri Sellier Tout le cété pair et tout le cété impair"
"48","BELFORT AVENUE DE BELFORT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair"
"49","BELFORT AVENUE DE BELFORT","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair"
"56","FREMIN RUE FREMIN","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair"
"57","FREMIN RUE FREMIN","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cdté impair"
"59","FRENES ALLEE DES FRENES","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair"
"60","FRENES ALLEE DES FRENES","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair"
"62","FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair \ |"
"63","FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair )"
"65","GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair"
"66","GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair"
"70","GALLIENI AVENUE GALLIENI ;","Périmétre : Périmétre Elémentaire Mainguy/Guehenno y, Cété pair allant des n° 2 4 102 et cdté impair sans les n° |"
