"","X","Rue","Peri","rueCourte","rue"
"1",2,"AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Elémentaire Noue Caillet Albert Camus Tout le cété pair et tout le coté impair v","AULNAY","ROUTE D'AULNAY "
"2",3,"AULNAY ROUTE D'AULNAY /","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cdté impair","AULNAY","ROUTE D'AULNAY "
"3",5,"AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Maternelle Camille Claudel Tout le cété pair et tout le coté impair \/","AURIOL","RUE JACQUELINE AURIOL"
"4",6,"AURIOL RUE JACQUELINE AURIOL","Périmétre : Périmetre Elémentaire Camille Claudel Tout le cété pair et tout le cdté impair","AURIOL","RUE JACQUELINE AURIOL"
"5",8,"AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Elementaire Léo Lagrange Tout le cété pair et tout le cote impair","AVIATION","RUE DE L'AVIATION"
"6",9,"AVIATION RUE DE L'AVIATION","Périmétre : Périmetre Maternelle Léo Lagrange Tout le cété pair et tout le coté impair","AVIATION","RUE DE L'AVIATION"
"7",13,"AZALEES ALLEE DES AZALEES","Périmétre : Périmetre Maternelle Jean Zay Tout le cété pair et tout le cété impair","AZALEES","ALLEE DES AZALEES"
"8",16,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmétre Elémentaire Guillaume Apollinaire leone pair allant des n° 2 a 38 et cété impair allant des n° 1 a 28 |","BARBUSSE","AVENUE HENRI BARBUSSE"
"9",17,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Guillaume Apollinaire Cété pair allant des n° 2 a 38 et cété impair allant des n° 1 a 29","BARBUSSE","AVENUE HENRI BARBUSSE"
"10",18,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Henri Sellier Cété pair allant des n?42 4 998 et cété impair allant des n° 79 a 999","BARBUSSE","AVENUE HENRI BARBUSSE"
"11",19,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Coté pair allant des n°(42 a 998 et coté impair sans les n°","BARBUSSE","AVENUE HENRI BARBUSSE"
"12",20,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Camille Claudel Cété pair sans les n° et coté impair allant des n° 31 a3 Vv","BARBUSSE","AVENUE HENRI BARBUSSE"
"13",21,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Léo Lagrange Cété pair sans les n° et coté impair allant des n° 37 a 999 a FO 4","BARBUSSE","AVENUE HENRI BARBUSSE"
"14",22,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Maternelle Léo Lagrange Cété pair sans les n° et cété impair allant des n° 37 a 772","BARBUSSE","AVENUE HENRI BARBUSSE"
"15",23,"BARBUSSE AVENUE HENRI BARBUSSE","Périmétre : Périmetre Elémentaire Camille Claudel Cété pair sans les n° et cdté impair allant des n 31a 35 > r/","BARBUSSE","AVENUE HENRI BARBUSSE"
"16",25,"BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","BASTIE","ALLEE MARYSE BASTIE"
"17",26,"BASTIE ALLEE MARYSE BASTIE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","BASTIE","ALLEE MARYSE BASTIE"
"18",29,"BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Maternelle Olympe de Gouges Tout le cété pair et tout le cote impair","BAUDELAIRE","RUE BAUDELAIRE"
"19",30,"BAUDELAIRE RUE BAUDELAIRE","Périmétre : Périmetre Elémentaire Olympe de Gouges Tout le cété pair et tout le cété impair","BAUDELAIRE","RUE BAUDELAIRE"
"20",32,"BAUDIN RUE BAUDIN","Périmétre : Périmetre Eleémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair","BAUDIN","RUE BAUDIN"
"21",33,"BAUDIN RUE BAUDIN","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdté impair","BAUDIN","RUE BAUDIN"
"22",35,"BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Elementaire R.Salengro J.Béthinger Tout le cété pair et tout le cété impair /","BEAUREGARD","RUE BEAUREGARD . "
"23",36,"BEAUREGARD RUE BEAUREGARD . i","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cdtée impair","BEAUREGARD","RUE BEAUREGARD . "
"24",38,"BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair V","BEAUVOIR","RUE SIMONE DE BEAUVOIR"
"25",39,"BEAUVOIR RUE SIMONE DE BEAUVOIR","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cote impair","BEAUVOIR","RUE SIMONE DE BEAUVOIR"
"26",41,"BECQUEREL ALLEE BECQUEREL","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","BECQUEREL","ALLEE BECQUEREL"
"27",42,"BECQUEREL ALLEE BECQUEREL","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","BECQUEREL","ALLEE BECQUEREL"
"30",48,"BELFORT AVENUE DE BELFORT","Périmétre : Périmétre Elémentaire Pierre Curie Tout le cété pair et tout le cété impair","BELFORT","AVENUE DE BELFORT"
"31",49,"BELFORT AVENUE DE BELFORT","Périmétre : Périmetre Maternelle Pierre Curie Tout le cété pair et tout le cdté impair","BELFORT","AVENUE DE BELFORT"
"32",56,"FREMIN RUE FREMIN","Périmétre : Périmetre Maternelle Mainguy Tout le cété pair et tout le cété impair","FREMIN","RUE FREMIN"
"33",57,"FREMIN RUE FREMIN","Périmétre : Périmétre Elémentaire Mainguy/Guehenno Tout le cété pair et tout le cdté impair","FREMIN","RUE FREMIN"
"34",59,"FRENES ALLEE DES FRENES","Périmétre : Périmétre A.Césaire/A.Boulloche Tout le cété pair et tout le cété impair","FRENES","ALLEE DES FRENES"
"35",60,"FRENES ALLEE DES FRENES","Périmétre : Périmetre Maternelle Terre Saint Blaise Tout le cété pair et tout le cété impair","FRENES","ALLEE DES FRENES"
"36",62,"FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Maternelle Alain Savary Roger Salengr Tout le cété pair et tout le cété impair \ |","FURCI","ALLEE DE FURCI ‘"
"37",63,"FURCI ALLEE DE FURCI ‘","Périmétre : Périmetre Elémentaire R.Salengro J.Béthinger Tout le cété pair et tout le cote impair )","FURCI","ALLEE DE FURCI ‘"
"38",65,"GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Elémentaire Jules Ferry Jean Rostand Tout le cété pair et tout le cété impair","GABRIELLE","ALLEE GABRIELLE"
"39",66,"GABRIELLE ALLEE GABRIELLE","Périmétre : Périmetre Maternelle Jules Ferry Tout le cété pair et tout le cété impair","GABRIELLE","ALLEE GABRIELLE"
"40",70,"GALLIENI AVENUE GALLIENI ;","Périmétre : Périmétre Elémentaire Mainguy/Guehenno y, Cété pair allant des n° 2 4 102 et cdté impair sans les n° |","GALLIENI","AVENUE GALLIENI ;"
