,nom couche,contenu
1,limite,2 limites : petite et grande (pour le foncier étendu uniquement)
2,cadastre,détail foncier sur petite zone
3,arbre,diagnostic arbres ville
4,ads,autorisation d’urbanismes
5,velo,
6,habitat,inventaire habitat social
7,bat,bdTopo extraction
8,rue,
9,epEntites,éclairage public
10,epPoint,éclairage public
11,epLigne,éclairage public
12,trajet,relevé mobiilier urbain gps
13,trajetAli,relevé mobiilier urbain gps
14,POIAli,relevé mobiilier urbain gps
15,POIBea,relevé mobiilier urbain gps
16,POIAli2,relevé mobiilier urbain gps
17,foncierEtendu,distinction privé / proprios plus d’une parcelle non contigüe
