;RALENTISSEUR NON CONFORME; RALENTISSEUR CONFORME;COUSSIN BERLINOIS;PLATEAU SURELEVE;PASSAGE PIETON SURELEVE
république;;n°75/n°88/n°112;;;
carnot;;;n°146/n°119/n°87;2;
liberté;;;;;n°75/n°77/n°67/n°43/n°35/n°12/n°6
salengro;;;n°78;;
route de villemomble;;;n°174/176;n°18/n°22/n°82/n°106/n°114/n°128;n°4/n°26/
st louis prolongé;;n°36/n°25/n°26;;;
blanqui;n°79 ( 12cm);n°90/n°89/n°114;n°244;n°125;n°106/n°212
edouard vaillant;n°77 (11cm) n°67 (11cm);n°127/n°121/n°111/n°95/n°87;n°137/n°137/n°133/n°133/;;n°36
etienne dolet;;;n°29/n°32/n°39/n°39;;
metz;;n°45/n°51/;;;n°24
david leder;n°33 (11,5cm) n°14 (13cm) n°5 (13cm);;;;
varsovie;n°31 (15cm) n°35 (13cm);;;;n°5
corneille;;n°16/;;;
espérance;;n°18;;;
progrès;;n°11;;;
m luther king;;;;;n°10
solidarité;;n°17/n°44;;;n°27
jaqueline auriol;;;n°16/n°6;;
 g graff;;n°13/n°5;;;
nancy;;n°10/n°24;;;
est;;n°30/;;;
belfort;;n°15/n°6;;;
marcel dassault;;n°11/n°41;;;
baudin;;n°133/n°143;;n°114;
fraternité;;n°11;;;
allée du vieux moulin;;;;;n°1
bobillot;;;;;n°1
Avenue Léon Blum;;;n°7;;
Avenue Jean Moulin;;;n°34;n°34;
Avenue Suzanne Buisson;;;;;n°2,n°14
Avenue Jean Lebas;;;;;
Rue Odette Pain;;;;;
Rue Suzanne Blin;;;;;n°1,3
Germain Tillon;;;n°4;;
Terre Saint Blaise;;n°1, n°3;;;
Chemin Latéral;;;;;
Rue Aretha Franklin;;;;;
Rue Simone Veil;;;;;
Rue Nadia Murad;;;;;
Avenue Marx Dormoy;;;n°2( *2),4(*2);;n°41,14,23,19,4
Rue des Escholiers;;;n°13(*2);;n°1 ,15
Av Léon Jouhaux;n°4 (12cm);n°3,8,19,;;n°6,18,23;n°1,9,21
Rue Francois Villon;;;;;n°13,35
Maurice Benhamou;;n°1;;;n°2
Jean Marie Djibaou;;;n°4(*2);;n°2
Av du 4 Septembre;;n°38, n°28;;;
Allée de la Jardinière;;n°13,4;;;
Av de la Villageoise;;n°3,24;;;
Av de la Parisienne;;;n°2(*2),33(*2);;
Rue Fontaine;;n°22;n°50,46;;
Lucien Chapelain;;;n°38(*2),15(*2),26(*2);n°40;
Avenue Geugnon;;n°7;;;
Av Clara Grandet;;n°19;;;
Avenue Sakharov;;n°46;;;
Avenue Versailles ;;n°9, n°29n°13;;;
Rue de Meaux;;n°32;;;
Panurge;;;;;n°2
verdun;;n°20,n°18;n°13,n°4,n°11,n°9;;
pasteur;;;n°33,n°32,n°3,n°2;;
jules guesde;;;;n°95,n°93;
fremin;;n°1;n°4;;
jean jaurès;;n°14;;;
pierre brossolette;;;;n°1;
alice;n°13 (11,5);n°25;;n°53;
emmanuel fairon;;n°2;;;
georges elie;;n°42;n°32;;
chalet;;n°13,n°27,n°34;;;
aviation;;n°11,n°22;;;
eugene masson;;n°6,n°23;;n°8,n°34;
trémeuge;;n°12,n°32;;;
frère darty;n°6 (11cm),n°5(11,5), n°3, (13cm);;;n°7;
pollissard;;;;n°41;
georges sand;;;;n°4,n°6,n°8,n°12,n°10;
tassigny;;;n°4;;
alpy;n°23 (11cm);n°45;;;
henri douillot;;n°38,n°50;;;
beranger;;n°29;;;
rulihère;;n°4,n°9;;;
p,collardeau;;n°7;;;
cesar delaine;;n°3;;;
cours de la république;;n°10;;;
