Fichier encodé en UTF-8 sans BOM, champs séparés par un point-virgule
depcom;id_ea;principal;numero;repetition;complement;type_voie;libelle;rivoli;categorie;type;nombre_logements;actualité;numero_permis;commentaire;annee_construction;nombre_immeubles;nombre_niveaux;sous_type;enseigne;lien_cmt;x;y;code_epsg;type_localisation;numero_parcelle;iris;ilot;qp;canton;liste_insee;id_rp;dernier_tirage;echantillon;grp_rotation;datemaj_ea;com_anc_idft;com_sous_categorie;com_statut;com_nb_log;com_nom;com_date_creation;com_date_fermeture;com_capacite;envoi_modif_importante;envoi_commentaire
93010;930100001073574;O;11;;;ALL;DE LA REGALE;8140;HABIT;0021;1;3;PC9301021B0051;INSEE 09/11/2022: PC 2ème vague : il s'agirait de la construction d'un pavillon sur vide technique type R+1+Combles amenages.  Il existe déjà 1 EA à cette adresse (au 11-13 allée Régale).  Merci de vérifier l'adressage, le positionnement, et l'actualité de l'EA.;0;;;;;1;662909.69186;6867222.47205;2154;MAN;0S0215;0405;;;06;O;;;N;;;;;;;;;;;;
93010;930100000908008;O;5;;;R;DU POTAGER;7240;HABIT;0023;13;3;PC9301019B0047;MAIRIE 09/11/2022: travaux en cours¶MAIRIE 06/04/2022: détruite¶MAIRIE 05/11/2021: idem¶MAIRIE 12/03/2021:  PC affiché pas de travaux en cours¶INSEE 05/11/2020: Suite PC 2EFLUX 20-21 création EA sur existant - D'après descriptif des travaux : DEMOLITION D'1 LOGEMENT ET CONSTRUCTION IMMEUBLE DE 13 LOGEMENTS - A vérifier et si destruction il faudra périmer l'ancienne EA et garder l'EA avec le permis.;0;;5;;;1;661359.80000;6867069.40000;2154;BDA1;AG0085;0201;;;06;O;;;N;;;;;;;;;;;;
93010;930100000908003;O;15;;;R;JEAN JAURES;4740;HABIT;0023;4;3;PC9301019B0055;MAIRIE 09/11/2022: travaux en cours¶MAIRIE 08/03/2021:  travaux autorisés PC affiché¶INSEE 05/11/2020: Suite PC 2EFLUX 20-21 EA créée sur EA existante - Destruction ou rénovation de l'ancien bâti ? si oui il faudra périmer l'ancienne EA et garder l'EA avec le PC.;0;;;;;1;661694.60000;6867063.60000;2154;BDA1;AE0060;0202;;;06;O;;;N;;;;;;;;;;;;
93010;930100000003106;O;25;;;R;PHILEAS COLLARDEAU;7160;HABIT;0021;1;4;PC9301018B0026;MAIRIE 09/11/2022: travaux batiment fini .pose siment extérieur¶MAIRIE 07/07/2022: idem¶MAIRIE 06/04/2022: échafaudages au sol¶INSEE 16/02/2021: Suite contrôles sur PC ajout du n°de permis suite aux indications ci-dessous.¶MAIRIE 21/10/2020:  travaux en cours échafaudage en place¶INSEE 21/11/2018: Un PC9301018B0026 pour 90 m2  a cette adresse.faut il créer une nouvelle EA ou est ce bien une rénovation¶MAIRIE 09/04/2019: Il s'agit d'une rénovation, agrandissement derrière la maison. Travaux en cours. Maison avec deux étages. PC9301018B0026¶INSEE 19/02/2020: suite RP 2020 FN, actualité 3-travaux commencés, merci de vérifier le type, l'actualité, d'indiquer le n° de PC et le nombre de logements.;1915;1;1;;;1;661374.90000;6867015.60000;2154;BDA1;AG0172;0201;;;06;O;93010   AG08 018;2020;N;2;;;;;;;;;;;
93010;930100000847426;O;20;;20-24;AV;JULES FERRY;4770;HABIT;0023;119;4;PC9301018B0069;MAIRIE 09/11/2022: travaux toujours en construction¶MAIRIE 10/03/2021:  travaux en cours immeubles  en constructions¶MAIRIE 22/10/2020:  TRAVAUX EN COURS FONDATION IMMEUBLES¶INSEE 27/11/2019: recu ce pc avec notifié comme adresse 2-10/16-24 rue jules ferry .merci de voir la numérotation de ce programme et de voir si possibilité de dégrouper¶MAIRIE 19/06/2020:  destruction des 3 pavillons 20 22 24  rue Jules Ferry en cours;0;;;;;1;661433.23752;6866058.23712;2154;MAN;AU0014;0204;;;06;O;;;N;;;;;;;;;;;;
93010;930100000997698;O;214;;;R;LOUIS AUGUSTE BLANQUI;5170;HABIT;0022;2;3;PC9301019B0074;INSEE 23/09/2021: Suite PC 1ER FLUX 21-22 création de l'EA - Vu sur google maps : travaux bien avancés -¶Descriptif des travaux :¶    DEMOLITION PARTIELLE DES CONSTRUCTIONS EN RDC - MODIF FACADE+ CREATION DE CHASSIS DE TOIT - CHANGEMENT DE DESTINATION DE L'ATELIER/GARAGE EN HABITATION EN VUE DE CREER 2 MAISONS INDIVIDUELLES¶Bien vérifier le nombre de logts - Merci;0;;2;;;1;663104.80553;6866388.36296;2154;MAN;AO0086;0305;;;06;O;;;N;;;;;;;;;;;;
93010;930100000631086;O;48;;;R;EDOUARD VAILLANT;3115;HABIT;0023;15;3;PC9301016B0056;MAIRIE 10/11/2022: travaux en cours. 4 étages montés.¶MAIRIE 06/04/2022: travaux en cours. 1 étage.¶MAIRIE 09/03/2021: ancienne maison détruite¶MAIRIE 19/10/2020: travaux en cours¶DR 16/10/17.1ER FLUX DE PC .Une EA existe déjà, doit on périmer cette EA,si les deux existent quelle nouvelle numérotation,¶Merci d'effectuer les modifications,¶MAIRIE 05/06/2018: Actuellement, il n'y a qu'une seule maison à cette adresse, la même maison  depuis de nombreuses années (je l'ai recensé en 2004)  les travaux ne sont pas encore commencés et le PC n'est pas encore affiché. Je pense qu'ils démoliront l'ancienne maison pour reconstruire à la place un immeuble.¶MAIRIE 26/03/2019: L'ancienne maison est toujours là et aucun travaux n'est encore commencé. Le PC est affiché dans la rue du Vieux Château puisque cette adresse est à l'angle de rue E. Vaillant et de la rue du Vieux Château. La cour arrière donne rue du Vieux Château mais la BAL est rue Edouard Vaillant sous le n° 48 | sur le PC, il est indiqué qu'il y a 190 m2 (ancienne maison) à démolir mais ce n'est pas encore fait.;0;;;;;1;662021.90000;6866335.40000;2154;BDA1;AS0064;0303;;;06;O;;;N;;;;;;;;;;;;
93010;930100000708221;O;119;;;R;EDOUARD VAILLANT;3115;HABIT;0022;4;2;PC9301016B0065;MAIRIE 10/11/2022: 4 bal. pas de travaux. EA lié 119 ter abandonnée. EA lié 119 bis. 1 BAL.¶MAIRIE 30/03/2022: idem¶MAIRIE 19/10/2020:  bâtiment muré pas de travaux commencés¶insee 21/12/2017.2eme flux de pc il existe une ea au 119b allée des sylphes avec complément rue Édouard vaillant .faut il périmée cette EA.merci de faire les modifications.;0;;0;;;1;662409.70000;6866261.60000;2154;BDA1;AM0032;0304;;QP093012;06;O;;;N;;;;;;;;;;;;
93010;930100000832528;O;167;;;R;EDOUARD VAILLANT;3115;HABIT;0025;92;3;PC9301018B0020;MAIRIE 10/11/2022: encore environ 3mois de travaux.¶MAIRIE 22/10/2021: Bondy Habitat¶INSEE 05/09/2019: Création nouvelle EA suite 1er flux de Pc vu adoma demolit et les personnes reparetis sur d autres site .ce PC ne concerne pas une CMT.¶MAIRIE 18/06/2020:  travaux de démolition et construction ne sont pas commencés;0;;4;;;1;662700.91215;6866195.69969;2154;MAN;AN0013;0305;;QP093012;06;O;;;N;;;;;;;;;;;;
93010;930100001016978;O;2;;;AV;DE LA VILLAGEOISE;9650;HABIT;0021;1;2;PC9301020B0041;MAIRIE 15/11/2022: idem¶MAIRIE 30/03/2022: rien (pelouse)¶INSEE 11/02/2022: Suite PC 3ème flux 21-22 création de l'EA sur existant.¶D'après descriptif : Construction d'une maison individuelle de 190 m² habitables sur trois niveaux (R+2) - Que devient l'ancien bâti au 2 avenue de la Villageoise ? détruite ? rénovation ? si pas habitable il faudra la périmer et garder l'EA avec le PC|;0;;;;;1;662416.40000;6867956.10000;2154;BDA1;E0122;0105;;QP093014;06;O;;;N;;;;;;;;;;;;
