principal,numero,repetition,type_voie,libelle,categorie,type,nombre_logements,actualité,commentaire,fid,nom
O,"1",,R,NADIA MURAD,HABIT,"23","23","3",MAIRIE 27/02/2023: dégroupage et emplacement géographique¶MAIRIE 09/12/2022: A2 18 lgts A1 23 lgts B 11 lgts C2 20 lgts C1 24¶MAIRIE 03/03/2021: Travaux en cours immeuble construit les fenêtres sont posées¶INSEE 03/08/2018: création 1er flux de pc merci de verifier le positionnement et la numérotation lors du passage en habitable¶MAIRIE 09/04/2019: Chantier juste à côté du chantier au numéro 39. Contruction d'un ensemble immobilier composé de logements et de locaux d'activités. Les travaux de fondation sont en cours.,"8",zac
O,"26",,R,DU BON AIR,HABIT,"21","1","3","MAIRIE 28/02/2023: terrain en longueur, pas d'accès, parpaings dans zone non cadastrée. ¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour la construction d'une maison individuelle.¶Il existe déjà une EA à la même adresse que devient-elle.¶Avant de rendre habitable merci de vérifier l'adresse exacte attribuée à cette maison.","10",nord
O,"2",,R,DE TREMEUGE,HABIT,"23","27","2","MAIRIE 03/03/2023: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: idem¶MAIRIE 03/03/2021:   Les travaux de démolition n'ont pas commencés¶INSEE 02/05/2018: Création EA 4ème flux de pc 2018.merci de preciser que devient EA existante.et de mettre a jour¶MAIRIE 26/03/2019: Je n'ai pas vu de n° 164 sur le terrain mais un n° 2 rue de Trémeuge, il n'y a pas d'entrée sur la rue Henri Barbusse.","7",est
N,"164",,AV,HENRI BARBUSSE,HABIT,"23","0","2","MAIRIE 03/03/2023: idem¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: idem¶MAIRIE 03/03/2021:   Les travaux de démolition n'ont pas commencés¶INSEE 02/05/2018: Création EA 4ème flux de pc 2018.merci de preciser que devient EA existante.et de mettre a jour¶MAIRIE 26/03/2019: Je n'ai pas vu de n° 164 sur le terrain mais un n° 2 rue de Trémeuge, il n'y a pas d'entrée sur la rue Henri Barbusse.","7",est
O,"9",,R,DES CINQ ORMES,HABIT,"23","22","3",MAIRIE 03/03/2023: toujours en travaux. 6 mois environ.¶MAIRIE 02/12/2022: En construction reste 6 moix.¶MAIRIE 30/03/2022: petite maison¶MAIRIE 05/11/2021: murs¶MAIRIE 19/10/2020:  démolition de tous les pavillons existants¶INSEE 27/11/2019: Création EA suite 2eme flux de pc.DEMOLITION DU PAVILLON EXISTANT - CONSTRUCTION D'UN IMMEUBLE DE 22 LOGEMENTS + 22 PARKINGS¶MAIRIE 18/06/2020:  grandes parcelles abandonnées  qui va du 9 au 15 pas de PC affiché ( arraché) pas de travaux commencés destruction des maisons pourconstruire immeuble collectif 22 logements,"7",est
O,"27",BIS,R,DES CINQ ORMES,HABIT,"21","1","3",MAIRIE 03/03/2023: idem¶MAIRIE 02/12/2022: Oui les travaux sont abandonnés¶MAIRIE 30/03/2022: idem¶MAIRIE 05/11/2021: idem¶MAIRIE 09/03/2021:  travaux abandonnés¶MAIRIE 19/10/2020:  travaux abandonnés¶MAIRIE 30/05/2018: PC pas affiché - RAS depuis des années - Travaux semblent arrêtés.¶MAIRIE 26/03/2019: Travaux arrêtés depuis des années. Rien de plus de visible que l'année dernière.¶MAIRIE 18/06/2020: maison sur deux étages les travaux sont à l'abandon,"7",est
O,"103",,R,EDOUARD VAILLANT,HABIT,"23","56","3","MAIRIE 03/03/2023: EA périmées 103 107 109 111 ¶MAIRIE 10/11/2022: en construction¶INSEE 06/09/2022: EAAC 1er flux 22-23 PC autorisé pour la construction de 56 logts et la destruction de 6 logts, manque référence cadastrale (Descriptif :  démolition complètes des maisons et construction d'un batiment unique de 56 logements)¶¶Périmer les EA qui vont être détruites quand inhabitables.¶Avant de rendre habitable merci de nous indiquer les adresses attribuées à cette résidence avec la répartition des 56 logts si plusieurs hall d'entrée.","6",centre
O,"48",,R,EDOUARD VAILLANT,HABIT,"23","15","3","MAIRIE 03/03/2023: le petit château¶MAIRIE 10/11/2022: travaux en cours. 4 étages montés.¶MAIRIE 06/04/2022: travaux en cours. 1 étage.¶MAIRIE 09/03/2021: ancienne maison détruite¶MAIRIE 19/10/2020: travaux en cours¶DR 16/10/17.1ER FLUX DE PC .Une EA existe déjà, doit on périmer cette EA,si les deux existent quelle nouvelle numérotation,¶Merci d'effectuer les modifications,¶MAIRIE 05/06/2018: Actuellement, il n'y a qu'une seule maison à cette adresse, la même maison  depuis de nombreuses années (je l'ai recensé en 2004)  les travaux ne sont pas encore commencés et le PC n'est pas encore affiché. Je pense qu'ils démoliront l'ancienne maison pour reconstruire à la place un immeuble.¶MAIRIE 26/03/2019: L'ancienne maison est toujours là et aucun travaux n'est encore commencé. Le PC est affiché dans la rue du Vieux Château puisque cette adresse est à l'angle de rue E. Vaillant et de la rue du Vieux Château. La cour arrière donne rue du Vieux Château mais la BAL est rue Edouard Vaillant sous le n° 48 | sur le PC, il est indiqué qu'il y a 190 m2 (ancienne maison) à démolir mais ce n'est pas encore fait.","6",centre
O,"3",,R,BORDIER,HABIT,"21","1","2","MAIRIE 03/03/2023: travaux non commencés (pas d'affiche)¶INSEE 08/12/2022: Une EA existe déjà à cette adresse. Le PC indique 'rénovation et extension d'une maison avec la création d'un logement R+1+C'.¶Dans ce cas, une fois les travaux terminés, merci de modifier le nombre de logement de l'EA existante. Sinon, merci de faire les modifications nécessaires selon le cas.","6",centre
O,"19",,R,BORDIER,HABIT,"22","2","3","MAIRIE 03/03/2023: travaux mais habitation¶INSEE 13/02/2023: Suite fiche navette RP 2023, cette EA est passée en actu 3.","6",centre
