"","epci","commune","numero_d_immatriculation","date_d_immatriculation","date_de_la_derniere_maj","type_de_syndic_benevole_professionnel_non_connu","identification_du_representant_legal_raison_sociale_et_le_numer","raison_sociale_du_representant_legal","siret_du_representant_legal","code_ape","commune_du_representant_legal","mandat_en_cours_dans_la_copropriete","date_de_fin_du_dernier_mandat","nom_d_usage_de_la_copropriete","adresse_de_reference","numero_et_voie_adresse_de_reference","code_postal_adresse_de_reference","commune_adresse_de_reference","adresse_complementaire_1","adresse_complementaire_2","adresse_complementaire_3","nombre_d_adresses_complementaires","long","lat","date_du_reglement_de_copropriete","residence_service","syndicat_cooperatif","syndicat_principal_ou_syndicat_secondaire","si_secondaire_n_d_immatriculation_du_principal","nombre_d_asl_auxquelles_est_rattache_le_syndicat_de_coproprieta","nombre_d_aful_auxquelles_est_rattache_le_syndicat_de_copropriet","nombre_d_unions_de_syndicats_auxquelles_est_rattache_le_syndica","nombre_total_de_lots","nombre_total_de_lots_a_usage_d_habitation_de_bureaux_ou_de_comm","nombre_de_lots_a_usage_d_habitation","nombre_de_lots_de_stationnement","periode_de_construction","reference_cadastrale_1","code_insee_commune_1","prefixe_1","section_1","numero_parcelle_1","reference_cadastrale_2","code_insee_commune_2","prefixe_2","section_2","numero_parcelle_2","reference_cadastrale_3","code_insee_commune_3","prefixe_3","section_3","numero_parcelle_3","nombre_de_parcelles_cadastrales","nom_qp_2015","code_qp_2015","nom_qp_2024","code_qp_2024","copro_dans_acv","copro_dans_pvd","code_de_pdp","copro_dans_pdp","copro_aidee","code_officiel_commune","nom_officiel_commune","code_officiel_arrondissement_commune","nom_officiel_arrondissement_commune","code_officiel_epci","nom_officiel_epci","code_officiel_departement","nom_officiel_departement","code_officiel_region","nom_officiel_region"
"3608",200057875,"93010","AA0652685","2016-12-22","2025-08-23","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-11-19","SDC LES PARISIENNES DE BONDY","43 Rue Edouard Vaillant 93140 Bondy","43 Rue Edouard Vaillant",93140,"Bondy","43/49 RUE EDOUARD VAILLANT 93140 BONDY","LES PARISIENNES DE BONDY - 49 RUE EDOUARD VAILLANT 93140 BONDY","LES PARISIENNES DE BONDY - 47 RUE EDOUARD VAILLANT 93140 BONDY",0,2.48111,48.896109,"2000-12-20","non","non","oui","",0,0,0,234,78,78,78,"DE_1994_A_2000","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"6092",200057875,"93010","AA1042167","2017-01-09","2025-09-13","professionnel","CABINET LOISELET PERE FILS ET DAIGREMONT 54206101500484","CABINET LOISELET PERE FILS ET DAIGREMONT ","54206101500484","6832A","BOULOGNE-BILLANCOURT","Mandat en cours","2026-08-31","88/92 avenue Carnot","88 Avenue Carnot 93140 Bondy","88 Avenue Carnot",93140,"Bondy","88/92 avenue Carnot 93140 BONDY","88/92 avenue Carnot 93140 BONDY","88/92 avenue Carnot 93140 BONDY",3,2.480781,48.898453,"2016-12-20","non","non","oui","non connu",0,0,0,145,75,74,70,"A_COMPTER_DE_2011","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"6422",200057875,"93010","AA1093715","2017-01-17","2025-08-23","professionnel","SOCIETE DE GERANCE RICHELIEU 60205776200034","SOCIETE DE GERANCE RICHELIEU ","60205776200034","6832A","LE RAINCY","Mandat en cours","2026-12-06","SDC Les Platanes","40 rte de villemomble 93140 Bondy","40 rte de villemomble",93140,"Bondy","40A rte de villemomble 93140 Bondy","40B rte de villemomble 93140 Bondy","42 rte de villemomble 93140 Bondy",11,2.481351,48.893373,"1965-01-25","non","non","oui","non connu",0,0,0,262,87,87,88,"DE_1961_A_1974","93010000AV0209","93010","000","AV","0209","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"9495",200057875,"93010","AA1605989","2017-02-09","2025-08-23","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2024-09-01","LA BRUYERE","211 av gallieni 93140 Bondy","211 av gallieni",93140,"Bondy","chemin du pont, 93140 Bondy","non connu","non connu",1,2.491884,48.907676,"1961-05-10","non","non","oui","non connu",0,0,0,525,175,175,175,"DE_1961_A_1974","930100000L0064","93010","000","0L","0064","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",1,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Oui","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"10982",200057875,"93010","AA1825017","2017-02-15","2025-08-23","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2026-02-28","SDC COTE JARDIN","17 r louis auguste blanqui 93140 BONDY","17 r louis auguste blanqui",93140,"BONDY","non connu","non connu","non connu",0,2.480617,48.900108,"2015-07-02","non","non","oui","non connu",0,0,0,78,39,39,0,"A_COMPTER_DE_2011","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"12226",200057875,"93010","AA2013274","2017-04-21","2025-08-23","professionnel","SOCIETE DE GERANCE RICHELIEU 60205776200034","SOCIETE DE GERANCE RICHELIEU ","60205776200034","6832A","LE RAINCY","Mandat en cours","2026-08-11","SDC Les Galiotes","47 rte d'aulnay 93140 Bondy","47 rte d'aulnay",93140,"Bondy","32 r henri mouly 93140 Bondy","34 r henri mouly 93140 Bondy","36 r henri mouly 93140 Bondy",148,2.480118,48.908545,"1975-04-29","non","non","oui","non connu",0,0,0,286,150,150,136,"DE_1975_A_1993","930100000H0171","93010","000","0H","0171","930100000H0220","93010","000","0H","0220","930100000H0231","93010","000","0H","0231",4,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"14899",200057875,"93010","AA2422301","2017-03-10","2026-01-03","non connu","non connu","non connu","non connu","non connu","non connu","Mandat expiré sans successeur déclaré","2025-12-31","SDC 107 Baudin","107 r baudin 93140 Bondy","107 r baudin",93140,"Bondy","non connu","non connu","non connu",0,2.473553,48.898418,"2012-06-13","non","non","oui","non connu",0,0,0,9,3,3,0,"DE_1949_A_1960","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"21130",200057875,"93010","AA3321221","2017-04-11","2025-12-27","professionnel","CPI GESTION 91918036400052","CPI GESTION ","91918036400052","6832A","PARIS","Mandat en cours","2026-09-16","Residence Saint-PIERRE","41 r auguste polissard 93140 Bondy","41 r auguste polissard",93140,"Bondy","Residence ""Saint-PIERRE"" 93140 BONDY","41B r auguste polissard 93140 Bondy","non connu",2,2.480414,48.90356,"1975-01-01","non","non","oui","non connu",0,0,0,119,33,32,38,"DE_1975_A_1993","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","Bondy","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"23330",200057875,"93010","AA3647450","2017-05-04","2025-12-06","non connu","non connu","non connu","non connu","non connu","non connu","Pas de mandat en cours","2025-10-01","SDC 55 BLANQUI","55 Rue Louis Auguste Blanqui 93140 Bondy","55 Rue Louis Auguste Blanqui",93140,"Bondy","non connu","non connu","non connu",0,2.483798,48.89914,"1964-07-16","non","non","oui","",0,0,0,121,40,40,40,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Blanqui","QP093012","Blanqui","QN09312I","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"26889",200057875,"93010","AA4130969","2017-05-10","2025-08-23","professionnel","ATM SARL 34863116900045","ATM SARL ","34863116900045","6832A","BONDY","Mandat en cours","2028-05-14","SDC 125 REPUBLIQUE","125 av de la republique 93140 Bondy","125 av de la republique",93140,"Bondy","non connu","non connu","non connu",0,2.478423,48.897239,"1967-06-13","non","non","oui","",0,0,0,19,7,7,0,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"28363",200057875,"93010","AA4342416","2017-05-16","2025-08-23","professionnel","ATRIUM GESTION PARIS 17 83495692200019","ATRIUM GESTION PARIS 17 ","83495692200019","6832A","PARIS 17","Mandat en cours","2026-03-30","LES JARDINS DE LA NOUE","ctre commercial noue caillet 93140 BONDY","ctre commercial noue caillet",93140,"BONDY","non connu","non connu","non connu",0,2.479398,48.913086,"1970-01-01","non","non","oui","non connu",0,0,0,731,260,260,260,"DE_1961_A_1974","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QP093014","Abreuvoir - Bondy Nord - Bondy Centre - Pont-De-Bondy - La Sablière - Secteur Sud","QN09314M","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
"31640",200057875,"93010","AA4777942","2017-05-31","2025-08-23","professionnel","FONCIA MANAGO 30265417300020","FONCIA MANAGO ","30265417300020","6832A","EZANVILLE","Mandat en cours","2026-09-30","18 RUE JEAN JAURES","18 r jean jaures 93140 BONDY","18 r jean jaures",93140,"BONDY","non connu","non connu","non connu",0,2.477356,48.902439,"1952-06-13","non","non","oui","non connu",0,0,0,49,15,13,21,"DE_1949_A_1960","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu","","non connu","non connu","non connu","non connu",0,"","","","","Non","Non","",0,"Non","93010","BONDY","93010","Bondy",200057875,"T8 -  Est Ensemble","93","Seine-Saint-Denis","11","Ile-de-France"
