"","NATURE","NOM_1_G","NOM2"
"1","ALL","ALL POTTIER","POTTIER"
"2","ALL","ALL ANNE FRANK","ANNE FRANK"
"3","ALL","ALL DES ERABLES","ERABLES"
"4","RTE","RTE DE VILLEMOMBLE","VILLEMOMBLE"
"5","R","R ODETTE PAIN","ODETTE PAIN"
"6","R","R GASTON DEFFERRE","GASTON DEFFERRE"
"7","AV","AV ROUGET DE LISLE","ROUGET DE LISLE"
"8","ALL","ALL DES RENONCULES","RENONCULES"
"9","R","R EMMANUEL FAIRON","EMMANUEL FAIRON"
"10","AV","AV PASTEUR","PASTEUR"
"11","R","R DU CHEMIN DE FER PROLONGEE","CHEMIN DE FEPROLONGEE"
"12","ALL","ALL DE L'EGALITE","EGALITE"
"13","SEN","SEN RENE CHAR","RENE CHAR"
"14","ALL","ALL DE LA REGALE","REGALE"
"15","R","R NEUVE","NEUVE"
"16","R","R DU MIDI","MIDI"
"17","ALL","ALL DE L'ETOILE","ETOILE"
"18","ALL","ALL HANNAH ARENDT","HANNAH ARENDT"
"19","PL","PL ARTHUR RIMBAUD","ARTHURIMBAUD"
"20","R","R ROBERT BONNET","ROBERT BONNET"
"21","R","R JEAN JAURES","JEAN JAURES"
"22","ALL","ALL DE LA DEVINIERE","DEVINIERE"
"23","PL","PL SCHOELCHER","SCHOELCHER"
"24","ALL","ALL DES ROSES","ROSES"
"25","MAIL","MAIL MARIE-MADELEINE FOURCADE","MARIE-MADELEINE FOURCADE"
"26","VLA","VLA DES MARRONNIERS","MARRONNIERS"
"27","R","R MARCELLIN BERTHELOT","MARCELLIN BERTHELOT"
"28","R","R JULIE VICTOIRE DAUBIE","JULIE VICTOIRE DAUBIE"
"29","1","1","1"
"30","ALL","ALL DES LETTRES","LETTRES"
"31","R","R DE LA LIBERTE","LIBERTE"
"32","ALL","ALL DES ORCHIDEES","ORCHIDEES"
"33","PL","PL EUDEMON","EUDEMON"
"34","PL","PL CHARLES DE GAULLE","CHARLES DE GAULLE"
"35","ALL","ALL DES IRIS","IRIS"
"36","R","R ROGER SALENGRO","ROGESALENGRO"
"37","R","R RAOUL","RAOUL"
"38","ALL","ALL DES COURTS SILLONS","COURTS SILLONS"
"39","ALL","ALL DES ALOUETTES","ALOUETTES"
"40","R","R DU CHALET","CHALET"
"41","VLA","VLA DU BRECHET","BRECHET"
"42","R","R DE L'UNION","UNION"
"43","CITE","CITE DES SAULES","SAULES"
"44","PL","PL DES ECOLES","ECOLES"
"45","R","R DENYS COCHIN","DENYS COCHIN"
"46","R","R NOEMIE","NOEMIE"
"47","R","R TRINQUAMELLE","TRINQUAMELLE"
"48","R","R SAINTE-BARBE","SAINTE-BARBE"
"49","ALL","ALL DES PAQUERETTES","PAQUERETTES"
"50","R","R MARTIN LUTHER KING","MARTIN LUTHEKING"
"51","R","R HENRI DOUILLOT","HENRI DOUILLOT"
"52","CH","CH DE MONTREUIL A CLAYE","MONTREUIL A CLAYE"
"53","ALL","ALL RULHIERE","RULHIERE"
"54","VLA","VLA CARNOT","CARNOT"
"55","R","R DE VARSOVIE","VARSOVIE"
"56","R","R GEORGES ELIE","GEORGES ELIE"
"57","VLA","VLA MADELEINE","MADELEINE"
"58","ALL","ALL MOZART","MOZART"
"59","ALL","ALL DES TILLEULS","TILLEULS"
"60","ALL","ALL MARIA DERAIMES","MARIA DERAIMES"
"61","AV","AV DE LA VILLAGEOISE","VILLAGEOISE"
"62","RLE","RLE SAINTE-BARBE","SAINTE-BARBE"
"63","R","R BAUDIN","BAUDIN"
"64","ALL","ALL DES COQUELICOTS","COQUELICOTS"
"65","R","R GERMAINE TILLION","GERMAINE TILLION"
"66","ALL","ALL DES FRENES","FRENES"
"67","R","R DU PROFESSEUR VAILLANT","PROFESSEUVAILLANT"
"68","R","R DU BON AIR","BON AIR"
"69","CH","CH LATERAL","LATERAL"
"70","R","R GARGANTUA","GARGANTUA"
"71","AV","AV GALLIENI","GALLIENI"
"72","R","R NADIA MURAD","NADIA MURAD"
"73","15","15","15"
"74","R","R LOUIS LEON COLLIGNON","LOUIS LEON COLLIGNON"
"75","AV","AV DES SCIENCES","SCIENCES"
"76","R","R JEAN MONNET","JEAN MONNET"
"77","R","R LUCIEN CHAPELAIN","LUCIEN CHAPELAIN"
"78","R","R DES ECOLES","ECOLES"
"79","AV","AV MARGUERITE","MARGUERITE"
"80","R","R DE L'AVIATION","AVIATION"
"81","R","R EMILE ZOLA","EMILE ZOLA"
"82","AV","AV DES MESARMES","MESARMES"
"83","ALL","ALL MARYSE BASTIE","MARYSE BASTIE"
"84","ALL","ALL BOILEAU","BOILEAU"
"85","IMP","IMP RENE CLAIR","RENE CLAIR"
"86","ALL","ALL DES ARTS","ARTS"
"87","ALL","ALL DES CHENES","CHENES"
"88","ALL","ALL GABRIELLE","GABRIELLE"
"89","R","R DE TREMEUGE","TREMEUGE"
"90","PL","PL NICOLE NEUBURGER","NICOLE NEUBURGER"
"91","ALL","ALL PAUL LAFARGUE","PAUL LAFARGUE"
"92","R","R DE PARIS","PARIS"
"93","R","R BERANGER","BERANGER"
"94","ALL","ALL DE LA FAUVETTE","FAUVETTE"
"95","VLA","VLA PARMENTIER","PARMENTIER"
"96","PL","PL DES FLEURS","FLEURS"
"97","R","R DE LA TERRE SAINT-BLAISE","TERRE SAINT-BLAISE"
"98","R","R JULES LELONG","sans nom"
"99","CRS","CRS DE LA REPUBLIQUE","REPUBLIQUE"
"100","ALL","ALL THERESE","THERESE"
"101","ALL","ALL LEON","LEON"
"102","ALL","ALL DE LA VILLA JEANNETTE","VILLA JEANNETTE"
"103","R","R DES FRANCS AUBIERS","FRANCS AUBIERS"
"104","2","2","2"
"105","ALL","ALL DES BOULEAUX","BOULEAUX"
"106","RTE","RTE DE STAINS","STAINS"
"107","R","R PAUL VAILLANT COUTURIER","PAUL VAILLANT COUTURIER"
"108","VLA","VLA FLEURY","FLEURY"
"109","R","R MICHELET","MICHELET"
"110","AV","AV CARNOT","CARNOT"
"111","ALL","ALL POQUE","POQUE"
"112","ALL","ALL ALEXANDRE MARTHE","ALEXANDRE MARTHE"
"113","AV","AV DE BELFORT","BELFORT"
"114","R","R FREMIN","FREMIN"
"115","11","11","11"
