"nom_voie","numeros"
"Av du Mal de Lattre de Tassigny","2bis-4bis"
"Chemin de Groslay","22-48"
"Cours de la République","2-18bis"
"Route d'Aulnay","24-36"
"Rue Georges Elie","28-54"
"Rue Jean Jaurés","10-22"
"Rue Jules Guesde","28-64"
"Rue Roger Salengro","2-46"
"Cours de la République","1-19"
"Route d'Aulnay","35-39"
"Rue des Frères Darty","1-7"
"Rue du Breuil","1-39"
"Rue Jean Jaurés","13-25bis"
"Rue Paul Vaillant-couturier","9-37"
"Rue Roger Salengro","1-7"
"Rue Roger Salengro","1-9"
"Allee Anne Frank","rue entière"
"allée Hannah Arendt","rue entière"
"Avenue Galliéni","rue entière"
"Avenue Marguerite","rue entière"
"Impasse des Violettes","rue entière"
"Impasse Fernand Pottier","rue entière"
"Place Arthur Rimbaud","rue entière"
"Place de la Division Leclerc","rue entière"
"Quai Hubertine Auclert","rue entière"
"Rue Aretha Franklin","rue entière"
"Rue Arthur Rimbaud","rue entière"
"Rue Auguste Polissard","rue entière"
"Rue Benoîte Groult","rue entière"
"Rue Borel","rue entière"
"Rue des Ecoles","rue entière"
"Rue du Potager","rue entière"
"Rue Fremin","rue entière"
"Rue Gatine","rue entière"
"Rue Gisèle Halimi","rue entière"
"Rue Jules Guesde","impairs"
"Rue Laug","rue entière"
"Rue Nadia Murad","rue entière"
"Rue Sainte-Barbe","rue entière"
"Rue Simone Veil","rue entière"
"Ruelle Sainte Barbe","rue entière"
"Villa Fleury","rue entière"
"Villa Thorel","rue entière"
