"316","PL","6","NA","1918","PL DU 11 NOVEMBRE 1918","NA"
"113","VLA","5","NA","ABEILLES","VLA DES ABEILLES","NA"
"263","PL","5","NA","ALBERT THOMAS","PL ALBERT THOMAS","NA"
"191","ALL","5","NA","ALICE","ALL ALICE","NA"
"38","ALL","5","NA","ALOUETTES","ALL DES ALOUETTES","NA"
"312","R","5","NA","AMEDEE GUYARD","R AMEDEE GUYARD","NA"
"170","AV","4","NA","ANATOLE","AV ANATOLE FRANCE","NA"
"222","ALL","5","NA","ANDREA","ALL ANDREA","NA"
"324","R","4","NA","ANDREI SAKHAROV","R ANDREI SAKHAROV","NA"
"163","ALL","5","NA","ANEMONES","ALL DES ANEMONES","privé"
"2","ALL","5","NA","ANNE FRANK","ALL ANNE FRANK","NA"
"332","R","6","NA","ARETHA FRANKLIN","R ARETHA FRANKLIN","NA"
"19","PL","5","NA","ARTHURIMBAUD","PL ARTHUR RIMBAUD","NA"
"84","ALL","5","NA","ARTS","ALL DES ARTS","NA"
"100","R","5","NA","AUBIERS","R DES FRANCS AUBIERS","public"
"244","R","5","NA","AUBRAC","R LUCIE AUBRAC","privé"
"323","R","3","NA","AUGUSTE POLISSARD","R AUGUSTE POLISSARD","NA"
"345","RTE","3","NA","AULNAY","RTE D'AULNAY","NA"
"150","R","6","NA","AURIOL","R JACQUELINE AURIOL","privé"
"141","ALL","5","NA","AZALEES","ALL DES AZALEES","privé"
"62","R","4","NA","BAUDIN","R BAUDIN","NA"
"260","R","5","NA","BAURIT","R DE L'ABBE MAURICE BAURIT","privé"
"143","R","5","NA","BEAUREGARD","R BEAUREGARD","NA"
"290","R","5","NA","BEAUVOIR","R SIMONE DE BEAUVOIR","privé"
"288","ALL","5","NA","BECQUEREL","ALL BECQUEREL","NA"
"124","R","5","NA","BEL AIR","R DU BEL AIR","NA"
"110","AV","4","NA","BELFORT","AV DE BELFORT","NA"
"365","R","5","NA","BENOITE GROULT","R BENOITE GROULT","NA"
"91","R","5","NA","BERANGER","R BERANGER","NA"
"331","ALL","5","NA","BERLIOZ","ALL HECTOR BERLIOZ","privé"
"27","R","5","NA","BERTHELOT","R MARCELLIN BERTHELOT","NA"
"357","R","4","NA","BLANQUI","R LOUIS AUGUSTE BLANQUI","NA"
"140","SEN","5","NA","BLERIOT","SEN BLERIOT","NA"
"282","AV","5","NA","BLERIOT","AV BLERIOT","NA"
"82","ALL","5","NA","BOILEAU","ALL BOILEAU","NA"
"249","ALL","5","NA","BOLIVAR","ALL SIMON BOLIVAR","NA"
"67","R","5","NA","BON AIR","R DU BON AIR","NA"
"338","R","4","NA","BONDY","R DE BONDY","NA"
"243","R","5","NA","BORDIER","R BORDIER","NA"
"232","R","5","NA","BOREL","R BOREL","NA"
"202","ALL","5","NA","BOSQUETS","ALL DES BOSQUETS","NA"
"240","R","4","NA","BOUCHER","R HELENE BOUCHER","privé"
"102","ALL","5","NA","BOULEAUX","ALL DES BOULEAUX","privé"
"71","15","6","SEN PIERRE BOURDIEU","BOURDIEU","15","privé"
"128","IMP","5","NA","BRASSENS","IMP GEORGES BRASSENS","NA"
"40","VLA","6","NA","BRECHET","VLA DU BRECHET","privé"
"177","R","5","NA","BREUIL","R DU BREUIL","NA"
"254","VLA","5","NA","BREUIL","VLA DU BREUIL","privé"
"184","R","5","NA","BROSSOLETTE","R PIERRE BROSSOLETTE","NA"
"280","ALL","5","NA","BUISSON","ALL DU GROS BUISSON","NA"
"361","RPT","5","NA","BUISSON","RPT BUISSON","NA"
"250","R","5","NA","BUTTE","R DE LA BUTTE","NA"
"302","AV","5","NA","CADERAS","AV CADERAS","NA"
"53","VLA","5","NA","CARNOT","VLA CARNOT","NA"
"107","AV","4","NA","CARNOT","AV CARNOT","NA"
"264","IMP","5","NA","CARNOT","IMP CARNOT","NA"
"341","CH","4","NA","CARROUGES","CH DES CARROUGES","NA"
"205","IMP","4","NA","CASTEL","IMP DU CASTEL","privé"
"307","VLA","5","NA","CERISES","VLA DES CERISES","privé"
"39","R","5","NA","CHALET","R DU CHALET","NA"
"308","R","6","NA","CHAMPART","R DU CHAMPART","NA"
"75","R","4","NA","CHAPELAIN","R LUCIEN CHAPELAIN","NA"
"186","R","5","NA","CHAR","R RENE CHAR","NA"
"322","R","4","NA","CHARLES FERDINAND","R CHARLES FERDINAND","NA"
"33","PL","5","NA","CHARLES GAULLE","PL CHARLES DE GAULLE","NA"
"11","R","5","NA","CHEMIN FER PROLONGEE","R DU CHEMIN DE FER PROLONGEE","NA"
"85","ALL","5","NA","CHENES","ALL DES CHENES","NA"
"122","R","5","NA","CLOS","R DU CLOS VAILLANT","privé"
"132","R","5","NA","COLLARDEAU","R PHILEAS COLLARDEAU","NA"
"151","R","5","NA","COLLET","R FRANCOIS COLLET","NA"
"72","R","5","NA","COLLIGNON","R LOUIS LEON COLLIGNON","NA"
"214","ALL","5","NA","COLOMBES","ALL DES COLOMBES","NA"
"189","R","5","NA","COMPAGNON","R COMPAGNON","NA"
"175","ALL","5","NA","CONCORDE","ALL DE LA CONCORDE","NA"
"112","11","5","ALL CONDORCET","CONDORCET","11","privé"
"353","R","6","NA","GAULOIS","R DU COQ GAULOIS","NA"
"63","ALL","5","NA","COQUELICOTS","ALL DES COQUELICOTS","NA"
"310","ALL","4","NA","CORNEILLE","ALL CORNEILLE","NA"
"364","VOIE","6","NA","COULEE VERTE","VOIE TRAM TRAIN","piéton"
"174","ALL","5","NA","COURTADE","ALL JEAN COURTADE","privé"
"37","ALL","5","NA","COURTS SILLONS","ALL DES COURTS SILLONS","NA"
