"MOT_DIR","NOM_MIN","TYPE_VOIE","statut","MOT_DIR2","X","X.1"
"abeilles","villa des abeilles","villa","original","ABEILLES",NA,""
"alice","allée alice","allée","original","ALICE",NA,""
"alouettes","allée des alouettes","allée","original","ALOUETTES",NA,""
"alpy","rue henri alpy","rue","original","ALPY",NA,""
"andrea","allée andrea","allée","original","ANDREA",NA,""
"anémones","allée des anémones","allée","original","ANEMONES",NA,""
"apollinaire","rue guillaume apollinaire","rue","original","APOLLINAIRE",NA,""
"arendt","allée hannah arendt","allée","original","ARENDT",NA,""
"arts","allée des arts","allée","original","ARTS",NA,""
"aubiers","rue des francs aubiers","rue","original","AUBIERS",NA,""
"aubrac","rue lucie aubrac","rue","original","AUBRAC",NA,""
"auffret","rue jules auffret","rue","original","AUFFRET",NA,""
"aulnay","route d'aulnay","route","original","AULNAY",NA,""
"auriol","rue jacqueline auriol","rue","original","AURIOL",NA,""
"aviation","rue de l'aviation","rue","original","AVIATION",NA,""
"azalées","allée des azalées","allée","original","AZALEES",NA,""
"barbe rue","rue sainte-barbe","rue","modif","BARBE RUE",NA,""
"barbe ruelle","ruelle sainte-barbe","ruelle","modif","BARBE RUELLE",NA,""
"barbusse","avenue henri barbusse","avenue","original","BARBUSSE",NA,""
"bastié","allée maryse bastié","allée","original","BASTIE",NA,""
"baudin","rue baudin","rue","original","BAUDIN",NA,""
"baurit","rue de l'abbé maurice baurit","rue","original","BAURIT",NA,""
"beauregard","rue beauregard","rue","original","BEAUREGARD",NA,""
"beauvoir","rue simone de beauvoir","rue","original","BEAUVOIR",NA,""
"becquerel","allée becquerel","allée","original","BECQUEREL",NA,""
"bel air","rue du bel-air","rue","modif2","BEL AIR",NA,""
"belfort","avenue de belfort","avenue","original","BELFORT",NA,""
"bellay","allée joachim du bellay","allée","original","BELLAY",NA,""
"benhamou","avenue maurice benhamou","avenue","original","BENHAMOU",NA,""
"béranger","rue béranger","rue","original","BERANGER",NA,""
"berlioz","allée hector berlioz","allée","original","BERLIOZ",NA,""
"berthelot","rue marcellin berthelot","rue","original","BERTHELOT",NA,""
"blaise","rue de la terre saint-blaise","rue","original","BLAISE",NA,""
"blanqui","rue louis auguste blanqui","rue","original","BLANQUI",NA,""
"blériot avenue","avenue blériot","avenue","modif","BLERIOT AVENUE",NA,""
"blériot sentier","sentier blériot","sentier","modif","BLERIOT SENTIER",NA,""
"blum","avenue léon blum","avenue","original","BLUM",NA,""
"bobillot","rue du sergent bobillot","rue","original","BOBILLOT",NA,""
"boileau","allée boileau","allée","original","BOILEAU",NA,""
