rue;nb
Avenue Maurice Benhamou ;45
Avenue Pasteur ;27
Avenue Suzanne Buisson ;27
Chemin du Pont ;2
Cours de la République ;37
Place de la République ;42
Place Georges Lyssandre ;10
Route d'Aulnay ;52
Route de Villemomble ;81
Rue Arthur Groussier ;7
Rue Auguste Polissard ;24
Rue de la Liberté ;12
Rue de Meaux ;4
Rue de Versailles ;1
Rue du Sergent Bobillot ;33
Rue Edouard Vaillant ;93
Rue Etienne Dolet ;5
Rue Fontaine ;53
Rue Germaine Tillion ;5
Rue Henri Dunant ;9
Rue Jules Guesde ;24
Rue Louis Auguste Blanqui ;99
Rue Lucie Aubrac ;8
Rue Lucien Chapelain ;9
Rue Martin Luther King ;93
Rue Odette Pain ;12
Rue Paul Eluard ;11
Rue Roger Salengro ;18
Rue Simone de Beauvoir ;5
Allée des Anémones ;4
Avenue Carnot ;18
Avenue de la République ;47
Avenue de Metz ;22
Avenue de Rosny ;77
Avenue du Mal Delattre de Tassigny ;51
Avenue Galliéni ;10
Avenue Gueugnon ;39
Avenue Henri Varagnat ;52
Avenue Jean Lebas ;56
Avenue Jean Moulin ;15
Avenue Léon Blum ;86
